"time_ns","rmsd_nm"
0,0.0005099
0.01,0.0617373
0.02,0.0700464
0.03,0.0619431
0.04,0.070291
0.05,0.0744397
0.06,0.0775272
0.07,0.0972441
0.08,0.0977338
0.09,0.0905463
0.1,0.0848832
0.11,0.0934753
0.12,0.0821565
0.13,0.0730742
0.14,0.0776724
0.15,0.08159
0.16,0.079869
0.17,0.0773507
0.18,0.0607834
0.19,0.0783603
0.2,0.0838226
