"time_ns","n_hbond"
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,0
0.07,0
0.08,0
0.09,1
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,1
0.17,1
0.18,0
0.19,1
0.2,1
