"plot","status","detail"
"RmsdBackbone","PASS","label_length:PASS"
"RmsfCalpha","PASS","label_length:PASS"
"HbondNum","PASS","label_length:PASS"
"RadiusGyration","PASS","label_length:PASS"
"Sasa","PASS","label_length:PASS"
"FreeEnergyLandscape","PASS","label_length:PASS"
"BindingEnergyDecomp","PASS","label_length:PASS"
"ResidueEnergyContrib","PASS","label_length:PASS"
