"rmsd","rg","dg_kj"
0.0005099,1.65167,6.53899057079173
0.00215776271186441,1.65167,6.55457182833469
0.00380562542372881,1.65167,6.60187366327045
0.00545348813559322,1.65167,6.68074455939232
0.00710135084745763,1.65167,6.79093976762323
0.00874921355932204,1.65167,6.93206399715607
0.0103970762711864,1.65167,7.10347921342732
0.0120449389830508,1.65167,7.30415702029747
0.0136928016949153,1.65167,7.53244434221906
0.0153406644067797,1.65167,7.78569696218616
0.0169885271186441,1.65167,8.05972083051016
0.0186363898305085,1.65167,8.34795731346902
0.0202842525423729,1.65167,8.64038665185893
0.0219321152542373,1.65167,8.92226930701662
0.0235799779661017,1.65167,9.17319188467535
0.0252278406779661,1.65167,9.36744780490319
0.0268757033898305,1.65167,9.47718284541075
0.0285235661016949,1.65167,9.47893635453652
0.0301714288135593,1.65167,9.3614746768046
0.0318192915254237,1.65167,9.13014810858346
0.0334671542372881,1.65167,8.80446493813391
0.0351150169491525,1.65167,8.41077824219573
0.0367628796610169,1.65167,7.97497860981945
0.0384107423728814,1.65167,7.5183021832131
0.0400586050847458,1.65167,7.05626657166334
0.0417064677966102,1.65167,6.59936173282202
0.0433543305084746,1.65167,6.15429201200138
0.045002193220339,1.65167,5.72514910173796
0.0466500559322034,1.65167,5.31431676286841
0.0482979186440678,1.65167,4.92310461677564
0.0499457813559322,1.65167,4.55216999192005
0.0515936440677966,1.65167,4.20179097763767
0.053241506779661,1.65167,3.87204050158487
0.0548893694915254,1.65167,3.56289627417808
0.0565372322033898,1.65167,3.27430953622278
0.0581850949152542,1.65167,3.00624721720514
0.0598329576271186,1.65167,2.75871665953425
0.061480820338983,1.65167,2.53177864082473
0.0631286830508475,1.65167,2.32555234246328
0.0647765457627119,1.65167,2.14021467468391
0.0664244084745763,1.65167,1.97599564348626
0.0680722711864407,1.65167,1.83317101688136
0.0697201338983051,1.65167,1.71205328169908
0.0713679966101695,1.65167,1.61298169672998
0.0730158593220339,1.65167,1.53631209880353
0.0746637220338983,1.65167,1.48240698437068
0.0763115847457627,1.65167,1.45162626316688
0.0779594474576271,1.65167,1.44431896297376
0.0796073101694915,1.65167,1.46081605878688
0.0812551728813559,1.65167,1.50142450950182
0.0829030355932203,1.65167,1.56642251301091
0.0845508983050847,1.65167,1.65605593709423
0.0861987610169491,1.65167,1.77053584778349
0.0878466237288135,1.65167,1.91003703681841
0.089494486440678,1.65167,2.07469744249103
0.0911423491525424,1.65167,2.26461836037258
0.0927902118644068,1.65167,2.47986534898855
0.0944380745762712,1.65167,2.72046974759168
0.0960859372881356,1.65167,2.98643073634189
0.0977338,1.65167,3.27771788147088
0.0005099,1.65224406779661,6.54154950841066
0.00215776271186441,1.65224406779661,6.55711403860092
0.00380562542372881,1.65224406779661,6.60438888608935
0.00545348813559322,1.65224406779661,6.68321622807579
0.00710135084745763,1.65224406779661,6.79334113183335
0.00874921355932204,1.65224406779661,6.93435187741879
0.0103970762711864,1.65224406779661,7.10558397680708
0.0120449389830508,1.65224406779661,7.30596659500902
0.0136928016949153,1.65224406779661,7.53377901274346
0.0153406644067797,1.65224406779661,7.78627039254433
0.0169885271186441,1.65224406779661,8.05908178108544
0.0186363898305085,1.65224406779661,8.34540751498418
0.0202842525423729,1.65224406779661,8.63487730987034
0.0219321152542373,1.65224406779661,8.91229908592637
0.0235799779661017,1.65224406779661,9.15677009248385
0.0252278406779661,1.65224406779661,9.34223670036446
0.0268757033898305,1.65224406779661,9.44092916164173
0.0285235661016949,1.65224406779661,9.4301416588437
0.0301714288135593,1.65224406779661,9.29996997785057
0.0318192915254237,1.65224406779661,9.05715877411006
0.0334671542372881,1.65224406779661,8.72211345902491
0.0351150169491525,1.65224406779661,8.32139737771661
0.0367628796610169,1.65224406779661,7.88061793892959
0.0384107423728814,1.65224406779661,7.42053418504611
