component,avg_kcal,sd_kcal,avg_kj,sd_kj
VDWAALS,-26.89,0.37,-112.50776,1.5480800000000001
EEL,-4.92,0.61,-20.58528,2.55224
EGB,10.55,0.01,44.141200000000005,0.04184
ESURF,-3.88,0.0,-16.23392,0.0
GGAS,-31.8,0.71,-133.0512,2.97064
GSOLV,6.66,0.01,27.865440000000003,0.04184
TOTAL,-25.14,0.71,-105.18576,2.97064
