"CLP","Control","gene","panel"
0.18481333024886,0.393026221849886,"Pink1","线粒体功能障碍基因"
0.00211113349029416,0.0207934413735182,"Prkn","线粒体功能障碍基因"
0.0574631935357283,0.0708575437069567,"Mfn1","线粒体功能障碍基因"
0.0749852421138296,0.0912458039400612,"Mfn2","线粒体功能障碍基因"
0.100326924380846,0.131551542657488,"Dnm1l","线粒体功能障碍基因"
0.209523947003563,0.166543603625323,"Tomm40","线粒体功能障碍基因"
0.136612477880889,0.145576634843076,"Ndufs1","线粒体功能障碍基因"
0.966230784672534,0.868979605188932,"Cox5a","线粒体功能障碍基因"
2.08224146771442,2.30567356183969,"Ucp2","线粒体功能障碍基因"
0.0921619181059002,0.173816186089388,"Opa1","线粒体功能障碍基因"
0.625478538937261,0.697916425910634,"Fis1","线粒体功能障碍基因"
0.0813215680511696,0.182878582376306,"Fundc1","线粒体功能障碍基因"
0.10729643422622,0.136087014637603,"Bnip3","线粒体功能障碍基因"
0.383265494568818,0.268710040813874,"Hspa9","线粒体功能障碍基因"
0.845972511759206,0.914262206305094,"Slc25a4","线粒体功能障碍基因"
0.465368295478009,0.462688331009057,"Ndufa1","线粒体功能障碍基因"
2.50075692024309,0.453949854152655,"Sod2","线粒体功能障碍基因"
0.0583121836438703,0.0665880058153232,"Pgam5","线粒体功能障碍基因"
1.52234303717431,2.24974940426444,"Gpx1","线粒体功能障碍基因"
0.260104566614736,0.464995434832112,"Sirt2","线粒体功能障碍基因"
0.119993762105162,0.163952428591357,"Foxo1","线粒体功能障碍基因"
