"gene","log2FC","AveExpr","t","pvalue","padj","B","method","contrast"
"Gatd1",-1.56746062820757,3.87228250964049,-7.56947992022375,5.52043534166262e-05,0.00113288579727869,2.33948156062575,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Spsb1",2.6568105940669,3.10784004626773,7.5686619574718,5.52479680438484e-05,0.00113288579727869,2.36423719328668,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Cyp4b1",-1.94477010945869,3.67265239697556,-7.5636877515804,5.55140198862811e-05,0.00113626783508587,2.35634967973153,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Csf1r",-1.48490640778071,8.96773200681308,-7.5610278178549,5.56568711363715e-05,0.00113712047447165,2.14621292803419,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Gm26714",-4.51592253195493,0.124053977158431,-7.55765905578883,5.58383737107502e-05,0.00113875826749129,1.7831780672077,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Plod3",-1.27231733153469,4.82690406296014,-7.55284611666491,5.60988226207779e-05,0.00114097572571049,2.22193804663187,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Rnase4",-3.0072694041634,5.78337268940696,-7.54726126613786,5.64027284036214e-05,0.00114097572571049,2.18123849838848,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Tax1bp1",1.89024317335325,8.72181209151891,7.54649830422568,5.64443869936504e-05,0.00114097572571049,2.12185474807969,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Dcun1d5",1.26248841268709,6.28740935273435,7.5463078280863,5.64547925153538e-05,0.00114097572571049,2.15035336566512,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Klf10",-1.40788081237121,4.86149287093615,-7.5430226297293,5.66345938742237e-05,0.00114255463440692,2.20960749864897,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Il18rap",3.36708919701311,3.24786827297844,7.53938114945464,5.68346352213174e-05,0.00114453547667015,2.27064161449939,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Gtpbp4",1.38243453309746,6.17633174718194,7.53709557470323,5.69605902388703e-05,0.00114501995083039,2.15244628116898,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Adamtsl5",-3.55910454708193,1.51577109673465,-7.53109645591218,5.72926647930108e-05,0.00114963870406975,2.25058450866722,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Mapk3",-1.61025277786643,5.81073812253662,-7.52721671729196,5.75085631977703e-05,0.00115191394768867,2.13599346301467,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Fgd3",-2.03601824890982,3.02064458089077,-7.5236455441082,5.770808610734e-05,0.0011535969497221,2.3743585163825,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"BC049352",-2.27071724602397,2.42968653970949,-7.52150782350626,5.78278876369544e-05,0.0011535969497221,2.38917840063614,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Septin8",-1.81349401258456,4.03737601682515,-7.51996263618268,5.79146538317426e-05,0.0011535969497221,2.27218058435294,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Dnajc21",1.34904965085324,5.47011204915268,7.51656602121444,5.81058888976335e-05,0.0011535969497221,2.19219245562915,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ypel3",-1.75786964456785,6.45678945619091,-7.49673927618838,5.9236197042067e-05,0.00117396322074375,2.08408103728607,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Srp19",1.12591730458398,6.48253788219344,7.49168566270415,5.9528173552125e-05,0.00117767268698104,2.08106835391607,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Snx6",-1.08772743237656,6.16859498399428,-7.4878117667324,5.97530684835874e-05,0.00118004434191577,2.0768366563742,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Rab7b",-2.23472750791841,5.19424358762243,-7.48179124737157,6.01044502615918e-05,0.0011849012413851,2.1361559365721,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Psme2b",-2.00945720627409,3.5476636540592,-7.47305101089293,6.06186385848592e-05,0.00119258572713087,2.27974626396014,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ube2i",1.2700726782998,7.61846313713506,7.47048542963053,6.07704937475597e-05,0.00119258572713087,2.04325647753804,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Tmem88",-1.21914204530098,5.80333646723807,-7.46480621374365,6.11081412632643e-05,0.00119258572713087,2.06703014245121,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Myh10",-2.75384288610174,2.45022408537942,-7.4644532210235,6.1129196170963e-05,0.00119258572713087,2.33457747973303,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Gna12",-1.4022708107219,5.60159997288619,-7.46230496182193,6.12575061587369e-05,0.00119258572713087,2.07606735147093,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Casp6",1.43166331228572,5.10074027168124,7.46094339019063,6.13389834815741e-05,0.00119258572713087,2.17864307543734,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pctp",-2.21284440858125,1.98613752309568,-7.45876153588068,6.14697970000451e-05,0.00119258572713087,2.30667254790972,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Spice1",-4.28264455381899,0.232868771177974,-7.4584942142941,6.14858455189223e-05,0.00119258572713087,1.74579603840135,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
