"pair","axis","delta","label"
"Il1b→Il1r1","Macrophages→Cardiomyocytes",0.19742218248548,"Il1b→Il1r1 | Macrophages→Cardiomyocytes"
"Tnf→Tnfrsf1a","Macrophages→Cardiomyocytes",0.181674104097727,"Tnf→Tnfrsf1a | Macrophages→Cardiomyocytes"
"Vegfa→Flt1","Macrophages→Cardiomyocytes",0.17900654144682,"Vegfa→Flt1 | Macrophages→Cardiomyocytes"
"Apoe→Ldlr","Macrophages→Cardiomyocytes",0.0943806071702736,"Apoe→Ldlr | Macrophages→Cardiomyocytes"
"Tgfb1→Tgfbr2","Macrophages→Cardiomyocytes",0.0822911971205033,"Tgfb1→Tgfbr2 | Macrophages→Cardiomyocytes"
"Apoe→Trem2","Macrophages→Cardiomyocytes",0.0347541110337277,"Apoe→Trem2 | Macrophages→Cardiomyocytes"
"Il6→Il6st","Macrophages→Cardiomyocytes",0.0176387043767671,"Il6→Il6st | Macrophages→Cardiomyocytes"
"Tgfb1→Tgfbr1","Macrophages→Cardiomyocytes",0.0175453381501305,"Tgfb1→Tgfbr1 | Macrophages→Cardiomyocytes"
"Nampt→Insr","Macrophages→Cardiomyocytes",0.014819175152771,"Nampt→Insr | Macrophages→Cardiomyocytes"
"Vegfa→Kdr","Macrophages→Cardiomyocytes",0.0124515092698742,"Vegfa→Kdr | Macrophages→Cardiomyocytes"
"Ccl3→Ccr1","Macrophages→Cardiomyocytes",0.00481865361760945,"Ccl3→Ccr1 | Macrophages→Cardiomyocytes"
"Cxcl2→Cxcr2","Macrophages→Cardiomyocytes",0.00279241944860079,"Cxcl2→Cxcr2 | Macrophages→Cardiomyocytes"
"Ccl4→Ccr5","Macrophages→Cardiomyocytes",0.00252357508805854,"Ccl4→Ccr5 | Macrophages→Cardiomyocytes"
"Il1b→Il1rap","Macrophages→Cardiomyocytes",0.00204688255119295,"Il1b→Il1rap | Macrophages→Cardiomyocytes"
"Il6→Il6ra","Macrophages→Cardiomyocytes",0.00110437344134756,"Il6→Il6ra | Macrophages→Cardiomyocytes"
