"sample","group","sample_id","time","MAMs_score"
"GSM6280843_n-1","Control","GSM6280843_n-1","Control",5.56089121016849
"GSM6280844_n-2","Control","GSM6280844_n-2","Control",5.58914328576293
"GSM6280845_clp-12h-1","CLP","GSM6280845_clp-12h-1","CLP12h",5.16719022368285
"GSM6280846_clp-12h-2","CLP","GSM6280846_clp-12h-2","CLP12h",5.30444220821109
"GSM6280847_clp-24h-1","CLP","GSM6280847_clp-24h-1","CLP24h",5.20846260635288
"GSM6280848_clp-24h-2","CLP","GSM6280848_clp-24h-2","CLP24h",4.91440849183672
