"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","12/830","72/11188",0.166666666666667,2.24658634538153,3.00380860126959,0.00630861472922535,0.0351953103540789,0.0351953103540789,"12571/18803/13555/26417/14198/107986/15234/20181/12443/23797/56484/18709",12
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","13/830","81/11188",0.160493827160494,2.16337944370073,2.9745647098014,0.00633515586373421,0.0351953103540789,0.0351953103540789,"14872/14862/66447/26417/11920/17685/26408/12043/14082/23797/14863/18709/14871",13
"Metabolism","Glycan biosynthesis and metabolism","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series","5/830","17/11188",0.294117647058824,3.96456413890858,3.46255912146471,0.006474284412316,0.0354062428798531,0.0354062428798531,"20444/239559/26879/15212/15211",5
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","30/830","254/11188",0.118110236220472,1.5920690636562,2.70182741863795,0.00749045818135484,0.0403332363611414,0.0403332363611414,"18747/11513/18018/12571/16438/18796/15042/26399/13555/26417/15040/26416/213233/16439/11515/14673/22084/14082/66066/14672/72512/20315/14677/170758/12443/23797/18709/12774/75600/20293",30
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","18/830","131/11188",0.137404580152672,1.85214752138324,2.77708830820999,0.00797014652716231,0.0416350937986091,0.0416350937986091,"18805/18796/13611/20597/67260/81535/26417/14739/18806/26416/26408/54447/12043/14673/14677/170758/23797/18709",18
"Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway","18/830","131/11188",0.137404580152672,1.85214752138324,2.77708830820999,0.00797014652716231,0.0416350937986091,0.0416350937986091,"18747/11513/18796/14281/26417/12825/21813/26416/14676/16476/11515/66066/17395/14677/22340/23797/109689/18709",18
"Human Diseases","Substance dependence","mmu05032","Morphine addiction","14/830","93/11188",0.150537634408602,2.02917476357041,2.82114144536072,0.00835116475513109,0.0429839362396453,0.0429839362396453,"18747/29863/11513/12286/18577/54393/11515/18583/66066/14677/207728/218461/109689/110385",14
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism","10/830","57/11188",0.175438596491228,2.36482773198055,2.92419336058702,0.0084851297190123,0.0430405130674537,0.0430405130674537,"12497/76654/66401/56520/22169/12499/56749/57813/79059/13178",10
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","15/830","103/11188",0.145631067961165,1.96303661246929,2.77940269217909,0.00876104619692612,0.0438052309846306,0.0438052309846306,"18796/14281/26417/21813/26416/14676/16476/14082/14672/14677/23797/18709/11421/21808/20293",15
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","31/830","268/11188",0.115671641791045,1.55919798597375,2.62288704650036,0.00890015093197986,0.0438739834675063,0.0438739834675063,"103967/13429/17127/18805/15042/52055/215445/14276/30948/67804/21813/15040/18806/12390/72183/69178/259300/22042/227700/17999/140500/347722/234353/98878/13858/230597/109689/12774/12389/107568/18854",31
"Metabolism","Lipid metabolism","mmu00565","Ether lipid metabolism","9/830","49/11188",0.183673469387755,2.47582985001229,2.93068499010247,0.00907868190470133,0.044132481481187,0.044132481481187,"67916/18805/50784/18806/18807/104759/67893/18476/225845",9
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","18/830","133/11188",0.135338345864662,1.82429567895643,2.70699455462246,0.00929102337596116,0.044546002487485,0.044546002487485,"108099/17127/13611/16000/12359/170755/54601/26417/11920/21813/26416/22035/74551/12443/23797/56484/18709/21808",18
"Environmental Information Processing","Membrane transport","mmu02010","ABC transporters","10/830","58/11188",0.172413793103448,2.32405484004985,2.8617408289161,0.00959105476678457,0.045363096869927,0.045363096869927,"76408/11305/19300/11307/18670/217258/217262/18671/11666/26874",10
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","16/830","114/11188",0.140350877192982,1.89186218558444,2.70929208637793,0.00981729660154373,0.0458140508072041,0.0458140508072041,"18747/11513/16438/18796/12286/12322/14281/26417/12043/16439/11515/66066/14672/14677/23797/18709",16
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway","18/830","134/11188",0.134328358208955,1.81068153209854,2.67239629230634,0.0100142299063561,0.0461181640424295,0.0461181640424295,"18747/11513/16438/18796/14281/26417/14228/54393/16476/12043/16439/11515/17979/17395/14677/23797/18709/75600",18
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","15/830","105/11188",0.142857142857143,1.92564543889845,2.69754414319667,0.0104124519158759,0.0473293268903449,0.0473293268903449,"60504/17127/18018/18803/20846/16364/14281/26417/54721/16818/21813/26416/16476/20181/12504",15
