"gene","sample","expr","group"
"Spp1","GSM6280846_clp-12h-2",2.63200719116404,"CLP"
"Spp1","GSM6280847_clp-24h-1",1.45534115700541,"CLP"
"Spp1","GSM6280848_clp-24h-2",2.01323567753226,"CLP"
"Icam1","GSM6280843_n-1",8.19479361664285,"Control"
"Icam1","GSM6280844_n-2",8.40961386610721,"Control"
"Icam1","GSM6280845_clp-12h-1",8.86328978479553,"CLP"
"Icam1","GSM6280846_clp-12h-2",8.41829194188705,"CLP"
"Icam1","GSM6280847_clp-24h-1",9.93862992692499,"CLP"
"Icam1","GSM6280848_clp-24h-2",9.68437361649672,"CLP"
"Apoe","GSM6280843_n-1",11.3270438091624,"Control"
"Apoe","GSM6280844_n-2",11.300381772064,"Control"
"Apoe","GSM6280845_clp-12h-1",10.2390138533264,"CLP"
"Apoe","GSM6280846_clp-12h-2",10.9239535725665,"CLP"
"Apoe","GSM6280847_clp-24h-1",9.75655881577904,"CLP"
"Apoe","GSM6280848_clp-24h-2",9.11139349276745,"CLP"
"Vegfa","GSM6280843_n-1",5.75409528583564,"Control"
"Vegfa","GSM6280844_n-2",5.58910503404338,"Control"
"Vegfa","GSM6280845_clp-12h-1",5.91213528468599,"CLP"
"Vegfa","GSM6280846_clp-12h-2",5.93058136851691,"CLP"
"Vegfa","GSM6280847_clp-24h-1",5.98201900484779,"CLP"
"Vegfa","GSM6280848_clp-24h-2",5.76169566008837,"CLP"
"Pdgfb","GSM6280843_n-1",7.46311834828275,"Control"
"Pdgfb","GSM6280844_n-2",7.61616830639882,"Control"
"Pdgfb","GSM6280845_clp-12h-1",5.38431019541644,"CLP"
"Pdgfb","GSM6280846_clp-12h-2",5.07552941501362,"CLP"
"Pdgfb","GSM6280847_clp-24h-1",5.1189878164124,"CLP"
"Pdgfb","GSM6280848_clp-24h-2",5.25764227778732,"CLP"
"Angpt1","GSM6280843_n-1",2.96314759372365,"Control"
"Angpt1","GSM6280844_n-2",2.96437237003484,"Control"
"Angpt1","GSM6280845_clp-12h-1",1.45203192769114,"CLP"
"Angpt1","GSM6280846_clp-12h-2",1.23977134356341,"CLP"
"Angpt1","GSM6280847_clp-24h-1",0.836493239332831,"CLP"
"Angpt1","GSM6280848_clp-24h-2",0.60969604010711,"CLP"
"Il10","GSM6280843_n-1",0.724113715184395,"Control"
"Il10","GSM6280844_n-2",1.61507749550174,"Control"
"Il10","GSM6280845_clp-12h-1",3.77299492984819,"CLP"
"Il10","GSM6280846_clp-12h-2",1.64382773799198,"CLP"
"Il10","GSM6280847_clp-24h-1",1.36255892883891,"CLP"
"Il10","GSM6280848_clp-24h-2",2.26313174204083,"CLP"
"Ifng","GSM6280843_n-1",0.15283474687343,"Control"
"Ifng","GSM6280844_n-2",0.187608967733166,"Control"
"Ifng","GSM6280845_clp-12h-1",0.620010084545148,"CLP"
"Ifng","GSM6280846_clp-12h-2",0.194608153510972,"CLP"
"Ifng","GSM6280847_clp-24h-1",0.73651018751358,"CLP"
"Ifng","GSM6280848_clp-24h-2",3.0698841140451,"CLP"
"Cxcl12","GSM6280843_n-1",10.1927041531493,"Control"
"Cxcl12","GSM6280844_n-2",10.228465756767,"Control"
"Cxcl12","GSM6280845_clp-12h-1",7.85566770050006,"CLP"
"Cxcl12","GSM6280846_clp-12h-2",8.44484249650632,"CLP"
"Cxcl12","GSM6280847_clp-24h-1",8.01681605988402,"CLP"
"Cxcl12","GSM6280848_clp-24h-2",6.76486311147533,"CLP"
"Ccl7","GSM6280843_n-1",5.83304894376748,"Control"
"Ccl7","GSM6280844_n-2",6.26612001828792,"Control"
"Ccl7","GSM6280845_clp-12h-1",6.53755969870537,"CLP"
"Ccl7","GSM6280846_clp-12h-2",6.60227007774154,"CLP"
"Ccl7","GSM6280847_clp-24h-1",7.46270638704702,"CLP"
"Ccl7","GSM6280848_clp-24h-2",8.66553787987823,"CLP"
"Il18","GSM6280843_n-1",1.92364177057557,"Control"
"Il18","GSM6280844_n-2",2.18625435009232,"Control"
"Il18","GSM6280845_clp-12h-1",1.03975300615356,"CLP"
"Il18","GSM6280846_clp-12h-2",1.51437088308748,"CLP"
"Il18","GSM6280847_clp-24h-1",0.993254588034963,"CLP"
"Il18","GSM6280848_clp-24h-2",1.3943551158327,"CLP"
"Nampt","GSM6280843_n-1",6.23629076977175,"Control"
"Nampt","GSM6280844_n-2",6.22423864605998,"Control"
"Nampt","GSM6280845_clp-12h-1",6.33977880511309,"CLP"
"Nampt","GSM6280846_clp-12h-2",6.5463661187511,"CLP"
"Nampt","GSM6280847_clp-24h-1",6.4123216940445,"CLP"
"Nampt","GSM6280848_clp-24h-2",6.97011483983592,"CLP"
"Tnfrsf1a","GSM6280843_n-1",7.45103744157062,"Control"
"Tnfrsf1a","GSM6280844_n-2",7.43153295556077,"Control"
"Tnfrsf1a","GSM6280845_clp-12h-1",8.67878616832911,"CLP"
"Tnfrsf1a","GSM6280846_clp-12h-2",8.44723212869329,"CLP"
"Tnfrsf1a","GSM6280847_clp-24h-1",8.10152528389264,"CLP"
"Tnfrsf1a","GSM6280848_clp-24h-2",7.95688233950368,"CLP"
"Tnfrsf1b","GSM6280843_n-1",4.31098020557418,"Control"
"Tnfrsf1b","GSM6280844_n-2",4.69919613578504,"Control"
"Tnfrsf1b","GSM6280845_clp-12h-1",5.07528655542255,"CLP"
"Tnfrsf1b","GSM6280846_clp-12h-2",4.91116244113375,"CLP"
"Tnfrsf1b","GSM6280847_clp-24h-1",4.5833573269324,"CLP"
"Tnfrsf1b","GSM6280848_clp-24h-2",5.24478934562813,"CLP"
"Il1r1","GSM6280843_n-1",5.10725539635123,"Control"
"Il1r1","GSM6280844_n-2",5.11384653191619,"Control"
"Il1r1","GSM6280845_clp-12h-1",7.31342015557131,"CLP"
"Il1r1","GSM6280846_clp-12h-2",7.30376133434817,"CLP"
"Il1r1","GSM6280847_clp-24h-1",6.57727001970027,"CLP"
"Il1r1","GSM6280848_clp-24h-2",6.23476770147364,"CLP"
"Il1rap","GSM6280843_n-1",3.27491615795394,"Control"
"Il1rap","GSM6280844_n-2",3.29987459619923,"Control"
"Il1rap","GSM6280845_clp-12h-1",3.37540196821637,"CLP"
"Il1rap","GSM6280846_clp-12h-2",3.10299614643487,"CLP"
"Il1rap","GSM6280847_clp-24h-1",2.65027827020511,"CLP"
"Il1rap","GSM6280848_clp-24h-2",2.21649592595358,"CLP"
"Il6ra","GSM6280843_n-1",4.90776646266813,"Control"
"Il6ra","GSM6280844_n-2",5.18638313294907,"Control"
"Il6ra","GSM6280845_clp-12h-1",5.59821093106942,"CLP"
"Il6ra","GSM6280846_clp-12h-2",6.05352885778832,"CLP"
"Il6ra","GSM6280847_clp-24h-1",4.8594303547887,"CLP"
"Il6ra","GSM6280848_clp-24h-2",4.59139974921618,"CLP"
"Il6st","GSM6280843_n-1",6.71378418218121,"Control"
"Il6st","GSM6280844_n-2",6.76140469833681,"Control"
"Il6st","GSM6280845_clp-12h-1",7.14395927460151,"CLP"
"Il6st","GSM6280846_clp-12h-2",7.18830722446891,"CLP"
"Il6st","GSM6280847_clp-24h-1",6.49960504185344,"CLP"
"Il6st","GSM6280848_clp-24h-2",6.43531552538164,"CLP"
"Ccr2","GSM6280843_n-1",3.24405161735081,"Control"
"Ccr2","GSM6280844_n-2",3.41167959815366,"Control"
"Ccr2","GSM6280845_clp-12h-1",2.64237484576624,"CLP"
"Ccr2","GSM6280846_clp-12h-2",3.01368576325073,"CLP"
"Ccr2","GSM6280847_clp-24h-1",2.53170538845933,"CLP"
"Ccr2","GSM6280848_clp-24h-2",3.16300402196804,"CLP"
"Ccr1","GSM6280843_n-1",3.13815931604902,"Control"
