"celltype","n_before","n_after"
"Macrophages",1689,760
"Dendritic",700,2377
"T_cells",534,637
"Granulocytes",414,445
"B_cells",386,400
"Monocytes",320,334
"NK_cells",95,95
"Cycling",49,NA
