"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","90/1770","299/11190",0.301003344481605,1.90295334731591,6.85999574214017,2.48912494468831e-10,8.7119373064091e-08,6.14614676705148e-08,"14102/17869/16177/72349/22034/20111/17164/13866/26410/16590/21813/26416/21808/18188/338372/16000/14701/215449/14183/66513/23797/19697/19057/18747/12475/13867/21687/17311/170758/12297/11911/14254/12978/193740/14205/18099/14180/26401/26397/19698/19395/14013/12299/19099/26407/13537/26408/240168/26404/109689/19353/18212/16765/12064/18591/26921/18049/26415/67603/18211/71785/18654/63953/14256/17295/54377/18218/11839/19279/54635/70686/235584/21937/16337/26399/19418/13836/11600/240672/12295/18205/71751/18034/330177/18015/26417/17762/17532/53608/13874",90
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","56/1770","163/11190",0.343558282208589,2.17198710616616,6.53348302931569,3.66150254825833e-09,6.40762945945207e-07,4.52049064422248e-07,"19225/15251/20393/17164/20181/26416/330662/70839/16452/17289/11846/53357/11847/18263/12484/13051/20501/20698/21825/12325/11689/12894/226421/13435/70417/70676/13537/50769/22174/78070/12927/12608/19353/13609/20525/66694/26415/13857/381560/276891/18218/11863/70686/12642/11303/235584/22260/19015/240672/19345/18442/11596/22259/26417/16419/192654",56
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","44/1770","118/11190",0.372881355932203,2.35736857224935,6.42513967807447,1.04600033090696e-08,1.22033371939145e-06,8.60927929158066e-07,"20310/14102/20311/19225/22033/17392/26410/26416/20296/22329/20293/66513/17387/23797/19697/18709/20304/15894/20339/11911/14205/26397/16193/217344/12702/26408/12608/26415/14825/257632/14082/16168/67457/12051/21937/26399/11797/15945/18035/21929/11796/16182/26417/66724",44
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","67/1770","217/11190",0.308755760368664,1.95196438334765,6.13825174688052,1.63633871626616e-08,1.43179637673289e-06,1.01011179975538e-06,"11783/20310/14102/22034/75600/17392/22035/21353/216799/18024/12371/14828/20181/26416/20296/18795/15519/20656/215449/22329/74519/18796/16452/13665/20293/66513/23797/226641/18803/19697/19057/21933/18709/12475/20304/15894/12325/20339/11911/76580/193740/26397/16193/18988/22433/20848/26408/20344/19353/18797/16803/26415/14825/225471/24088/56489/56480/11303/21937/108078/26399/20302/12122/18035/11596/26417/16159",67
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","81/1770","294/11190",0.275510204081633,1.74178484953303,5.58695142594407,1.5357857247431e-07,1.07505000732017e-05,7.58432354884907e-06,"20310/14102/20311/16196/16197/16177/56221/320100/213208/12159/16880/16178/22035/16174/21942/252837/21813/21943/18414/16324/21808/21944/24047/20296/29820/171095/12774/18829/20293/17000/12504/12983/20303/21933/12984/13051/21935/20304/23886/12978/16190/57914/77125/16193/20315/100532/12778/16172/232983/12985/20292/18413/239114/11481/18049/13857/12804/14825/242316/85030/16164/56708/16168/11479/57266/21937/20305/11482/20302/15945/16181/16155/16182/16159/21949/12777/27279/20295/18383/55985/16323",81
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","96/1770","368/11190",0.260869565217391,1.64922623434046,5.48937656610675,1.9266812435684e-07,1.12389739208156e-05,7.92893483950804e-06,"12827/16196/17869/78134/74747/16197/52432/16400/67168/20393/13866/16780/16590/12371/12575/20181/14062/16367/18414/18188/226849/14696/20963/12571/16000/15519/14701/14183/16452/263803/23797/19697/18709/13867/21687/21825/17311/11911/14254/12978/14697/16190/14205/12447/14709/14180/26987/16193/14936/245026/56716/12444/56717/22084/83490/22631/241226/50791/22370/17246/12985/19353/18212/17863/12064/18591/18413/21826/12826/18049/13857/18211/12829/71785/18654/14256/17295/24088/66066/11839/320207/54635/12824/16337/13836/51792/11600/319480/12835/18205/74551/26417/21923/19053/16419/13874",96
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","45/1770","134/11190",0.335820895522388,2.12307108525171,5.66914348254956,2.62632101343141e-07,1.31316050671571e-05,9.26415895696693e-06,"12495/66566/12497/171567/242202/234889/105446/73707/18577/66355/231327/14544/60596/18102/50773/110639/18578/79059/76974/229665/75686/56520/207728/218461/18582/56248/27369/11513/11717/238871/66681/66401/54369/11486/78801/11639/68695/23959/209558/18160/230103/11515/54195/53893/237823",45
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","36/1770","101/11190",0.356435643564356,2.25339822117805,5.48479484689808,8.09040984233637e-07,3.53955430602216e-05,2.49710477585244e-05,"12827/18787/21813/26416/21808/20296/18795/22329/18796/50490/16452/20293/23797/18803/19697/18709/18712/15894/20339/72469/14205/16193/20848/19353/11606/18797/12826/26415/12825/11607/12829/18762/11596/20846/74055/26417",36
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","57/1770","194/11190",0.293814432989691,1.85750480517211,5.22248114202847,1.17019086686028e-06,4.55074226001219e-05,3.21048336843312e-05,"20310/216148/20311/56221/19303/24047/20296/18795/14696/14701/215449/12774/18829/18796/16452/20293/23797/20303/18803/19697/18747/18709/13051/20304/170758/14697/14709/19395/20315/20848/12927/109689/19353/11513/18797/20418/20292/16428/14825/66066/320207/18762/57266/14679/20305/18036/20302/15945/18035/20846/93742/26417/12777/11515/20295/271849/55985",57
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","37/1770","107/11190",0.345794392523364,2.18612387137652,5.34379866753014,1.33962704060554e-06,4.68869464211939e-05,3.3078067946097e-05,"20310/11920/17060/19225/16177/22034/22033/21943/12042/24047/20963/22329/18829/17000/18792/66513/20303/18803/19697/12475/15894/19698/20315/22196/16803/14825/225471/11545/105844/21937/11797/240354/18035/21929/11796/18034/66724",37
