"pair","case","ctrl","delta"
"Il6→Il6st",55.1428281871464,24.7162525147911,30.4265756723553
"Il6→Il6ra",42.6760333979341,18.5147349354082,24.161298462526
"Csf3→Csf3r",23.0188439056553,0.829409203839734,22.1894347018155
"Il1b→Il1r1",50.8288858070185,32.7466465062335,18.082239300785
"Ccl3→Ccr1",29.0747492196584,17.2346947247876,11.8400544948708
"Tnf→Tnfrsf1a",46.3503307490449,35.0080067333985,11.3423240156464
"Ifng→Ifngr1",9.49982808895717,1.40639010641551,8.09343798254165
"Tnf→Tnfrsf1b",27.6760268544241,21.1944782124605,6.48154864196364
"Vegfa→Flt1",62.8973687220948,56.8742553887263,6.02311333336841
"Nampt→Insr",35.6148219026152,29.6840834051728,5.93073849744242
"Cxcl2→Cxcr2",21.8335093410871,15.9600294731291,5.87347986795808
"Icam1→Itgb2",41.2558729310718,35.8585399210275,5.39733301004433
"Tgfb1→Tgfbr2",56.2893086650639,51.0466474999728,5.24266116509115
"Cxcl1→Cxcr2",22.326676223401,17.9767001657659,4.34997605763511
"Il10→Il10ra",8.1203204362118,4.08194749884672,4.03837293736508
"Ccl2→Ccr2",25.2776598736343,21.4534914675251,3.82416840610917
"Spp1→Cd44",11.793864763052,11.0465232217778,0.747341541274235
"Ccl7→Ccr2",20.7634485861491,20.1322041356038,0.631244450545356
"Cxcl10→Cxcr3",2.86496559541839,2.52471161921592,0.340253976202469
"Il18→Il18r1",2.20316185268338,2.18101885612711,0.0221429965562794
"Il1b→Il1rap",21.0236559564147,21.0644948254813,-0.0408388690666506
"Ccl5→Ccr5",18.4702886249842,19.1286745918625,-0.658385966878285
"Tgfb1→Tgfbr1",37.359866011768,39.3340884084957,-1.9742223967277
"Spp1→Itgav",9.18879010637825,11.4150167558929,-2.22622664951462
"Ccl4→Ccr5",21.7440028316755,25.5236329512789,-3.77963011960347
"Apoe→Ldlr",35.5911945635535,39.7067733265904,-4.11557876303691
"Icam1→Itgal",23.6631080010619,28.6354003917708,-4.97229239070891
"Vegfa→Kdr",48.3788367714372,54.4719884279482,-6.09315165651103
"Csf1→Csf1r",30.6737183155736,38.9317518919066,-8.25803357633303
"Cxcl12→Cxcr4",33.2004886716705,46.9827509245471,-13.7822622528766
"Angpt1→Tek",5.90313604915927,21.7089182519125,-15.8057822027533
"Pdgfb→Pdgfrb",25.1001312516803,44.2135273503484,-19.1133960986681
"Apoe→Trem2",26.47941584633,47.8385529703391,-21.3591371240091
