"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast","category"
"Pink1",-2.24779716121274,1.59255490256831e-13,3.1483217868873e-09,0.063,0.131,"macrophage_FindMarkers","Sepsis vs Control","mito_dynamics"
"Pacs2",-1.03160074209219,2.50385307233644e-07,0.00494986713870191,0.131,0.077,"macrophage_FindMarkers","Sepsis vs Control","anchor_contact"
