"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Batf3",-1.68189658831207,5.50409575614352e-09,0.000108810469003201,0.135,0.187,"macrophage_FindMarkers","Sepsis vs Control"
"Ifi27",-1.13399254932742,7.84031751562157e-09,0.000154995236966323,0.317,0.341,"macrophage_FindMarkers","Sepsis vs Control"
"Scamp2",-1.46612867406876,1.03243533673675e-08,0.000204102141719489,0.33,0.33,"macrophage_FindMarkers","Sepsis vs Control"
"Pigp",-1.72333131414323,1.08586755648786e-08,0.000214665157242085,0.12,0.17,"macrophage_FindMarkers","Sepsis vs Control"
"Tpcn1",-2.01787865128278,1.45327564362225e-08,0.000287298061987682,0.072,0.114,"macrophage_FindMarkers","Sepsis vs Control"
"Serpinb6a",-1.15952973930396,1.77210446872457e-08,0.00035032733242216,0.414,0.403,"macrophage_FindMarkers","Sepsis vs Control"
"Nr3c1",-1.56509847098347,1.83331739721271e-08,0.000362428516254982,0.261,0.294,"macrophage_FindMarkers","Sepsis vs Control"
"Rasa3",-1.86365722252009,2.44391355816917e-08,0.000483137271314464,0.083,0.123,"macrophage_FindMarkers","Sepsis vs Control"
"Ttc3",-2.25000286564709,3.44390053611758e-08,0.000680824696985084,0.056,0.103,"macrophage_FindMarkers","Sepsis vs Control"
"Blnk",-1.40063256308736,3.57018901803282e-08,0.000705790666974909,0.189,0.226,"macrophage_FindMarkers","Sepsis vs Control"
"Baiap2",-1.38107951271389,4.42152006836512e-08,0.000874090302315101,0.272,0.306,"macrophage_FindMarkers","Sepsis vs Control"
"Aldh7a1",-2.24538325554686,5.03644391528906e-08,0.000995654597613495,0.076,0.119,"macrophage_FindMarkers","Sepsis vs Control"
"Ptpra",-1.60859226201881,6.50738940229711e-08,0.00128644581094012,0.202,0.239,"macrophage_FindMarkers","Sepsis vs Control"
"Ccpg1",-1.83827075817571,6.70531492760167e-08,0.00132557370803757,0.087,0.13,"macrophage_FindMarkers","Sepsis vs Control"
"Pdcd2l",-1.69102803022902,7.32864745746817e-08,0.00144880031586688,0.12,0.169,"macrophage_FindMarkers","Sepsis vs Control"
"Pdcd4",-1.74435097605612,7.59787081156794e-08,0.00150202308073887,0.07,0.113,"macrophage_FindMarkers","Sepsis vs Control"
"Jup",-1.71250758634257,7.94661039493029e-08,0.00157096540897377,0.095,0.138,"macrophage_FindMarkers","Sepsis vs Control"
"Tprgl",-1.42027146575004,8.63087021071354e-08,0.00170623673195596,0.25,0.267,"macrophage_FindMarkers","Sepsis vs Control"
"Sec14l1",-1.68213476615233,9.77529469873501e-08,0.00193247800899292,0.192,0.226,"macrophage_FindMarkers","Sepsis vs Control"
"Tep1",-1.55028423534553,2.3414935357853e-07,0.00462889857089396,0.19,0.227,"macrophage_FindMarkers","Sepsis vs Control"
"Pacs2",-1.03160074209219,2.50385307233644e-07,0.00494986713870191,0.131,0.077,"macrophage_FindMarkers","Sepsis vs Control"
"Arhgap15",-1.64367246101627,2.81754963395724e-07,0.00557001387137007,0.116,0.152,"macrophage_FindMarkers","Sepsis vs Control"
"Susd3",-1.99340681077519,2.84083457339781e-07,0.00561604586815013,0.074,0.118,"macrophage_FindMarkers","Sepsis vs Control"
"Tmem141",-1.66096386900702,3.57262844209773e-07,0.00706272916718301,0.155,0.193,"macrophage_FindMarkers","Sepsis vs Control"
"Ctdsp2",-1.97342340204255,3.95571648792043e-07,0.0078200559249699,0.143,0.186,"macrophage_FindMarkers","Sepsis vs Control"
"Macf1",-1.19045229831787,4.46138267991893e-07,0.00881970741993173,0.38,0.376,"macrophage_FindMarkers","Sepsis vs Control"
"Osgep",-1.48006204656776,4.82268619299273e-07,0.00953396833492733,0.164,0.193,"macrophage_FindMarkers","Sepsis vs Control"
"Ncoa3",-1.56955538620524,4.86402144169098e-07,0.00961568398807891,0.201,0.226,"macrophage_FindMarkers","Sepsis vs Control"
"Cysltr1",-1.71788908941671,7.13765994491432e-07,0.0141104399451011,0.109,0.151,"macrophage_FindMarkers","Sepsis vs Control"
"Ralbp1",-1.30690369666994,7.22387386965161e-07,0.0142808762529143,0.272,0.287,"macrophage_FindMarkers","Sepsis vs Control"
"Rab11fip5",-2.05481488787009,7.36832035350733e-07,0.0145664325068486,0.177,0.198,"macrophage_FindMarkers","Sepsis vs Control"
"Sgpp1",-1.6977364696336,7.61719362560703e-07,0.0150584300784625,0.128,0.164,"macrophage_FindMarkers","Sepsis vs Control"
"Rasa1",-1.59074544451015,7.97203436420229e-07,0.0157599147345915,0.175,0.217,"macrophage_FindMarkers","Sepsis vs Control"
"Scpep1",-1.37705888370732,8.20679324545724e-07,0.0162240095669444,0.272,0.289,"macrophage_FindMarkers","Sepsis vs Control"
"Adgre5",-1.11722286189341,8.21135866690409e-07,0.0162330349486027,0.293,0.317,"macrophage_FindMarkers","Sepsis vs Control"
"Lbh",-1.54927141704148,8.34622207795971e-07,0.0164996464259185,0.136,0.181,"macrophage_FindMarkers","Sepsis vs Control"
"Iqgap2",-1.7463371006098,9.68534180756488e-07,0.019146952219375,0.177,0.215,"macrophage_FindMarkers","Sepsis vs Control"
"Tmem86a",-1.89847813909986,9.96910493577729e-07,0.0197079235475381,0.09,0.129,"macrophage_FindMarkers","Sepsis vs Control"
"Smim14",-1.29689513520968,1.03742809697405e-06,0.0205089160490801,0.249,0.274,"macrophage_FindMarkers","Sepsis vs Control"
"Cd33",-1.49008022973494,1.16875198092837e-06,0.0231050579109729,0.136,0.173,"macrophage_FindMarkers","Sepsis vs Control"
"Reps2",-2.02079068230979,1.61297589511111e-06,0.0318869204704514,0.121,0.162,"macrophage_FindMarkers","Sepsis vs Control"
"Ptov1",-1.73503004975664,1.70233302069126e-06,0.0336534214860455,0.17,0.204,"macrophage_FindMarkers","Sepsis vs Control"
"Sesn1",-1.50786994281892,1.82342310933276e-06,0.0360472514483993,0.125,0.162,"macrophage_FindMarkers","Sepsis vs Control"
"Dusp22",-1.95221716217906,2.0712150162011e-06,0.0409458496552796,0.081,0.115,"macrophage_FindMarkers","Sepsis vs Control"
"Etv1",-1.77812774328329,2.2839271185197e-06,0.045150955206016,0.099,0.141,"macrophage_FindMarkers","Sepsis vs Control"
