"gene","sample","expr","group"
"Tnf","GSM6285062_Sample1",7.1051171947844,"Control"
"Tnf","GSM6285063_Sample2",7.97465395332408,"Sham"
"Tnf","GSM6285064_Sample3",7.00185314946461,"Sepsis"
"Tnf","GSM6285065_Sample4",7.287128662096,"LLTS"
"Il1b","GSM6285062_Sample1",6.20931598947292,"Control"
"Il1b","GSM6285063_Sample2",6.63567473395989,"Sham"
"Il1b","GSM6285064_Sample3",7.52285235853482,"Sepsis"
"Il1b","GSM6285065_Sample4",9.72184695053003,"LLTS"
"Il6","GSM6285062_Sample1",5.24830854467776,"Control"
"Il6","GSM6285063_Sample2",5.97363535747644,"Sham"
"Il6","GSM6285064_Sample3",5.99899931338344,"Sepsis"
"Il6","GSM6285065_Sample4",6.56353873516743,"LLTS"
"Ccl2","GSM6285062_Sample1",8.88668483560045,"Control"
"Ccl2","GSM6285063_Sample2",9.85781064043636,"Sham"
"Ccl2","GSM6285064_Sample3",9.61459304324665,"Sepsis"
"Ccl2","GSM6285065_Sample4",10.5139221861775,"LLTS"
"Ccl3","GSM6285062_Sample1",8.59265348904885,"Control"
"Ccl3","GSM6285063_Sample2",9.69578118511924,"Sham"
"Ccl3","GSM6285064_Sample3",9.18088105669298,"Sepsis"
"Ccl3","GSM6285065_Sample4",10.6746846229398,"LLTS"
"Ccl4","GSM6285062_Sample1",9.66695894664582,"Control"
"Ccl4","GSM6285063_Sample2",11.2278244384721,"Sham"
"Ccl4","GSM6285064_Sample3",10.5127884072776,"Sepsis"
"Ccl4","GSM6285065_Sample4",11.4781409730113,"LLTS"
"Ccl5","GSM6285062_Sample1",6.79314109346082,"Control"
"Ccl5","GSM6285063_Sample2",7.67608165664501,"Sham"
"Ccl5","GSM6285064_Sample3",5.92551325477816,"Sepsis"
"Ccl5","GSM6285065_Sample4",8.42441115115864,"LLTS"
"Cxcl2","GSM6285062_Sample1",11.7434198689522,"Control"
"Cxcl2","GSM6285063_Sample2",12.0525035663343,"Sham"
"Cxcl2","GSM6285064_Sample3",12.0402914336557,"Sepsis"
"Cxcl2","GSM6285065_Sample4",13.5846538968488,"LLTS"
"Cxcl1","GSM6285062_Sample1",8.23412091234883,"Control"
"Cxcl1","GSM6285063_Sample2",8.55644658786678,"Sham"
"Cxcl1","GSM6285064_Sample3",8.99852813359317,"Sepsis"
"Cxcl1","GSM6285065_Sample4",9.2777154393517,"LLTS"
"Cxcl10","GSM6285062_Sample1",6.96650850402414,"Control"
"Cxcl10","GSM6285063_Sample2",8.83619353235307,"Sham"
"Cxcl10","GSM6285064_Sample3",7.32867205596125,"Sepsis"
"Cxcl10","GSM6285065_Sample4",7.06065487368973,"LLTS"
"Csf1","GSM6285062_Sample1",5.41756664894055,"Control"
"Csf1","GSM6285063_Sample2",5.37551116295475,"Sham"
"Csf1","GSM6285064_Sample3",6.7757276103553,"Sepsis"
"Csf1","GSM6285065_Sample4",5.33453729028421,"LLTS"
"Csf2","GSM6285062_Sample1",1.28168898744456,"Control"
"Csf2","GSM6285063_Sample2",2.07453060202468,"Sham"
"Csf2","GSM6285064_Sample3",0.754225797168902,"Sepsis"
"Csf2","GSM6285065_Sample4",1.50225050886395,"LLTS"
"Csf3","GSM6285062_Sample1",0.5736687538091,"Control"
"Csf3","GSM6285063_Sample2",1.10905106973437,"Sham"
"Csf3","GSM6285064_Sample3",4.04913830428966,"Sepsis"
"Csf3","GSM6285065_Sample4",7.23085363235022,"LLTS"
"Tgfb1","GSM6285062_Sample1",7.00635502271964,"Control"
"Tgfb1","GSM6285063_Sample2",7.06988318756888,"Sham"
"Tgfb1","GSM6285064_Sample3",6.49734215244525,"Sepsis"
"Tgfb1","GSM6285065_Sample4",6.51028998815581,"LLTS"
"Spp1","GSM6285062_Sample1",4.30187392132207,"Control"
"Spp1","GSM6285063_Sample2",5.13367424423049,"Sham"
"Spp1","GSM6285064_Sample3",6.44627782153411,"Sepsis"
