"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","24/474","86/11188",0.27906976744186,6.58698851928172,10.939477060093,6.80268559280652e-14,2.38093995748228e-11,2.38093995748228e-11,"21355/14991/14960/19141/15018/15516/14999/110557/12265/14998/213233/16149/193740/15511/14969/15481/15040/13030/21356/14964/15015/15519/14972/14961",24
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","28/474","180/11188",0.155555555555556,3.67163619315518,7.60027889673078,2.06751699249378e-09,3.61815473686411e-07,3.61815473686411e-07,"246256/15510/17533/14960/15977/14999/19055/12265/14998/16783/12367/16149/13033/16155/15979/12266/14969/16176/26416/56619/12608/11975/13063/26417/16409/14961/16985/21803",28
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","17/474","70/11188",0.242857142857143,5.73224834237493,8.35359434349409,3.38280836441411e-09,3.94660975848312e-07,3.94660975848312e-07,"246256/14960/18751/14999/14998/13058/16401/15979/12266/14969/16176/26416/26417/16409/14961/19225/21803",17
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","33/474","254/11188",0.12992125984252,3.0665802850593,7.00728488519573,8.30949858396254e-09,7.27081126096722e-07,7.27081126096722e-07,"218035/63959/16889/19156/11881/19141/252972/11764/11886/71279/12751/13032/16783/235380/13033/192654/11433/67300/56464/12091/71923/11975/14667/12492/17939/66049/13030/170743/14387/13036/15212/15211/17159",33
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","36/474","305/11188",0.118032786885246,2.78597219340112,6.65151334620297,2.24676209331656e-08,1.57273346532159e-06,1.57273346532159e-06,"218035/246256/21355/14991/17533/14960/15018/16402/14999/110557/22146/20335/14998/13058/16419/16783/67117/13033/12266/14969/17167/16819/11975/17105/15040/13030/14964/14133/15015/20619/16409/14972/66212/14961/20288/276891",36
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","30/474","227/11188",0.13215859030837,3.11938883622372,6.78529370334775,2.72165528790304e-08,1.58763225127677e-06,1.58763225127677e-06,"12443/21355/14991/14960/15018/15977/14999/110557/19179/14998/213233/17246/66935/12367/23960/14969/15945/15894/26416/56489/15040/12505/21356/14964/15015/17060/12495/13063/14972/14961",30
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","18/474","92/11188",0.195652173913043,4.61805173362686,7.3291841028494,4.50361170426889e-08,2.25180585213444e-06,2.25180585213444e-06,"12443/14991/14960/15018/14999/110557/14998/12367/170758/14969/15894/20650/15040/14964/15015/13063/14972/14961",18
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","28/474","209/11188",0.133971291866029,3.16217471180829,6.6367078919877,5.94573779402819e-08,2.60126028488733e-06,2.60126028488733e-06,"21355/14991/14960/15018/15977/16402/14999/110557/14998/213233/12367/16149/23960/15979/12266/24014/14969/71586/16176/231805/56489/15040/21356/14964/15015/13063/14972/14961",28
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","19/474","109/11188",0.174311926605505,4.11434986257887,6.87227509390772,1.3278162484018e-07,5.16372985489589e-06,5.16372985489589e-06,"14960/11689/14999/30955/12265/14998/12367/16155/15979/193740/15511/14969/320207/26416/15481/13063/26417/14961/21803",19
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","23/474","163/11188",0.141104294478528,3.33053765110921,6.30421180061194,3.59103947142152e-07,1.25686381499753e-05,1.25686381499753e-05,"218035/192187/16889/18018/13537/11689/70686/16419/12367/20525/192654/70839/19261/26416/15251/12608/19128/14456/26417/19225/26362/21803/276891",23
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","14/474","65/11188",0.215384615384615,5.08380395975333,6.9451361589422,4.14588068521886e-07,1.31914385438782e-05,1.31914385438782e-05,"15510/14991/14960/15018/14999/110557/14998/14969/16176/15040/14964/15015/14972/14961",14
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","29/474","245/11188",0.118367346938776,2.79386893998106,5.97139392213082,5.12067986515065e-07,1.49353162733561e-05,1.49353162733561e-05,"12443/11513/18018/14991/26401/14960/15018/14999/110557/19055/12580/14998/23872/21813/13654/20525/74343/14969/15894/18186/13653/15040/14964/15015/26417/14972/14961/18749/21803",29
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","13/474","58/11188",0.224137931034483,5.29041175614724,6.89025916499921,6.61209280604782e-07,1.78017883239749e-05,1.78017883239749e-05,"14991/14960/15018/14999/110557/14998/14969/16176/15040/14964/15015/14972/14961",13
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","18/474","112/11188",0.160714285714286,3.79339963833635,6.24914755328299,9.91389851476177e-07,2.47847462869044e-05,2.47847462869044e-05,"12051/18018/13655/16362/19055/17246/69810/17474/13654/16176/26416/56619/56489/26417/16985/66824/216799/19225",18
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","29/474","254/11188",0.114173228346457,2.69487358383999,5.74691539071694,1.08848612587758e-06,2.53980096038101e-05,2.53980096038101e-05,"12443/21355/11513/18018/20662/14991/15018/15977/18751/110557/19055/213233/17246/12367/16155/170758/16176/26416/14682/15040/14673/21356/14964/15015/13063/26417/14972/19225/18749",29
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","32/474","299/11188",0.107023411371237,2.52611376882153,5.6259863581299,1.27600743982571e-06,2.79126627461874e-05,2.79126627461874e-05,"18018/20662/26401/16000/13537/18751/330177/19055/70686/218397/16765/21813/12367/12289/17260/170758/193740/15511/240168/15507/17346/16176/26416/16001/22340/15481/14673/12978/109689/26417/18749/21803",32
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","17/474","105/11188",0.161904761904762,3.82149889491662,6.10964584301319,1.78293043896959e-06,3.67073913905503e-05,3.67073913905503e-05,"18018/14960/15516/14999/19055/14998/21813/15979/14969/16176/26416/15251/16190/15519/26417/14961/21803",17
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","23/474","179/11188",0.128491620111732,3.03283596162459,5.76666978731361,1.91669989747747e-06,3.72691646731729e-05,3.72691646731729e-05,"14991/14960/15018/14999/110557/14998/16401/54725/52118/14969/19280/15894/20737/270152/20345/20971/15040/14964/60533/15015/16409/14972/14961",23
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","22/474","174/11188",0.126436781609195,2.98433483680101,5.54864850181868,4.19250094471113e-06,7.67448536141529e-05,7.67448536141529e-05,"14960/15977/18751/14999/12265/14998/12367/23960/15979/24014/14969/15945/15894/71586/16176/56489/170743/13063/26417/14961/66824/216799",22
