"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046031","ADP metabolic process","8/328","129/25615",0.062015503875969,4.84307052372849,4.98367072195293,0.000264454670963693,0.0071204073274107,0.0071204073274107,"Pgk1/Myc/Pfkl/Pgam1/Ddit4/Gapdh/Aldoa/Pkm",8
"GO:0048247","lymphocyte chemotaxis","5/328","45/25615",0.111111111111111,8.67716802168022,5.87041641339433,0.000268044806616742,0.0071204073274107,0.0071204073274107,"Ccl7/Cxcl13/Ccl2/Adam8/Ccl3",5
"GO:0050922","negative regulation of chemotaxis","5/328","45/25615",0.111111111111111,8.67716802168022,5.87041641339433,0.000268044806616742,0.0071204073274107,0.0071204073274107,"Stap1/Dusp1/Mif/Cxcl13/Ccl2",5
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","4/328","25/25615",0.16,12.4951219512195,6.54900639640441,0.000269983868136832,0.0071204073274107,0.0071204073274107,"Rrs1/Ftsj3/Bop1/Abt1",4
"GO:0002544","chronic inflammatory response","4/328","25/25615",0.16,12.4951219512195,6.54900639640441,0.000269983868136832,0.0071204073274107,0.0071204073274107,"Tnfaip3/Ccl2/Cebpb/S100a9",4
"GO:0061760","antifungal innate immune response","4/328","25/25615",0.16,12.4951219512195,6.54900639640441,0.000269983868136832,0.0071204073274107,0.0071204073274107,"Clec4d/Gapdh/Clec4a1/Clec4e",4
"GO:1901857","positive regulation of cellular respiration","4/328","25/25615",0.16,12.4951219512195,6.54900639640441,0.000269983868136832,0.0071204073274107,0.0071204073274107,"Myc/Oas1a/Oas1g/Chchd4",4
"GO:0032611","interleukin-1 beta production","7/328","98/25615",0.0714285714285714,5.57817944250871,5.17151766056165,0.000270473911107078,0.0071204073274107,0.0071204073274107,"Pycard/Tnfaip3/Nlrp3/Acp5/Hspb1/Ccn1/Ccl3",7
"GO:0032651","regulation of interleukin-1 beta production","7/328","98/25615",0.0714285714285714,5.57817944250871,5.17151766056165,0.000270473911107078,0.0071204073274107,0.0071204073274107,"Pycard/Tnfaip3/Nlrp3/Acp5/Hspb1/Ccn1/Ccl3",7
"GO:0002703","regulation of leukocyte mediated immunity","13/328","320/25615",0.040625,3.17258955792683,4.45412402024017,0.000271559743962581,0.0071204073274107,0.0071204073274107,"Stap1/Cd274/Fcgr1/Itgam/Nlrp3/Fgr/C3/Hspa8/Spn/Il1b/Rsad2/Ccl2/Hspd1",13
"GO:1903317","regulation of protein maturation","6/328","70/25615",0.0857142857142857,6.69381533101045,5.43283373398691,0.000277313341372341,0.00723797807906473,0.00723797807906473,"S100a10/Serpine1/Ctla2a/Mmp14/Plaur/Mdm2",6
"GO:0019364","pyridine nucleotide catabolic process","8/328","130/25615",0.0615384615384615,4.80581613508443,4.95454902827442,0.000278712453043775,0.00723797807906473,0.00723797807906473,"Pgk1/Myc/Pfkl/Pgam1/Ddit4/Gapdh/Aldoa/Pkm",8
"GO:0030522","intracellular receptor signaling pathway","16/328","454/25615",0.0352422907488987,2.7522295046739,4.29024344664751,0.00027942381127149,0.00723797807906473,0.00723797807906473,"Irf7/Pycard/Msr1/Tnfaip3/Nlrp3/Znrf1/Ufm1/Hspa8/Slc15a3/Oas1a/Oas1g/Oasl1/Rsad2/Riok3/Hspa1b/Hspa1a",16
"GO:0070098","chemokine-mediated signaling pathway","7/328","99/25615",0.0707070707070707,5.52183419561468,5.13396501093941,0.000287907254348113,0.00742777591137461,0.00742777591137461,"Ccl4/Ccl7/Gpr35/Cxcl13/Edn1/Ccl2/Ccl3",7
"GO:0007204","positive regulation of cytosolic calcium ion concentration","10/328","202/25615",0.0495049504950495,3.86606496015455,4.65758421510872,0.000294782274199929,0.00757472531784137,0.00757472531784137,"Cd38/Fpr2/Abl2/Gpr35/Il1b/Cxcl13/Cacna1d/Edn1/Fpr1/Ccl3",10
"GO:0062012","regulation of small molecule metabolic process","15/328","411/25615",0.0364963503649635,2.85016467865409,4.30649087427615,0.000298380638350099,0.00763664231378899,0.00763664231378899,"Ptgs2/Bcl2l1/Pgk1/Plaa/Myc/Nme1/Ddit4/Il1b/Sik1/Apoc2/Edn1/Gpihbp1/Nme2/Slc7a11/Gk",15
"GO:0009261","ribonucleotide catabolic process","9/328","166/25615",0.0542168674698795,4.23403981780782,4.76092144846475,0.000302684361619907,0.00771604896446938,0.00771604896446938,"Pgk1/Myc/Pfkl/Pgam1/Ddit4/Gapdh/Aldoa/Pkm/Gda",9
"GO:0046496","nicotinamide nucleotide metabolic process","10/328","203/25615",0.0492610837438424,3.84702030517842,4.63816431680871,0.000306607469658153,0.00775451332710225,0.00775451332710225,"Rpe/Pgk1/Myc/Pfkl/Pgam1/Ddit4/Noct/Gapdh/Aldoa/Pkm",10
"GO:0051495","positive regulation of cytoskeleton organization","10/328","203/25615",0.0492610837438424,3.84702030517842,4.63816431680871,0.000306607469658153,0.00775451332710225,0.00775451332710225,"Pycard/S100a10/Pfn1/Nup62/Rgcc/Edn1/Gda/Hspa1b/Sdc4/Hspa1a",10
"GO:0051259","protein complex oligomerization","13/328","325/25615",0.04,3.12378048780488,4.38837631486727,0.000315084007951234,0.00785906322555052,0.00785906322555052,"Tgm2/Pycard/Nlrp3/Isg15/Ehd1/Basp1/Nme1/Oas1a/Oas1g/Mif/Sod2/Lrrc8d/Aldoa",13
"GO:0046184","aldehyde biosynthetic process","4/328","26/25615",0.153846153846154,12.0145403377111,6.39960788396598,0.000315870001202215,0.00785906322555052,0.00785906322555052,"Pgk1/Pgam1/Gapdh/Aldoa",4
"GO:1901623","regulation of lymphocyte chemotaxis","4/328","26/25615",0.153846153846154,12.0145403377111,6.39960788396598,0.000315870001202215,0.00785906322555052,0.00785906322555052,"Ccl7/Cxcl13/Ccl2/Ccl3",4
"GO:0017014","protein nitrosylation","3/328","11/25615",0.272727272727273,21.2985033259423,7.66890610809841,0.000318081637397748,0.00785906322555052,0.00785906322555052,"Gapdh/S100a9/S100a8",3
"GO:0035425","autocrine signaling","3/328","11/25615",0.272727272727273,21.2985033259423,7.66890610809841,0.000318081637397748,0.00785906322555052,0.00785906322555052,"Hilpda/S100a9/S100a8",3
"GO:0046166","glyceraldehyde-3-phosphate biosynthetic process","3/328","11/25615",0.272727272727273,21.2985033259423,7.66890610809841,0.000318081637397748,0.00785906322555052,0.00785906322555052,"Pgk1/Pgam1/Gapdh",3
"GO:0060760","positive regulation of response to cytokine stimulus","6/328","72/25615",0.0833333333333333,6.50787601626016,5.33017443932641,0.000323459626632479,0.00788578836977711,0.00788578836977711,"Irf7/Ikbke/Edn1/Zbp1/Hspa1b/Hspa1a",6
"GO:0001776","leukocyte homeostasis","8/328","133/25615",0.0601503759398496,4.69741426737576,4.86893691608542,0.000325301045764467,0.00788578836977711,0.00788578836977711,"Pirb/Itgam/Tnfaip3/Cd44/Mif/Sos1/Ccl2/Slc7a11",8
"GO:0009134","nucleoside diphosphate catabolic process","8/328","133/25615",0.0601503759398496,4.69741426737576,4.86893691608542,0.000325301045764467,0.00788578836977711,0.00788578836977711,"Pgk1/Myc/Pfkl/Pgam1/Ddit4/Gapdh/Aldoa/Pkm",8
"GO:0009191","ribonucleoside diphosphate catabolic process","8/328","133/25615",0.0601503759398496,4.69741426737576,4.86893691608542,0.000325301045764467,0.00788578836977711,0.00788578836977711,"Pgk1/Myc/Pfkl/Pgam1/Ddit4/Gapdh/Aldoa/Pkm",8
