"gene","log2FC","pvalue","padj"
"Rpl31",0.211333258174278,0.05,0.05
"Tbc1d8",-0.214315761426893,0.05,0.05
"Cnot11",-0.244523717974846,0.05,0.05
"Gm15832",0.0370724696580507,0.05,0.05
"Rnf149",0.271118774650716,0.05,0.05
"Creg2",0.323215672347358,0.05,0.05
"Gm3646",-0.373419723847011,0.05,0.05
"Map4k4",0.367222121988446,0.05,0.05
"Il1r2",0.00716321139378895,0.05,0.05
"Gm16894",-0.141568516112813,0.05,0.05
"Il1r1",1.05088119799134,0.05,0.05
"Il1rl2",0.197864293925162,0.05,0.05
"Il1rl1",-1.67131918329209,0.05,0.05
"Il18r1",-1.01869192591433,0.05,0.05
"Il18rap",0.392271746750585,0.05,0.05
"Slc9a4",0.0660349958133177,0.05,0.05
"Mfsd9",-0.199831968166197,0.05,0.05
"Tmem182",-1.40547289235796,0.05,0.05
"Mrps9",-0.0684038214033418,0.05,0.05
"Gpr45",-0.213749748629786,0.05,0.05
"Tgfbrap1",-0.224364945683264,0.05,0.05
"8430432A02Rik",0.0389871064904639,0.05,0.05
"AI597479",-0.196149407999225,0.05,0.05
"Fhl2",-0.476820210947329,0.05,0.05
"Nck2",-0.494161962553086,0.05,0.05
"Ecrg4",-1.79430024553693,0.05,0.05
"Uxs1",0.000292893521659732,0.05,0.05
"Tpp2",-0.0132313137821125,0.05,0.05
"Mettl21c",0.322893878820747,0.05,0.05
"Gm8251",0.790826582281993,0.05,0.05
"Tex30",-0.226614169575365,0.05,0.05
"Poglut2",0.102949895186369,0.05,0.05
"Bivm",-0.126608840951963,0.05,0.05
"Ercc5",0.179220703963694,0.05,0.05
"Gulp1",-0.123320341732726,0.05,0.05
"Col3a1",-1.00139931914626,0.05,0.05
"Col5a2",-0.429841187493419,0.05,0.05
"Wdr75",0.106582900234797,0.05,0.05
"Slc40a1",-1.23992825443379,0.05,0.05
"Dnah7b",-0.196270582085468,0.05,0.05
"Slc39a10",0.0234753636679104,0.05,0.05
"Gm28151",-0.274761182190805,0.05,0.05
"Tmeff2",-0.0820575753938786,0.05,0.05
"Cavin2",-0.776986285685246,0.05,0.05
