"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Clec4b1",-1.80996664693953,2.76657156000913e-81,5.6363362392066e-77,0.045,0.123
"Myo5a",-1.57995302560117,6.20296184386799e-81,1.26372941645123e-76,0.123,0.222
"Tmem140",1.05315798826688,6.44617147139415e-81,1.31327851386713e-76,0.319,0.206
"Il1r1",1.04824104289296,1.33297772944824e-80,2.71567552820489e-76,0.224,0.12
"Nckap1l",-1.33244546550609,6.04856636154733e-80,1.23227442483804e-75,0.102,0.198
"Abhd12",-1.29755511852253,6.41569357360142e-80,1.30706925174982e-75,0.179,0.281
"Gpx3",1.13476281236921,8.65737882742841e-80,1.76376778851199e-75,0.329,0.213
"Arhgap45",-1.30683167831894,3.86818565088719e-79,7.88065462655246e-75,0.103,0.201
"Gna12",-1.08210533839965,5.36597951478166e-79,1.09321100654647e-74,0.181,0.29
"Dgkd",-1.58440505731851,7.44459278209032e-79,1.51668688749526e-74,0.088,0.18
"Ifi44",1.34686995412736,2.45120751694305e-78,4.99384507426808e-74,0.132,0.053
"Dock8",-1.57457927960817,4.47581497200341e-78,9.11857784246254e-74,0.074,0.161
"Adamts4",1.46557175669984,5.41738820643765e-78,1.10368449929754e-73,0.104,0.034
"Ralgps2",-1.80554971392115,1.38598075448127e-77,2.82365859110469e-73,0.038,0.111
"Klhl2",1.16531595947118,1.83897892424461e-77,3.74655176236355e-73,0.156,0.069
"Gamt",-1.25649926942264,3.17367890658762e-77,6.46573603639096e-73,0.075,0.164
"Ntpcr",-1.14331527005729,3.6338308112621e-77,7.40320351178429e-73,0.144,0.246
"Sft2d1",-1.13159920635814,1.09790265071111e-76,2.23675707029374e-72,0.17,0.273
"Ifi205",1.66058592984353,1.29754818986253e-76,2.64349492720694e-72,0.188,0.097
"Slc10a6",1.41307203032964,2.39543130207684e-76,4.88021219172115e-72,0.124,0.047
"Nr1d2",-1.06945227526945,3.02008110919543e-76,6.15281124376385e-72,0.169,0.275
"Igtp",1.49935774011674,4.81477394525718e-76,9.80913895867245e-72,0.173,0.084
"C1ra",1.23202909082155,9.72050590318917e-76,1.98035866765673e-71,0.23,0.131
"Cyp27a1",-1.2241068614723,4.58551849320125e-74,9.34207682619891e-70,0.091,0.183
"Prkcb",-1.64136939595409,6.86155662104734e-74,1.39790493040598e-69,0.052,0.129
"Fnbp1",-1.17523715543036,9.26250408328996e-74,1.88704995688866e-69,0.149,0.247
"Nes",-1.54878191191227,1.86528065173054e-73,3.80013627177062e-69,0.084,0.17
"Lyl1",-1.26671211247402,3.89407399597488e-73,7.93339695199962e-69,0.093,0.183
"Ap1b1",-1.53713659003935,4.72462877449919e-73,9.62548620228721e-69,0.113,0.204
"P2ry6",-1.22644972304374,1.1028829937651e-72,2.24690352319765e-68,0.12,0.216
"Ankrd37",1.47259929920355,2.07109784499891e-72,4.21944763961627e-68,0.161,0.077
"Sema3g",1.40511616775616,3.20572359019383e-72,6.53102067030189e-68,0.1,0.034
"Ecscr",1.02515330541942,5.01339837657151e-72,1.02137965125891e-67,0.266,0.163
"Nr1h3",1.37825140860992,5.01427958543598e-72,1.02155917994087e-67,0.115,0.044
"Cd163",-1.22273311305411,5.17775248942693e-72,1.05486351467095e-67,0.104,0.198
"Clec1a",1.27200463805676,3.07726684836992e-71,6.26931575018404e-67,0.202,0.111
"Qpct",-1.50560047029846,3.36908924378938e-71,6.8638455163721e-67,0.089,0.174
"Reps2",-1.85582513732439,4.65097476987368e-71,9.47543089866365e-67,0.047,0.119
"Cdc42ep4",1.35805547872553,4.69992022506483e-71,9.57514747452458e-67,0.151,0.07
"Hfe",-1.11265669719195,5.00899089649371e-71,1.02048171534266e-66,0.149,0.246
"Bst1",1.63791395590985,6.15195524753594e-71,1.2533378425805e-66,0.155,0.074
"Cd33",-1.32579894587168,8.07435816930466e-70,1.64498898983244e-65,0.059,0.137
"Cxcr4",-1.36304319438618,1.18091906824795e-69,2.40588641774155e-65,0.105,0.195
"Cysltr1",-1.6284874293581,1.21451547928512e-69,2.47433238594757e-65,0.046,0.117
"Gbp5",1.48308379161865,1.20811290275857e-68,2.46128841679003e-64,0.148,0.069
"Alox5",-1.78533160472139,1.80714627242132e-68,3.68169910080396e-64,0.052,0.124
"Iqgap2",-1.34597682892055,1.80786813248092e-68,3.68316974630337e-64,0.08,0.162
"Arrdc4",1.12875598302671,3.13322102173656e-68,6.38331118758389e-64,0.225,0.13
"Sox17",1.22303575274418,4.7501759706945e-68,9.6775335050959e-64,0.159,0.078
"2610203C22Rik",-1.72297851978003,7.41032660414799e-68,1.50970583906307e-63,0.037,0.102
"Pla2g15",-1.8222786311393,1.37001072968901e-67,2.79112285959541e-63,0.042,0.11
"Arhgap15",-1.44388166873147,6.02824896735711e-67,1.22813516211966e-62,0.059,0.134
"Nxn",1.02010124756888,8.88609794654481e-67,1.81036473464957e-62,0.232,0.137
"Lipe",1.05057542558586,1.92118995994432e-66,3.91404030539456e-62,0.216,0.124
"Irgm2",1.3394196724423,3.6594637733964e-66,7.4554255455405e-62,0.135,0.06
"Rnasel",-1.57620346692979,9.32916504580737e-66,1.90063079478233e-61,0.076,0.155
"Noct",1.02850823406979,1.26363235151992e-65,2.57439818975154e-61,0.156,0.075
"4933433G15Rik",-1.12359862435801,4.95375172088034e-65,1.00922783809495e-60,0.059,0.135
"Abcg2",1.2705356226213,2.93912726786753e-64,5.98788398282652e-60,0.232,0.143
