"pair","case","ctrl","delta"
"Il1b→Il1r1",45.294392975112,32.9794733622028,12.3149196129092
"Csf3→Csf3r",16.6503852190307,5.28405188948791,11.3663333295428
"Spp1→Cd44",48.0078703246358,36.7073368430275,11.3005334816083
"Vegfa→Flt1",50.8234518062691,42.8603122416305,7.96313956463865
"Cxcl2→Cxcr2",36.35298430578,29.6652593523166,6.68772495346346
"Icam1→Itgb2",47.8981893083877,41.6243744462214,6.27381486216631
"Cxcl1→Cxcr2",27.1690559832496,21.0602889073039,6.10876707594567
"Spp1→Itgav",34.5366770845793,29.1220738672453,5.41460321733395
"Il1b→Il1rap",27.3697028453124,23.1481166440539,4.22158620125848
"Nampt→Insr",27.3444815460119,23.2013435344082,4.14313801160367
"Il6→Il6st",41.1289121610913,38.8266671345565,2.30224502653486
"Tgfb1→Tgfbr2",49.8130498744521,49.6297706534937,0.183279220958362
"Pdgfb→Pdgfrb",37.9494643969999,37.8322576734741,0.117206723525825
"Il6→Il6ra",32.3161040163858,32.8495879202556,-0.533483903869815
"Vegfa→Kdr",43.4574155866275,44.3199458074116,-0.862530220784031
"Icam1→Itgal",28.7747850549547,29.8547999473241,-1.08001489236943
"Tnf→Tnfrsf1a",50.8619803235255,52.3373723832074,-1.47539205968183
"Tnf→Tnfrsf1b",33.9372691241684,36.8104150796437,-2.87314595547525
"Tgfb1→Tgfbr1",35.6792844659155,38.9979835237545,-3.31869905783899
"Ccl3→Ccr1",53.6905472687043,57.1608239060416,-3.47027663733734
"Angpt1→Tek",18.9915041389144,22.4765671716226,-3.48506303270819
"Il18→Il18r1",2.45607693608592,6.78728511348905,-4.33120817740313
"Csf1→Csf1r",40.1551845939504,44.6677093812917,-4.51252478734129
"Il10→Il10ra",12.2842613022591,18.3756434896497,-6.09138218739061
"Cxcl12→Cxcr4",40.6878396407571,49.0490644286209,-8.36122478786385
"Csf2→Csf2ra",4.56755483991684,12.9723856092275,-8.40483076931067
"Apoe→Ldlr",54.5649398637257,68.5749075552029,-14.0099676914772
"Cxcl10→Cxcr3",2.13003319465568,18.4867943846512,-16.3567611899955
"Ccl4→Ccr5",49.150202408376,67.4449488546881,-18.2947464463122
"Ccl5→Ccr5",27.703418404602,46.1098174070919,-18.4063990024899
"Ifng→Ifngr1",16.4691574068414,35.5376278713491,-19.0684704645076
"Ccl7→Ccr2",24.9586035066049,44.2508226799695,-19.2922191733646
"Ccl2→Ccr2",26.1325687685337,48.4504766251472,-22.3179078566134
"Apoe→Trem2",50.2714434754352,86.4710907004218,-36.1996472249866
