"sample","group","sample_id","time","MAMs_score"
"GSM6285062_Sample1","Control","GSM6285062_Sample1","Control",5.18983701677253
"GSM6285063_Sample2","Sham","GSM6285063_Sample2","Group_A",5.13472691941119
"GSM6285064_Sample3","Sepsis","GSM6285064_Sample3","Group_B",5.1139560715063
"GSM6285065_Sample4","LLTS","GSM6285065_Sample4","LLTS",4.84279205229268
