"gene","log2FC","pvalue","padj","pct.1","pct.2","category"
"Bnip3",1.75760968554575,1.49178284611412e-162,3.03920919238829e-158,0.252,0.103,"mito_dynamics"
"Slc8a1",-1.13044802924351,1.03709007202706e-53,2.11286360374072e-49,0.061,0.127,"calcium"
