"group","celltype","gene","expr"
"Control","B-cells","Il1r1",0.01727416187896
"Control","B-cells","Cd44",0.590214013539336
"Control","B-cells","Il1b",0.34880386344646
"Control","B-cells","Il6ra",0.308182831659786
"Control","B-cells","Csf1",0.0235444995827385
"Control","B-cells","Il6",0.0212703098354525
"Control","B-cells","Cxcl10",0.401230944351763
"Control","B-cells","Spp1",0.0435545919775925
"Control","B-cells","Flt1",0.0575211985981086
"Control","B-cells","Tnfrsf1a",0.214205575456969
"Control","B-cells","Ccr2",0.186355010003661
"Control","B-cells","Ccl2",1.15370069460145
"Control","B-cells","Tnf",0.751279211910149
"Control","B-cells","Vegfa",0.059210788367545
"Control","B-cells","Csf1r",0.96433195995287
"Control","B-cells","Cxcr3",0.0103618944643376
"Control","Cardiomyocytes","Il1r1",0.00474868384046408
"Control","Cardiomyocytes","Cd44",0.0455219788042044
"Control","Cardiomyocytes","Il1b",0.00653335991058084
"Control","Cardiomyocytes","Il6ra",0.0168234354934485
"Control","Cardiomyocytes","Csf1",0
"Control","Cardiomyocytes","Il6",0
"Control","Cardiomyocytes","Cxcl10",0.0209582283519684
"Control","Cardiomyocytes","Spp1",0.0160745269838219
"Control","Cardiomyocytes","Flt1",0.0976547620418979
"Control","Cardiomyocytes","Tnfrsf1a",0.0314604626318628
"Control","Cardiomyocytes","Ccr2",0
"Control","Cardiomyocytes","Ccl2",0.090198033659131
"Control","Cardiomyocytes","Tnf",0.0230650395260048
"Control","Cardiomyocytes","Vegfa",0.0320305779921526
"Control","Cardiomyocytes","Csf1r",0.0436621017198844
"Control","Cardiomyocytes","Cxcr3",0
"Control","Endothelial","Il1r1",0.10076507241271
"Control","Endothelial","Cd44",0.0917382993767876
"Control","Endothelial","Il1b",0.028527892046736
"Control","Endothelial","Il6ra",0.0312345665592928
"Control","Endothelial","Csf1",0.130615120154866
"Control","Endothelial","Il6",0.0120444696609531
"Control","Endothelial","Cxcl10",0.117615520174182
"Control","Endothelial","Spp1",0.0117457277881547
"Control","Endothelial","Flt1",1.57005495539775
"Control","Endothelial","Tnfrsf1a",0.407533936895251
"Control","Endothelial","Ccr2",0.005666884512903
"Control","Endothelial","Ccl2",0.214751752157045
"Control","Endothelial","Tnf",0.125432604861813
"Control","Endothelial","Vegfa",0.0926915755210495
"Control","Endothelial","Csf1r",0.120685910610628
"Control","Endothelial","Cxcr3",0
"Control","Fibroblasts","Il1r1",0.322856191614613
"Control","Fibroblasts","Cd44",0.204661291134972
"Control","Fibroblasts","Il1b",0.0251261092115733
"Control","Fibroblasts","Il6ra",0.132115668431624
"Control","Fibroblasts","Csf1",0.372412702251217
"Control","Fibroblasts","Il6",0.332557167335455
"Control","Fibroblasts","Cxcl10",0.202505921536564
"Control","Fibroblasts","Spp1",0.027896901499108
"Control","Fibroblasts","Flt1",0.0355333833250732
"Control","Fibroblasts","Tnfrsf1a",0.36010527361247
"Control","Fibroblasts","Ccr2",0.00511263600106724
"Control","Fibroblasts","Ccl2",0.432119027041569
"Control","Fibroblasts","Tnf",0.0698117639569425
"Control","Fibroblasts","Vegfa",0.525258980778867
"Control","Fibroblasts","Csf1r",0.109502013978901
"Control","Fibroblasts","Cxcr3",0.000347317412107455
"Control","Fibroblasts-activated","Il1r1",0.0385928747835561
"Control","Fibroblasts-activated","Cd44",0.367199375221889
"Control","Fibroblasts-activated","Il1b",0.0387943376326955
"Control","Fibroblasts-activated","Il6ra",0.00938865229754049
"Control","Fibroblasts-activated","Csf1",0.0229368048504712
"Control","Fibroblasts-activated","Il6",0
"Control","Fibroblasts-activated","Cxcl10",0.359961635979864
"Control","Fibroblasts-activated","Spp1",0
"Control","Fibroblasts-activated","Flt1",0.0353198047336168
"Control","Fibroblasts-activated","Tnfrsf1a",0.209310136148507
"Control","Fibroblasts-activated","Ccr2",0.00576729355312065
"Control","Fibroblasts-activated","Ccl2",0.26587370234603
"Control","Fibroblasts-activated","Tnf",0.0628423107962192
"Control","Fibroblasts-activated","Vegfa",0.0684814713521961
"Control","Fibroblasts-activated","Csf1r",0.0656646434085492
"Control","Fibroblasts-activated","Cxcr3",0
"Control","Granulocytes","Il1r1",0.00461504621046498
"Control","Granulocytes","Cd44",2.10003898428808
"Control","Granulocytes","Il1b",1.45753401502336
"Control","Granulocytes","Il6ra",0.217739339565551
"Control","Granulocytes","Csf1",0.504430114264508
"Control","Granulocytes","Il6",0.0947348415478103
"Control","Granulocytes","Cxcl10",0.110976015309215
"Control","Granulocytes","Spp1",0.113820465686526
"Control","Granulocytes","Flt1",0.0730451425826091
"Control","Granulocytes","Tnfrsf1a",0.465085837102065
"Control","Granulocytes","Ccr2",0.027024737120634
"Control","Granulocytes","Ccl2",0.402394411352187
"Control","Granulocytes","Tnf",0.483327054552031
"Control","Granulocytes","Vegfa",0.37304115315667
"Control","Granulocytes","Csf1r",0.352797568990259
"Control","Granulocytes","Cxcr3",0.0134852952829632
"Control","Macrophages","Il1r1",0.00665076491385582
"Control","Macrophages","Cd44",0.459146287958536
"Control","Macrophages","Il1b",0.293380345812332
"Control","Macrophages","Il6ra",0.358287004982793
"Control","Macrophages","Csf1",0.0174174216658847
"Control","Macrophages","Il6",0.0125455005980214
"Control","Macrophages","Cxcl10",0.56608873252795
"Control","Macrophages","Spp1",0.0397616557764827
