"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050727","regulation of inflammatory response","22/268","434/25615",0.0506912442396313,4.84498589999312,8.30703321515671,1.35338461288804e-09,5.43383922074547e-07,5.43383922074547e-07,"S100a8/1700017B05Rik/Cd44/Psma6/C3/Il1b/Osm/Ctla2a/Serpine1/Fpr2/Usp18/Adam8/S100a9/Cebpb/Pycard/Spn/Bst1/Acp5/Ptgs2/Nlrp3/Siglece/Zbp1",22
"GO:2001234","negative regulation of apoptotic signaling pathway","17/268","256/25615",0.06640625,6.34700034981343,8.84111318536832,1.98590322467302e-09,7.50437783252911e-07,7.50437783252911e-07,"Hif1a/Cd44/Il1b/Plaur/Sod2/Serpine1/Hspa1b/Dnaja1/Hyou1/Hsph1/Hspa1a/Mdm2/Ybx3/Hspb1/Ptgs2/Hmox1/Mif",17
"GO:0070555","response to interleukin-1","12/268","112/25615",0.107142857142857,10.2405383795309,10.0775153477698,2.35037893155218e-09,8.38824125349513e-07,8.38824125349512e-07,"Hif1a/Saa3/Il1b/Serpine1/Cebpb/Pycard/Edn1/Il1rn/Nlrp3/Irak3/Lcn2/Zbp1",12
"GO:0009636","response to toxic substance","17/268","266/25615",0.0639097744360902,6.10839131410616,8.61166996687869,3.543866003226e-09,1.19819974761704e-06,1.19819974761704e-06,"S100a8/Srxn1/Hif1a/Gpx3/Hp/Gsr/Abtb2/Sod2/Mt1/S100a9/Mdm2/Slc7a11/Edn1/Mt2/Ptgs2/Lcn2/Txn1",17
"GO:0042273","ribosomal large subunit biogenesis","10/268","75/25615",0.133333333333333,12.7437810945274,10.4729962920257,6.06004958605433e-09,1.94648792704065e-06,1.94648792704065e-06,"Tma16/Rrp15/Rrs1/Wdr74/Mrto4/Mak16/Nop16/Ddx28/Ppan/Ftsj3",10
"GO:0009615","response to virus","21/268","443/25615",0.0474040632054176,4.53080253360736,7.7083113533882,1.05187811390415e-08,3.21774523986679e-06,3.21774523986679e-06,"Hif1a/Ripk3/Ifi27l2a/Riok3/Il1b/Ndufaf4/Usp18/Hsp90aa1/Oas1g/Plscr1/Pycard/Spn/Ddit4/Hspb1/Nlrp3/Irak3/Lcn2/Ikbke/Polr3d/Zbp1/Bcl3",21
"GO:0050900","leukocyte migration","20/268","412/25615",0.0485436893203883,4.63972612664831,7.65832885940374,1.60778193241961e-08,4.69472324266526e-06,4.69472324266526e-06,"S100a8/Ripk3/Jaml/C3/Il1b/Mmp14/Serpine1/Fpr2/Adam8/Cxcl13/S100a9/Itgam/Pycard/Spn/Bst1/Gpr35/Edn1/Mif/Spp1/Ecm1",20
"GO:0002218","activation of innate immune response","19/268","377/25615",0.0503978779840849,4.81694643493408,7.67718647647904,2.04672807611049e-08,5.71660050475383e-06,5.71660050475383e-06,"S100a8/Riok3/Znrf1/Cd274/Msr1/Hspa1b/Tnip3/S100a9/Hsp90aa1/Oas1g/Pycard/Hspd1/Hspa1a/Clec4e/Nlrp3/Irak3/Ikbke/Hspa8/Zbp1",19
"GO:0006457","protein folding","14/268","199/25615",0.0703517587939698,6.72410560264007,8.33534138896509,2.62969403864142e-08,7.01297884840409e-06,7.01297884840409e-06,"Fkbp5/Bag3/Creld2/Hspa1b/Dnaja1/Hsp90aa1/Hspd1/Hsph1/Hspa1a/Hspe1/Hsp90ab1/Chchd4/Hspb1/Hspa8",14
"GO:0030595","leukocyte chemotaxis","15/268","233/25615",0.0643776824034335,6.15311318941772,8.12507801708719,2.72921032394306e-08,7.01297884840409e-06,7.01297884840409e-06,"S100a8/Jaml/C3/Il1b/Serpine1/Fpr2/Adam8/Cxcl13/S100a9/Itgam/Bst1/Gpr35/Edn1/Mif/Spp1",15
