"umap_1","umap_2","celltype","group","score"
-4.7226862667493,-2.25568914643289,"CD8 T","G2_liver_met",0
-9.18473527416507,9.41301011809347,"Bcell","G2_liver_met",0
3.16602542415341,3.53430104025839,"DC","G2_liver_met",0
-9.78496930584231,2.15416955718039,"Bcell","G2_liver_met",0
5.03402473941525,-12.2155108474827,"CD4 T","G1_primary_CRC",0
-0.88212462350646,-2.17719030610086,"CD8 T","G0_normal",0
-3.84389445766726,7.51715612181662,"Macrophage","G2_liver_met",1.82321572303772
-0.234794533102903,-3.64882087937357,"gdT","G2_liver_met",0
4.51814749255857,4.72017574080465,"NK cell","G2_liver_met",0
-2.85886833652774,5.58344030150412,"CD4 T","G1_primary_CRC",1.63094210624695
6.11750700488767,-12.3015465759373,"Bcell","G1_primary_CRC",0
-10.9752740620069,2.44982766875265,"Bcell","G1_primary_CRC",0
-2.25392112716952,-14.2292819046116,"CD4 T","G2_liver_met",0
1.6496305705615,-4.1890785717106,"gdT","G2_liver_met",0
6.18394997134885,-13.7183547042942,"Bcell","G0_normal",0
12.8820171596118,4.99485444792746,"CD45-","G0_normal",0
1.87511422649106,-5.71816539994242,"NK cell","G0_normal",0
11.3213129283496,-3.04673457375528,"CD4 T","G0_normal",0
11.7996616603442,4.0527586913967,"CD4 T","G1_primary_CRC",0
-2.95475075229922,4.60986900099753,"CD8 T","G1_primary_CRC",0
-12.6058702228955,11.9176154113674,"CD4 T","G2_liver_met",0
1.09916474834165,-17.1855235122776,"Bcell","G1_primary_CRC",0
-0.858583590238485,-16.705073835764,"CD4 T","G1_primary_CRC",0
-5.63077208980838,-0.0877796732521238,"CD8 T","G2_liver_met",0
-3.93437430843631,-1.06257355443003,"CD4 T","G1_primary_CRC",0
-4.12924835666934,4.87380981215475,"Macrophage","G0_normal",0
2.69162704959592,11.7217497802639,"CD8 T","G0_normal",0
0.706587934643832,-4.06949472657205,"CD4 T","G2_liver_met",0
-4.32619712337771,4.75761031874655,"Macrophage","G0_normal",0
-5.12358472332278,-8.2026934646702,"CD4 T","G2_liver_met",0
12.9983692409106,4.08548402556418,"CD8 T","G0_normal",0
-11.3913736103467,10.717557427969,"CD4 T","G2_liver_met",0
-12.4744806049756,2.00503301390646,"Bcell","G1_primary_CRC",0
6.53431894794187,-15.6860890411473,"DC","G0_normal",0
-1.3570365665845,8.40299463042257,"CD4 T","G1_primary_CRC",0
3.32327797427854,-4.29211688271524,"CD8 T","G1_primary_CRC",2.92011547088623
-5.43772265896121,8.29270505675314,"CD4 T","G1_primary_CRC",0
-3.72700355037967,5.40670680769919,"CD4 T","G1_primary_CRC",1.30971777439117
8.39738180652341,-5.95433569184305,"CD4 T","G1_primary_CRC",0
5.33021214023313,7.10875224837301,"NK cell","G1_primary_CRC",2.05646443367004
2.98147513881406,-3.39719391098978,"NK cell","G0_normal",2.56273436546326
-4.18099615558902,4.88252973326681,"Macrophage","G0_normal",0
8.20437433734616,-4.81142521134378,"CD4 T","G0_normal",0
-0.256905770152006,-6.98018837204935,"CD8 T","G2_liver_met",0
-3.14214298710147,5.30050754317282,"Macrophage","G2_liver_met",0.93660020828247
5.136746907384,7.48978805312155,"NK cell","G0_normal",2.08858847618103
-8.62130830272952,2.22437047728537,"Bcell","G0_normal",0
3.96325447574338,3.27866005667685,"Bcell","G0_normal",0
-12.5948486088208,0.208724019613248,"Macrophage","G1_primary_CRC",0
-3.74996016010562,4.62914561995504,"Bcell","G1_primary_CRC",0
-3.69178268894473,-2.2528461240864,"CD8 T","G0_normal",0
2.57050468936643,-4.83970642319681,"CD8 T","G1_primary_CRC",0
0.418754363209811,-2.37682223549845,"CD8 T","G2_liver_met",0
6.59041645541867,-15.4736561798191,"DC","G2_liver_met",0
-5.36755082592288,-2.64145350686075,"CD8 T","G0_normal",0
