"gene","module","kME"
"Cd81","M4",0.995354386363942
"Mylk3","M4",0.989407558422839
"Selenop","M4",0.98768099769707
"Ivns1abp","M4",0.985125818058293
"Sparcl1","M4",0.982774511493114
"Aqp1","M4",0.978044649469908
"Txlnb","M4",0.969857014837786
"Lyz2","M4",0.963382566700684
"Ak1","M4",0.960514845904696
"Vim","M4",0.957526343482385
"Hjv","M4",0.955641121881009
"Mcrip2","M4",0.953168988813252
"Crip1","M4",0.95063912580799
"Lbh","M4",0.950200660508405
"Cav1","M4",0.905901060968956
