"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"Pdha1",9.20946871167547,9.1595535170115,351.790097296317,7.45427231687611e-21,4.36072790313254e-17,35.5121550650555,9.20946871167547,7.45427231687611e-21,4.36072790313254e-17
"Ywhae",7.81505927691031,7.83373574490615,347.8800399469,8.28844794531204e-21,4.36072790313254e-17,35.4675993215829,7.81505927691031,8.28844794531204e-21,4.36072790313254e-17
"Atp5b",11.9888557749818,11.9544056920888,347.237446982804,8.43516711392622e-21,4.36072790313254e-17,35.4601694054955,11.9888557749818,8.43516711392622e-21,4.36072790313254e-17
"Atp5a1",11.1754004817249,11.0974783614068,341.464479656665,9.88995385413062e-21,4.36072790313254e-17,35.3920210892766,11.1754004817249,9.88995385413062e-21,4.36072790313254e-17
"Eif3h",7.68416099153414,7.67218611815379,328.25564273997,1.43812812264018e-20,5.07285313980098e-17,35.2260995847062,7.68416099153414,1.43812812264018e-20,5.07285313980098e-17
"Tpt1",11.2261505590219,11.311574541836,307.220837570643,2.69622138985611e-20,7.63045847825762e-17,34.9297606442729,11.2261505590219,2.69622138985611e-20,7.63045847825762e-17
"Sord",6.79128843410264,6.71515354762175,303.481893331772,3.02847476032224e-20,7.63045847825762e-17,34.8724942747408,6.79128843410264,3.02847476032224e-20,7.63045847825762e-17
"Ldha",9.17022624851464,9.28125071610788,295.961361970699,3.8427919245401e-20,8.47191514663922e-17,34.7527075363056,9.17022624851464,3.8427919245401e-20,8.47191514663922e-17
"Tnnt2",13.2296227195045,13.0963419597102,288.532047868624,4.89134373526661e-20,9.5854032732108e-17,34.6280004039398,13.2296227195045,4.89134373526661e-20,9.5854032732108e-17
"Arf1",7.55397609633319,7.61275592444679,277.232613929532,7.14628242009883e-20,1.26038983043283e-16,34.4252058995975,7.55397609633319,7.14628242009883e-20,1.26038983043283e-16
"Ndufv1",9.22753849017039,9.18827288179878,270.36067572646,9.06838296414865e-20,1.28981998134744e-16,34.2935123874399,9.22753849017039,9.06838296414865e-20,1.28981998134744e-16
"Ndufs2",9.901775199132,9.85721688357692,270.105065936821,9.15015211089782e-20,1.28981998134744e-16,34.288484973294,9.901775199132,9.15015211089782e-20,1.28981998134744e-16
"Hnrnpa2b1",8.3083699484419,8.38998178405122,269.018090485485,9.50709290554899e-20,1.28981998134744e-16,34.2670001170976,8.3083699484419,9.50709290554899e-20,1.28981998134744e-16
"Aco2",10.2566218778786,10.1855312314976,264.742794974039,1.10681024888375e-19,1.31898345472304e-16,34.1808034867535,10.2566218778786,1.10681024888375e-19,1.31898345472304e-16
"Ppp1ca",7.81460996962077,7.76042061376534,263.314888944969,1.16509863712994e-19,1.31898345472304e-16,34.151400800986,7.81460996962077,1.16509863712994e-19,1.31898345472304e-16
"Pccb",6.03120486499654,5.92621446132391,262.576610240651,1.19656037169409e-19,1.31898345472304e-16,34.1360755849566,6.03120486499654,1.19656037169409e-19,1.31898345472304e-16
"Ndufa10",9.33279120723178,9.2303190604748,258.683663985512,1.37878482708456e-19,1.32838405510941e-16,34.0538529409781,9.33279120723178,1.37878482708456e-19,1.32838405510941e-16
"Map1lc3a",9.00139307000335,8.95658665752381,258.157740784455,1.40567273748968e-19,1.32838405510941e-16,34.0425598996513,9.00139307000335,1.40567273748968e-19,1.32838405510941e-16
"Edf1",8.00594262774016,7.91240988382471,257.671608939305,1.43104252690814e-19,1.32838405510941e-16,34.0320815097749,8.00594262774016,1.43104252690814e-19,1.32838405510941e-16
"Rab2a",6.65376756538689,6.60364358364988,256.281818792657,1.50640683579429e-19,1.3284248681452e-16,34.0019127075709,6.65376756538689,1.50640683579429e-19,1.3284248681452e-16
"Suclg2",6.59742831395234,6.56876751480024,246.034232505042,2.21883325163157e-19,1.86350295519172e-16,33.7693664114974,6.59742831395234,2.21883325163157e-19,1.86350295519172e-16
"Mdh2",10.199617258931,10.146732525827,242.802171087885,2.51550077046851e-19,1.93627919987033e-16,33.6921541825583,10.199617258931,2.51550077046851e-19,1.93627919987033e-16
"Chp1",5.8745151097898,5.80853551757972,240.692950699828,2.73264444229666e-19,1.93627919987033e-16,33.6407149129154,5.8745151097898,2.73264444229666e-19,1.93627919987033e-16
"Hspa9",8.53120467786752,8.46373087377138,240.384441227125,2.76610771997891e-19,1.93627919987033e-16,33.6331201692154,8.53120467786752,2.76610771997891e-19,1.93627919987033e-16
