"pair","delta","label"
"Il6→Il6ra",7.83550752684956,"Il6→Il6ra"
"Tnf→Tnfrsf1a",3.28984173696101,"Tnf→Tnfrsf1a"
"Spp1→Cd44",2.74265259015202,"Spp1→Cd44"
