"sample","group","celltype","score","proportion"
"fpkm_WT_PBS_1",NA,"B_cells",1.01,0.000171109586372223
"fpkm_WT_PBS_1",NA,"Smooth_muscle",12.87,0.00218037661050545
"fpkm_WT_PBS_1",NA,"Pericytes",132.72,0.0224848161419024
"fpkm_WT_PBS_2",NA,"Cardiomyocytes",5849.76,0.909340475705623
"fpkm_WT_PBS_2",NA,"Endothelial",104.98,0.0163190563612142
"fpkm_WT_PBS_2",NA,"Fibroblasts",211.346666666667,0.0328536689377794
"fpkm_WT_PBS_2",NA,"Fibroblasts_activated",49.6166666666667,0.00771287083052877
"fpkm_WT_PBS_2",NA,"Macrophages",13.9666666666667,0.0021711070728865
"fpkm_WT_PBS_2",NA,"Monocytes",1.445,0.000224624084987183
"fpkm_WT_PBS_2",NA,"Granulocytes",3.275,0.000509096109573028
"fpkm_WT_PBS_2",NA,"T_cells",0.07,1.0881443563393e-05
"fpkm_WT_PBS_2",NA,"NK_cells",0.46,7.1506629130868e-05
"fpkm_WT_PBS_2",NA,"B_cells",1.37,0.000212965395454976
"fpkm_WT_PBS_2",NA,"Smooth_muscle",32.09,0.00498836462784686
"fpkm_WT_PBS_2",NA,"Pericytes",164.59,0.0255853828014121
"fpkm_WT_PBS_3",NA,"Cardiomyocytes",4328.32666666667,0.867082435059699
"fpkm_WT_PBS_3",NA,"Endothelial",108.243333333333,0.021684105723454
"fpkm_WT_PBS_3",NA,"Fibroblasts",281.3,0.0563520981123483
"fpkm_WT_PBS_3",NA,"Fibroblasts_activated",21.27,0.00426096383522804
"fpkm_WT_PBS_3",NA,"Macrophages",19.4433333333333,0.0038950324480309
"fpkm_WT_PBS_3",NA,"Monocytes",3.76,0.000753231030580979
"fpkm_WT_PBS_3",NA,"Granulocytes",99.145,0.0198614602465296
"fpkm_WT_PBS_3",NA,"T_cells",0.13,2.60425622275339e-05
"fpkm_WT_PBS_3",NA,"NK_cells",0.955,0.000191312668671499
"fpkm_WT_PBS_3",NA,"B_cells",0.145,2.90474732537878e-05
"fpkm_WT_PBS_3",NA,"Smooth_muscle",21.87,0.0043811602762782
"fpkm_WT_PBS_3",NA,"Pericytes",107.24,0.0214831105636979
"fpkm_WT_PBS_4",NA,"Cardiomyocytes",4821.01,0.876941896580734
"fpkm_WT_PBS_4",NA,"Endothelial",84.07,0.0152923360966981
"fpkm_WT_PBS_4",NA,"Fibroblasts",295.493333333333,0.0537502482177586
"fpkm_WT_PBS_4",NA,"Fibroblasts_activated",49.9066666666667,0.00907802450496663
"fpkm_WT_PBS_4",NA,"Macrophages",18.63,0.00338879768623153
"fpkm_WT_PBS_4",NA,"Monocytes",2.34,0.000425646086193332
"fpkm_WT_PBS_4",NA,"Granulocytes",13.685,0.00248930200408366
"fpkm_WT_PBS_4",NA,"T_cells",0.55,0.000100045020259117
"fpkm_WT_PBS_4",NA,"NK_cells",0.79,0.000143701029099458
"fpkm_WT_PBS_4",NA,"B_cells",1.345,0.000244655549542749
"fpkm_WT_PBS_4",NA,"Smooth_muscle",39.92,0.00726144947044352
"fpkm_WT_PBS_4",NA,"Pericytes",169.785,0.0308838977539893
"fpkm_WT_PBS_5",NA,"Cardiomyocytes",4626.91,0.867945151002321
"fpkm_WT_PBS_5",NA,"Endothelial",66.4066666666667,0.0124569841054961
"fpkm_WT_PBS_5",NA,"Fibroblasts",296.553333333333,0.0556293568883427
"fpkm_WT_PBS_5",NA,"Fibroblasts_activated",63.5133333333333,0.0119142342709629
"fpkm_WT_PBS_5",NA,"Macrophages",13.7,0.0025699329722713
"fpkm_WT_PBS_5",NA,"Monocytes",3.46,0.000649048765259759
"fpkm_WT_PBS_5",NA,"Granulocytes",94.955,0.0178122617067169
"fpkm_WT_PBS_5",NA,"T_cells",1.73,0.000324524382629879
"fpkm_WT_PBS_5",NA,"NK_cells",1.095,0.000205407051433363
"fpkm_WT_PBS_5",NA,"B_cells",4.07,0.000763476437747751
"fpkm_WT_PBS_5",NA,"Smooth_muscle",14.75,0.00276689863802932
"fpkm_WT_PBS_5",NA,"Pericytes",143.735,0.0269627237787894
