"pair","case","ctrl","delta"
"Il6→Il6st",27.2665610006867,3.08272335080589,24.1838376498809
"Csf3→Csf3r",14.4691546345274,0.481244163335139,13.9879104711923
"Il6→Il6ra",12.6197630323611,0.912306896531228,11.7074561358298
"Icam1→Itgb2",19.4690602477594,10.5285088820785,8.94055136568089
"Nampt→Insr",35.2834439345845,26.5253270653786,8.75811686920588
"Ccl5→Ccr5",16.1559630605478,7.73482851373599,8.42113454681177
"Il1b→Il1r1",12.7181512378309,4.88264371098135,7.83550752684956
"Tnf→Tnfrsf1a",11.5103433343268,4.08696566353871,7.4233776707881
"Icam1→Itgal",8.56480378557924,4.26369837782976,4.30110540774949
"Cxcl1→Cxcr2",5.38958114773386,1.914278218215,3.47530292951886
"Tnf→Tnfrsf1b",5.52746538085146,2.06696875493884,3.46049662591262
"Apoe→Ldlr",21.6076062226876,18.3164018608351,3.29120436185259
"Ccl3→Ccr1",4.15902520675413,0.869183469793128,3.28984173696101
"Csf2→Csf2ra",3.33635139001801,0.240923557293203,3.09542783272481
"Cxcl2→Cxcr2",3.45839264308849,0.473658608304025,2.98473403478446
"Tgfb1→Tgfbr2",21.5192504414061,18.7765978512541,2.74265259015202
"Ccl4→Ccr5",3.99217622862704,2.43896090285045,1.55321532577659
"Spp1→Cd44",3.34786920944054,1.95703171347554,1.390837495965
"Il1b→Il1rap",3.79223410841714,2.54606559420667,1.24616851421047
"Il10→Il10ra",1.32866210109045,0.210801337374614,1.11786076371584
"Ifng→Ifngr1",0.787456769190874,0,0.787456769190874
"Tgfb1→Tgfbr1",11.3232304191759,10.7117705653202,0.611459853855779
"Cxcl10→Cxcr3",0.528037283729734,0.458694225299692,0.0693430584300418
"Spp1→Itgav",2.06398302854145,2.15793707884685,-0.0939540503053982
"Il18→Il18r1",0.972954477491767,1.24582262389758,-0.272868146405811
"Ccl2→Ccr2",5.25191152140413,6.92235064465562,-1.67043912325149
"Ccl7→Ccr2",4.22325686063537,6.38061644781918,-2.15735958718381
"Csf1→Csf1r",17.5595723723877,21.5016487651806,-3.9420763927929
"Pdgfb→Pdgfrb",21.6919854549651,25.6574216151546,-3.96543616018948
"Angpt1→Tek",10.6515530161038,17.302285839688,-6.65073282358427
"Vegfa→Flt1",30.2372887220909,38.3828370136691,-8.14554829157813
"Vegfa→Kdr",32.7438170858001,42.8290439575893,-10.0852268717893
"Cxcl12→Cxcr4",6.00132456054179,16.3469998143033,-10.3456752537615
"Apoe→Trem2",6.01550702353315,20.5400039600723,-14.5244969365391
