"time_ns","rg_nm"
0,1.65167
0.01,1.67368
0.02,1.68123
0.03,1.65728
0.04,1.66753
0.05,1.6732
0.06,1.6681
0.07,1.68554
0.08,1.6775
0.09,1.67932
0.1,1.66985
0.11,1.66927
0.12,1.66787
0.13,1.67338
0.14,1.6642
0.15,1.65995
0.16,1.6564
0.17,1.66408
0.18,1.66587
0.19,1.66111
0.2,1.65949
