"gene","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"213939_s_at",7.519385085,8.708472367,8.833048829,8.670264431,7.843321858,9.232478368,8.207820752,9.42461452,8.790458243,8.511003444,8.680875544,8.866123458,8.884739904,9.732210735,8.887698967,9.083092056,10.18393467,8.653232267,9.34740803,9.321319149,9.305754662,9.509777756,8.934525543,9.009740728
"214240_at",6.209646878,5.802432862,6.605640983,8.72715467,6.554255235,6.207115661,5.842526797,6.144027891,6.102090086,6.577893802,6.047035056,6.286696272,5.99772075,6.124628791,6.025751365,5.956439762,6.162094648,5.967378866,6.111563888,5.903690526,6.198888216,5.932946594,6.133202092,5.962272127
"208502_s_at",6.025515908,6.586269961,5.761629376,6.404211621,7.100999364,5.854526032,5.565543709,6.818669431,6.206180409,5.78157037,6.327527079,7.588583399,5.664672164,5.682371543,5.665925625,5.327978483,5.384472576,5.789939613,5.768148686,5.897669039,5.629891868,5.30230509,5.490293753,5.932810289
"221861_at",8.997046982,9.1193452,9.063369444,9.377163799,9.373606202,9.298341273,9.590702079,8.898614447,8.953320881,8.777785753,9.457628037,9.173363632,10.17607792,9.591148488,9.917115216,10.27962102,10.3939057,10.5420535,10.31163362,10.16337721,10.02268764,9.861894792,9.580456369,10.69198682
"221584_s_at",8.526502308,8.311514882,7.866084106,7.848468146,10.04532686,8.745749395,8.103040926,8.931075933,7.739230101,8.077667095,7.519497024,7.677704779,8.296293495,9.083257785,8.792744226,7.855374759,8.634423517,8.109850409,8.630006777,8.439097666,9.118537374,8.169557162,8.161313776,8.110051243
"202393_s_at",9.874145292,9.764550413,9.361743319,9.734721859,9.311675321,9.485840865,9.045031892,9.540342971,9.796005658,9.94940952,9.685664325,9.982332632,10.95604677,10.38773929,10.24312744,10.85551375,11.02530536,9.852479425,10.20671008,10.33479252,9.30421803,10.91711716,10.58727607,10.38140765
"211708_s_at",8.182277392,7.478760432,9.0215561,7.531028482,8.34326154,7.329595842,8.33038045,7.109970351,7.726284062,7.451959558,7.671707405,7.351984838,7.664354445,8.193640709,7.730560925,7.587012841,7.558260699,7.715167584,7.483218961,7.314421719,7.849305474,9.455431098,8.579058129,7.693091384
"206805_at",7.019838667,7.089714704,7.504557995,7.328829239,7.284721836,6.124121132,7.691158823,7.236599188,6.390660311,8.259796437,6.458255064,6.650332603,6.494750558,6.50560662,6.432066568,6.251593235,6.388205286,6.140616083,6.640295714,6.227029734,6.228450348,6.347786695,6.319338846,6.479489083
"212828_at",6.395887873,7.86064979,7.580711554,8.230942546,7.61339052,7.510572826,7.648994311,7.851897369,7.705434354,7.78537451,7.145245142,7.75618667,7.248939815,6.7020665,6.798390283,6.934934828,6.349437649,6.738373,6.738615189,6.471372373,6.676828814,7.005131333,7.600905137,6.423345191
"208860_s_at",6.795900001,9.048377335,8.192511149,7.702214563,8.800913332,9.21931256,7.149571459,8.0218044,8.833202493,8.530814108,8.28869312,8.489319569,8.541512767,8.042012243,8.403691482,8.622391663,7.947946992,8.20131621,8.812990024,8.53407631,8.711234713,8.716131007,8.543084629,8.814310929
