"dataset","layer","n_sig_deg","n_mams_inter","n_total"
"GSE190856","tissue_whole",1234,2,62230
"GSE190856","macrophage",179,0,NA
"GSE207363","tissue_whole",467,2,34066
"GSE207363","macrophage",873,3,NA
"GSE207177","tissue_whole",4598,12,61574
"GSE207177","macrophage",2891,12,NA
"GSE267388","tissue_whole",2344,2,10
"GSE267388","macrophage",0,0,NA
