"statistic","source","condition","score","p_value"
"ulm","POU5F1","SCM_vs_Ctrl",-1.78783803887215,0.0738235608018913
"ulm","AR","SCM_vs_Ctrl",1.77221491807427,0.0763804293240079
"ulm","CEBPD","SCM_vs_Ctrl",1.7494479979331,0.0802353158210871
"ulm","MAZ","SCM_vs_Ctrl",1.67779702239591,0.0934088433900327
"ulm","TP53","SCM_vs_Ctrl",1.67318178592695,0.0943136476701906
"ulm","TGIF2","SCM_vs_Ctrl",-1.67095394702891,0.0947529168958087
"ulm","SMAD1","SCM_vs_Ctrl",1.65946756066613,0.0970438007866321
"ulm","USF2","SCM_vs_Ctrl",1.6533887445894,0.0982739833383928
"ulm","STAT5B","SCM_vs_Ctrl",1.65101008571844,0.0987587352570883
"ulm","TCF12","SCM_vs_Ctrl",1.64432661842831,0.100130996442281
"ulm","TCF7L2","SCM_vs_Ctrl",1.64230354413862,0.100549362185787
"ulm","ZFX","SCM_vs_Ctrl",1.63830744625234,0.101379836933448
"ulm","ATF6","SCM_vs_Ctrl",1.61261734702262,0.106849996500155
"ulm","ZKSCAN1","SCM_vs_Ctrl",1.59250979939932,0.111292568232302
"ulm","HNF4G","SCM_vs_Ctrl",-1.58517327920214,0.112949344511294
"ulm","SOX9","SCM_vs_Ctrl",1.58140601290131,0.113807612304697
"ulm","BATF","SCM_vs_Ctrl",1.56305174548106,0.118062815550173
"ulm","TEAD2","SCM_vs_Ctrl",1.55497916511452,0.119973424345425
"ulm","ESRRA","SCM_vs_Ctrl",1.54334049024337,0.122770575175555
"ulm","TCF7","SCM_vs_Ctrl",1.51555777920275,0.12965357551591
"ulm","ZEB2","SCM_vs_Ctrl",-1.50400387805218,0.132602714932973
"ulm","MYBL2","SCM_vs_Ctrl",1.49255449138319,0.135576166379105
"ulm","ASCL1","SCM_vs_Ctrl",1.49021041946863,0.136191235143222
"ulm","ELK1","SCM_vs_Ctrl",1.4861382960862,0.137264852144475
"ulm","ELK4","SCM_vs_Ctrl",1.48124137985386,0.138564557896192
"ulm","SOX11","SCM_vs_Ctrl",1.47730317560673,0.139616670996224
"ulm","NR2F6","SCM_vs_Ctrl",-1.47637015090134,0.139866832418248
"ulm","TCF3","SCM_vs_Ctrl",1.44905093369694,0.14734554742591
"ulm","HOXA9","SCM_vs_Ctrl",-1.4415058528769,0.149463982846311
"ulm","FOXM1","SCM_vs_Ctrl",1.43565288538262,0.15112327072639
"ulm","LEF1","SCM_vs_Ctrl",1.41434467485035,0.157282756286363
"ulm","NCOA2","SCM_vs_Ctrl",-1.40988242515124,0.158596409918746
"ulm","PBX2","SCM_vs_Ctrl",1.40340284958405,0.160518715279975
"ulm","MAFG","SCM_vs_Ctrl",1.39516024902924,0.162989445347448
"ulm","MEF2B","SCM_vs_Ctrl",1.38847820495278,0.165013361058343
"ulm","ZNF143","SCM_vs_Ctrl",1.38498065537903,0.166080244954076
"ulm","NR1H2","SCM_vs_Ctrl",1.38050230265052,0.167453875167228
"ulm","ONECUT1","SCM_vs_Ctrl",-1.3573870268257,0.174679944163868
"ulm","MYB","SCM_vs_Ctrl",1.357190028751,0.174742512772796
"ulm","IRF3","SCM_vs_Ctrl",1.35588194523556,0.175158397968897
"ulm","CUX1","SCM_vs_Ctrl",1.3456774207931,0.178428159943796
"ulm","FOXP1","SCM_vs_Ctrl",-1.34185590120656,0.179664281822557
"ulm","JUND","SCM_vs_Ctrl",1.32390855935391,0.185554828783559
"ulm","PDX1","SCM_vs_Ctrl",1.31978493482814,0.186928211426077
"ulm","POU2F2","SCM_vs_Ctrl",1.31834141525255,0.187410748978198
"ulm","PAX8","SCM_vs_Ctrl",-1.31768172652865,0.18763157468539
"ulm","NANOG","SCM_vs_Ctrl",-1.30904939494326,0.190538904023616
