"TF","regulon_size","driven_targets","rescued_DEGs"
"NFKB1",119,76,10
"STAT3",59,39,9
"RELA",110,74,8
"STAT1",231,145,7
"TEAD4",66,49,3
"ZNF217",11,11,1
