"statistic","source","condition","score","p_value"
"mlm","Hypoxia","SCM_vs_Ctrl",3.35738275548882,0.000788919104318077
"mlm","NFkB","SCM_vs_Ctrl",2.68034731222379,0.00736311803438564
"mlm","Trail","SCM_vs_Ctrl",2.04227405283531,0.0411428930192773
"mlm","MAPK","SCM_vs_Ctrl",1.43062555884915,0.152559688732572
"mlm","PI3K","SCM_vs_Ctrl",1.40837011514031,0.159043522755682
"mlm","VEGF","SCM_vs_Ctrl",0.684249944157023,0.493828579913344
"mlm","Androgen","SCM_vs_Ctrl",0.369398860682584,0.711835986806265
"mlm","p53","SCM_vs_Ctrl",0.354820413614773,0.722729433876928
"mlm","JAK-STAT","SCM_vs_Ctrl",-0.262710935246689,0.792777220742846
"mlm","WNT","SCM_vs_Ctrl",-0.461106437548672,0.644729346109498
"mlm","Estrogen","SCM_vs_Ctrl",-0.628739934430748,0.529529500534127
"mlm","EGFR","SCM_vs_Ctrl",-1.80766251702837,0.0706803145533996
"mlm","TNFa","SCM_vs_Ctrl",-1.97128239516329,0.0487110806610285
"mlm","TGFb","SCM_vs_Ctrl",-2.07548440504098,0.0379597230753488
