"statistic","source","condition","score","p_value"
"ulm","Hif1a","SCM_vs_Ctrl",5.09466765393984,3.5348704920613e-07
"ulm","Rela","SCM_vs_Ctrl",5.02999444370896,4.96016916031341e-07
"ulm","Foxk2","SCM_vs_Ctrl",4.52755250436717,6.01184390875499e-06
"ulm","Myc","SCM_vs_Ctrl",4.32000330847591,1.57004797483798e-05
"ulm","Bhlhe40","SCM_vs_Ctrl",-4.19687219950924,2.72145506151838e-05
"ulm","Stat3","SCM_vs_Ctrl",4.1355857300025,3.5592933441324e-05
"ulm","Elf1","SCM_vs_Ctrl",4.10628996132297,4.04141526411232e-05
"ulm","Ar","SCM_vs_Ctrl",4.09894984458397,4.17158189754921e-05
"ulm","Nfkb1","SCM_vs_Ctrl",3.88545263089574,0.000102567231831006
"ulm","Zbtb11","SCM_vs_Ctrl",3.83988093169299,0.000123587115573942
"ulm","Nr2c2","SCM_vs_Ctrl",3.78219763423081,0.000156038042819376
"ulm","Cebpb","SCM_vs_Ctrl",3.74547222958069,0.000180711460959596
"ulm","Sp1","SCM_vs_Ctrl",3.66802851000717,0.000245252064394087
"ulm","Atf3","SCM_vs_Ctrl",-3.46912610845623,0.000523583315321305
"ulm","Egr1","SCM_vs_Ctrl",3.420782169014,0.000626035069880449
"ulm","Thap11","SCM_vs_Ctrl",3.38907224212299,0.000703054823024301
"ulm","Fosl2","SCM_vs_Ctrl",3.36049788318678,0.000779912825698621
"ulm","Maz","SCM_vs_Ctrl",-3.26298199506325,0.00110486850576758
"ulm","Batf","SCM_vs_Ctrl",3.18486736221024,0.0014510905051887
"ulm","Mnt","SCM_vs_Ctrl",-3.17240396410237,0.00151479594221881
"ulm","Epas1","SCM_vs_Ctrl",3.16709139135754,0.00154272582704185
"ulm","Nr1h2","SCM_vs_Ctrl",3.12998774793449,0.00175140470474995
"ulm","Arid2","SCM_vs_Ctrl",3.10390625456423,0.00191330137320822
"ulm","Creb3","SCM_vs_Ctrl",3.09405780991889,0.00197792867197505
"ulm","Tead4","SCM_vs_Ctrl",3.09027893640493,0.00200325387610281
"ulm","Foxp2","SCM_vs_Ctrl",3.07917740531815,0.002079385346894
"ulm","Ets1","SCM_vs_Ctrl",3.06194701885041,0.00220281698270577
"ulm","Etv4","SCM_vs_Ctrl",2.91555998047148,0.00355563052607399
"ulm","Fos","SCM_vs_Ctrl",2.83079494775049,0.00464926670216062
"ulm","Arntl","SCM_vs_Ctrl",2.69086861317897,0.00713432255615268
"ulm","Zfp639","SCM_vs_Ctrl",-2.68285348505668,0.00730749637684709
"ulm","Six5","SCM_vs_Ctrl",-2.63583248339648,0.00840153454367574
"ulm","E2f1","SCM_vs_Ctrl",2.61893068783282,0.0088292338682422
"ulm","Foxl2","SCM_vs_Ctrl",2.58426837206805,0.00976770621414197
"ulm","Mycn","SCM_vs_Ctrl",2.58311623570811,0.00980037237898512
"ulm","Trp73","SCM_vs_Ctrl",2.57753947854473,0.00995986859694638
"ulm","Stat1","SCM_vs_Ctrl",2.5609055036748,0.0104494254522458
"ulm","Zbtb7a","SCM_vs_Ctrl",2.46880418619264,0.0135673188557495
"ulm","Trp53","SCM_vs_Ctrl",2.46030388282757,0.0138928484548039
"ulm","Meis2","SCM_vs_Ctrl",-2.45859534578166,0.0139591052031208
"ulm","E2f4","SCM_vs_Ctrl",2.40718124639589,0.0160878876203413
"ulm","Cebpa","SCM_vs_Ctrl",2.35957404639953,0.0183083448569738
"ulm","Atf6","SCM_vs_Ctrl",2.3300155197563,0.0198181934518262
"ulm","Mbd1","SCM_vs_Ctrl",-2.2988007717395,0.0215295892766989
"ulm","Rfx1","SCM_vs_Ctrl",-2.29485256896038,0.0217549686745644
"ulm","Cebpd","SCM_vs_Ctrl",2.28874492986365,0.0221076628310962
"ulm","Atf4","SCM_vs_Ctrl",2.26511612713861,0.0235193956982557
"ulm","Ets2","SCM_vs_Ctrl",2.26315728839281,0.0236398659603239
"ulm","Lyl1","SCM_vs_Ctrl",-2.24724923839798,0.0246382120906565
"ulm","Jun","SCM_vs_Ctrl",2.24097814601863,0.0250416933517535
"ulm","Junb","SCM_vs_Ctrl",2.23076612625487,0.0257109796284427
"ulm","Pou5f1","SCM_vs_Ctrl",-2.2018686806661,0.0276893680008395
"ulm","Crem","SCM_vs_Ctrl",2.18053261793743,0.0292330979154008
"ulm","Gabpa","SCM_vs_Ctrl",2.13559338234892,0.0327283107616164
"ulm","Trp63","SCM_vs_Ctrl",2.09802025822335,0.0359196193919064
"ulm","Tfap2a","SCM_vs_Ctrl",2.07381387576137,0.0381131922598912
"ulm","Tbp","SCM_vs_Ctrl",2.05118891810026,0.0402654450766846
