"study_id","year","design","population","neoadjuvant_regimen","n_intervention","n_control","outcome","hr","hr_lo","hr_hi","followup_months","adjuvant_note","pmid","doi","source_note","yi","sei","vi","n_total","label"
"PREOPANC_2022",2022,"RCT_phase3","Resectable+BRPC","Gemcitabine CRT",119,127,"DFS",0.69,0.53,0.91,59,"Both arms adjuvant gemcitabine",34694891,"10.1200/JCO.21.02233","DFS from long-term report",-0.371063681390832,0.137899896164471,0.019016381362172,246,"PREOPANC 2022"
"Prep02_JSAP05",2025,"RCT_phase2_3","Resectable","Gemcitabine+S-1",182,182,"RFS",0.77,0.61,0.98,NA,"Adjuvant S-1 both arms",40235447,NA,"Relapse-free survival (not identical to DFS)",-0.261364764134408,0.12094224859624,0.0146270274955147,364,"Prep02 JSAP05"
"ESPAC5_2023",2023,"RCT_phase2_feasibility","BRPC","Combined neoadjuvant arms",55,31,"DFS",0.53,0.28,0.98,NA,"DFS measured from surgery",36521500,"10.1016/S2468-1253(22)00348-X","1-year DFS HR",-0.63487827243597,0.319582389922288,0.102132903948441,86,"ESPAC5 2023"
