"study_id","year","design","population","neoadjuvant_regimen","n_intervention","n_control","outcome","hr","hr_lo","hr_hi","followup_months","adjuvant_note","pmid","doi","source_note","yi","sei","vi","n_total","label"
"PREOPANC_2022",2022,"RCT_phase3","Resectable+BRPC","Gemcitabine CRT",119,127,"OS",0.73,0.56,0.96,59,"Both arms adjuvant gemcitabine",34694891,"10.1200/JCO.21.02233","Versteijne JCO 2022 long-term ITT",-0.3147107448397,0.137499107329767,0.0189060045164828,246,"PREOPANC 2022"
"Prep02_JSAP05",2025,"RCT_phase2_3","Resectable","Gemcitabine+S-1",182,182,"OS",0.73,0.56,0.95,NA,"Adjuvant S-1 both arms",40235447,NA,"Unno Ann Surg EuropePMC abstract",-0.3147107448397,0.13482785736362,0.0181785511212647,364,"Prep02 JSAP05"
"ESPAC5_2023",2023,"RCT_phase2_feasibility","BRPC","Combined neoadjuvant arms",55,31,"OS",0.29,0.14,0.6,NA,"Feasibility; short follow-up",36521500,"10.1016/S2468-1253(22)00348-X","Combined neoadjuvant vs immediate surgery FAS approx",-1.23787435600162,0.371246743011949,0.13782414419698,86,"ESPAC5 2023"
