Unnamed: 0,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,rank
Bnip31,1.01517994138886e-45,0.709664322820624,0.292,0.285,3.1727418708225997e-41,Cardiomyocyte,Bnip3,1
Bnip3,3.71e-321,0.558806107098356,0.322,0.18,1.15962163e-316,Endothelial,Bnip3,2
