"gene","log2FC","AveExpr","t","pvalue","padj","B","category"
"Vapa",2.40991489692265,8.26039301326875,14.7995055968088,1.79206396459853e-06,0.000155679045918357,5.8680724055204,"anchor_contact"
"Hspa9",1.47416866479969,6.64184696290277,13.6112822578175,3.13522032241672e-06,0.000182844163057814,5.26482634290483,"anchor_contact"
"Osbpl5",-1.68185858836217,2.44423193398198,-12.3774195349871,5.89514241995146e-06,0.000225968456351147,4.73302452883286,"lipid_metabolism"
"Cpt1a",-1.38437325179724,4.56724205166576,-11.3027748951673,1.07338257678945e-05,0.00028405591800492,3.96428262260668,"lipid_metabolism"
"Pdzd8",1.03234320730754,5.57316962891134,9.75725034656182,2.80160055225821e-05,0.000428589748460331,2.89146718754583,"anchor_contact"
"Acsl4",1.59601061205098,5.38222306868592,9.63858906141424,3.03232824747846e-05,0.00043996613299792,2.82810647845233,"lipid_metabolism"
"Pacs2",-1.39071724036679,3.40357672328684,-9.00754542914838,4.68834965498484e-05,0.000552848450461468,2.44913394384203,"anchor_contact"
"Sigmar1",-1.46261841400699,3.47782452842949,-8.05139055755353,9.56462256111642e-05,0.000810176696962811,1.66315281689068,"anchor_contact"
"Cisd3",-1.1682290855032,2.41688951529086,-6.9725994602802,0.000233844130826254,0.00138161037141914,0.828229637326942,"anchor_contact"
"Prkn",-1.5640650673481,-0.247943939322296,-4.05323408681862,0.00502198067578635,0.0122620041810545,-2.11024994259057,"mito_dynamics"
"Dgat2",1.2730846510494,3.10235689711912,3.75937468350814,0.00729874559290661,0.0164424756177438,-2.89968352533682,"lipid_metabolism"
"Pla2g6",1.66197988952312,3.14189031247132,3.61165549673668,0.00885115374591629,0.0191816540838352,-3.08427256042578,"lipid_metabolism"
