"gene","log2FC","AveExpr","t","pvalue","padj","B","method","contrast"
"Mt2",6.65546448277821,9.44733900046663,26.7712230755439,2.6123260896011e-09,2.93547082688475e-05,11.6945033690224,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pmvk",4.00667093213656,6.88101437535843,20.3746963123006,2.40744353036587e-08,0.000121387708624186,9.77752703273702,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Stard7",3.08384834277359,6.41941573867455,19.345085842583,3.66295296449497e-08,0.000121387708624186,9.44738269375735,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Egln2",2.92323133739607,7.5208347329698,18.6012546231112,5.0282100245782e-08,0.000121387708624186,9.27261747733424,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ehd4",-2.72680175669957,7.14113522186657,-18.4370557837876,5.40125071745954e-08,0.000121387708624186,9.21645382089881,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Hacd4",-4.69552393932713,4.02132106734848,-17.2954713839306,9.04052916612797e-08,0.000140211845497232,8.32789069421201,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lipa",-2.21984021303862,6.2205572031016,-17.1108950775238,9.85550291072909e-08,0.000140211845497232,8.63746490823328,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Slc9a3r2",-3.39987254155261,4.47325041765524,-16.6706139339391,1.21525837019415e-07,0.000140211845497232,8.3059555033394,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Plscr1",4.66381359037825,6.85525024129204,16.4640222271066,1.343234867309e-07,0.000140211845497232,8.21279973441307,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Rnf150",-4.99324363314607,2.9779092446382,-16.3499694862681,1.42029846070773e-07,0.000140211845497232,7.37314880393298,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Hs6st1",3.02121263104887,6.28830989454425,16.3078471442686,1.44999970340681e-07,0.000140211845497232,8.20795969425863,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Mt1",4.28065009884665,11.9303938277567,16.2426866298909,1.49732325884737e-07,0.000140211845497232,8.23745985189657,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lmo2",-1.96484204432916,6.03451658084867,-15.9867606154518,1.70064364916005e-07,0.000143300506773696,8.11338767353994,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Sod2",4.67932984664424,9.63990428304116,15.763133069164,1.90379704593184e-07,0.000143300506773696,8.00827753216536,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Slco2b1",-4.41203283129308,3.96467496580348,-15.408551466229,2.28394104588206e-07,0.000143300506773696,7.58581033562237,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ctsl",1.87931663485829,9.43652825603036,15.4053771292046,2.2877069803237e-07,0.000143300506773696,7.83003525458913,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Serp1",1.97828895775012,8.73434761602861,15.2032068878163,2.54248249767753e-07,0.000143300506773696,7.72604149898308,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pfkfb3",2.78690794591486,7.51398609066733,15.1953968353579,2.55294205225634e-07,0.000143300506773696,7.72061186222045,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Susd3",-2.78751700705814,3.99728456632879,-15.1770073650012,2.57776042959707e-07,0.000143300506773696,7.59109566518295,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Otulinl",-2.59266607662029,4.85719942125561,-15.0976343886531,2.68802000012937e-07,0.000143300506773696,7.63849345524119,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Sox18",-3.62976332806342,3.43339012427901,-15.0778186515524,2.71636207598673e-07,0.000143300506773696,7.35387581695842,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Nfil3",2.90308167657276,6.64841938571634,14.9788747718878,2.86296956198861e-07,0.000143300506773696,7.59412858107855,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Emb",2.78498116815223,6.92949022210629,14.8116477600781,3.13129089982954e-07,0.000143300506773696,7.5154588633971,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lair1",-3.18158687507196,5.65916270816921,-14.7236468989997,3.2836945259975e-07,0.000143300506773696,7.46506615594649,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lcn2",8.43392232561479,7.91253983200691,14.6868274972526,3.34990446634728e-07,0.000143300506773696,7.00862994711047,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Nrp1",-3.2969500046462,5.53433274635017,-14.675999875963,3.36965786428902e-07,0.000143300506773696,7.4371525161437,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Id2",2.23276485542288,8.39589814925621,14.6363078216307,3.44319096101254e-07,0.000143300506773696,7.42539128105403,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Sdc4",3.69359549997441,10.1037205959367,14.5218455930567,3.66547830119713e-07,0.0001471034988234,7.36357689757579,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Gna13",2.39199015111683,8.2495865926283,14.348553314916,4.03317221041499e-07,0.000150474475060431,7.26768383959318,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Gde1",2.4710555245359,6.41996719832908,14.3439041474437,4.0435889294852e-07,0.000150474475060431,7.26137752176503,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Bcl3",2.08298078931683,6.88147614788806,14.296642159861,4.15120470487975e-07,0.000150474475060431,7.24022764138492,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Hnrnpdl",1.69194874384502,7.75632116431443,14.1233641707656,4.57402597096122e-07,0.000160619780736535,7.1418022713049,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Dock8",-2.24362803470278,5.39744587881939,-14.0090654501532,4.87919937406394e-07,0.000166144131413202,7.07895215962155,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
