"CLP","Control","gene","panel"
0.18481333024886,0.393026221849886,"Pink1","线粒体功能障碍基因"
0.00211113349029416,0.0207934413735182,"Prkn","线粒体功能障碍基因"
0.0574631935357283,0.0708575437069567,"Mfn1","线粒体功能障碍基因"
0.0749852421138296,0.0912458039400612,"Mfn2","线粒体功能障碍基因"
0.100326924380846,0.131551542657488,"Dnm1l","线粒体功能障碍基因"
0.209523947003563,0.166543603625323,"Tomm40","线粒体功能障碍基因"
0.136612477880889,0.145576634843076,"Ndufs1","线粒体功能障碍基因"
0.966230784672534,0.868979605188932,"Cox5a","线粒体功能障碍基因"
2.08224146771442,2.30567356183969,"Ucp2","线粒体功能障碍基因"
0.0921619181059002,0.173816186089388,"Opa1","线粒体功能障碍基因"
0.625478538937261,0.697916425910634,"Fis1","线粒体功能障碍基因"
0.0813215680511696,0.182878582376306,"Fundc1","线粒体功能障碍基因"
0.10729643422622,0.136087014637603,"Bnip3","线粒体功能障碍基因"
0.383265494568818,0.268710040813874,"Hspa9","线粒体功能障碍基因"
0.845972511759206,0.914262206305094,"Slc25a4","线粒体功能障碍基因"
0.465368295478009,0.462688331009057,"Ndufa1","线粒体功能障碍基因"
2.50075692024309,0.453949854152655,"Sod2","线粒体功能障碍基因"
0.0583121836438703,0.0665880058153232,"Pgam5","线粒体功能障碍基因"
1.52234303717431,2.24974940426444,"Gpx1","线粒体功能障碍基因"
0.260104566614736,0.464995434832112,"Sirt2","线粒体功能障碍基因"
0.119993762105162,0.163952428591357,"Foxo1","线粒体功能障碍基因"
1.23685694046895,1.58351614437133,"Hspa5","内质网应激基因"
0.957312308253524,0.929163180714741,"Atf4","内质网应激基因"
0.559081657944802,0.506436080136632,"Xbp1","内质网应激基因"
0.196021077929961,0.266640378414162,"Ddit3","内质网应激基因"
0.401327500128675,0.955329528162864,"Hspa1a","内质网应激基因"
0.026926029902435,0.0791277602104216,"Eif2ak3","内质网应激基因"
0.763153003883129,0.47701733283179,"Herpud1","内质网应激基因"
0.0341322111814638,0.0820995931451861,"Ern1","内质网应激基因"
0.287226621426344,0.350298851395464,"Atf6","内质网应激基因"
0.503414944508237,0.393371615991375,"Manf","内质网应激基因"
0.353715331871685,0.621325436697463,"Dnajb9","内质网应激基因"
0.760287376504212,1.14678269517514,"Calr","内质网应激基因"
0.469783667020482,0.699182979052324,"Canx","内质网应激基因"
0.710043359511531,1.05648003819038,"Ppp1r15a","内质网应激基因"
0.0157130548606045,0.0267055368942942,"Wfs1","内质网应激基因"
0.237190949123808,0.291422308876693,"Edem1","内质网应激基因"
0.260104566614736,0.464995434832112,"Sirt2","内质网应激基因"
0.119993762105162,0.163952428591357,"Foxo1","内质网应激基因"
