"time_ns","dist_nm"
0,1.034
0.01,1.028
0.02,1.072
0.03,1.059
0.04,1.037
0.05,1.069
0.06,1.111
0.07,1.076
0.08,1.123
0.09,1.114
0.1,1.044
0.11,1.089
0.12,1.075
0.13,1.078
0.14,1.052
0.15,1.065
0.16,1.01
0.17,1.067
0.18,1.097
0.19,1.036
0.2,1.09
