"n","power"
10,0.199903489384319
11,0.215525026221737
12,0.23109206510789
13,0.246594627590551
14,0.262021926210569
15,0.277362866373634
16,0.292606373504978
17,0.307741608569052
18,0.322758110250348
19,0.337645887816142
20,0.352395480160109
21,0.366997991277612
22,0.381445109101862
23,0.395729112476283
24,0.409842869611285
25,0.423779830409461
26,0.437534014380247
27,0.451099995401871
28,0.464472884259993
29,0.477648309656403
30,0.490622398209408
31,0.503391753841131
32,0.515953436852831
33,0.528304942918697
34,0.540444182174897
35,0.552369458539611
36,0.564079449368089
37,0.575573185522152
38,0.586850031914234
39,0.597909668570873
40,0.608752072248467
41,0.619377498624538
42,0.629786465079987
43,0.639979734081661
44,0.649958297169548
45,0.65972335954885
46,0.669276325283925
47,0.678618783088433
48,0.687752492703852
49,0.696679371856812
50,0.705401483784302
51,0.713921025314666
52,0.722240315491461
53,0.73036178472654
54,0.738287964468206
55,0.746021477369929
56,0.753565027944813
57,0.760921393690864
58,0.768093416672021
59,0.775083995539898
60,0.781896077981231
61,0.788532653576131
62,0.794996747052403
63,0.801291411921328
64,0.807419724480575
65,0.813384778170104
66,0.819189678267216
67,0.824837536907148
68,0.830331468415958
69,0.835674584942693
70,0.840869992378209
71,0.84592078654828
72,0.850830049669019
73,0.855600847052917
74,0.860236224054186
75,0.864739203242399
76,0.86911278179377
77,0.873359929089763
78,0.877483584513033
79,0.881486655431049
80,0.885372015358077
