"gene","source"
"ATHS","GeneCards"
"ALOX5","GeneCards"
"APOE","GeneCards"
"ABCG8","GeneCards"
"CARMN","GeneCards"
"LDLR","GeneCards"
"OLR1","GeneCards"
"CDKN2B-AS1","GeneCards"
"APOB","GeneCards"
"LPL","GeneCards"
"H19","GeneCards"
"XIST","GeneCards"
"GAS5","GeneCards"
"MIAT","GeneCards"
"TUG1","GeneCards"
"PCSK9","GeneCards"
"PPARG","GeneCards"
"KCNQ1OT1","GeneCards"
"ABCA1","GeneCards"
"LPA","GeneCards"
"NORAD","GeneCards"
"SNHG1","GeneCards"
"TP53COR1","GeneCards"
"DANCR","GeneCards"
"CCL2","GeneCards"
"HIF1A-AS2","GeneCards"
"PVT1","GeneCards"
"LINC00299","GeneCards"
"IGSF9B","GeneCards"
"APPAT","GeneCards"
"NCK1-DT","GeneCards"
"HCG11","GeneCards"
"SNHG12","GeneCards"
"PTPRA","GeneCards"
"HAND2-AS1","GeneCards"
"CASC11","GeneCards"
"BANCR","GeneCards"
"SCIRT","GeneCards"
"CHAER1","GeneCards"
"PCA3","GeneCards"
"ICAM4-AS1","GeneCards"
"GPR20","GeneCards"
"HOXA11-AS","GeneCards"
"HMGN2P46","GeneCards"
"FOXC2-AS1","GeneCards"
"HDAC11-AS1","GeneCards"
"APOC2","GeneCards"
"CASC2","GeneCards"
"LIPC","GeneCards"
"CYP27A1","GeneCards"
"NOS3","GeneCards"
"SELE","GeneCards"
"BACE1-AS","GeneCards"
"APOA1","GeneCards"
"APOA2","GeneCards"
"GJA4","GeneCards"
"ABCG5","GeneCards"
"CETP","GeneCards"
"PON3","GeneCards"
"APOA5","GeneCards"
"ESR1","GeneCards"
"IL6","GeneCards"
"PON1","GeneCards"
"CYP7A1","GeneCards"
"APOC3","GeneCards"
"LMNA","GeneCards"
"VEGFA","GeneCards"
"LIPA","GeneCards"
"LIPG","GeneCards"
"CX3CR1","GeneCards"
"ALB","GeneCards"
"CBS","GeneCards"
"MMP9","GeneCards"
"CX3CL1","GeneCards"
"TGFB1","GeneCards"
"SAA1","GeneCards"
"SREBF2","GeneCards"
"CRP","GeneCards"
"CD36","GeneCards"
"GPIHBP1","GeneCards"
"SMAD3","GeneCards"
"ABCC6","GeneCards"
"TLR4","GeneCards"
"LOX","GeneCards"
"SCARB1","GeneCards"
"ACE","GeneCards"
"ADIPOQ","GeneCards"
"VWF","GeneCards"
"MTHFR","GeneCards"
"SPP1","GeneCards"
"HMGCR","GeneCards"
"PECAM1","GeneCards"
"IL10","GeneCards"
"LCAT","GeneCards"
"BGN","GeneCards"
"LDLRAP1","GeneCards"
"MMP3","GeneCards"
"TNF","GeneCards"
"FBN1","GeneCards"
"NFE2L2","GeneCards"
"SMAD2","GeneCards"
"ELN","GeneCards"
"MIR146A","GeneCards"
"ENPP1","GeneCards"
"ENG","GeneCards"
"MYH11","GeneCards"
"ACTA2","GeneCards"
"MIR221","GeneCards"
"CAV1","GeneCards"
"INS","GeneCards"
"SOAT2","GeneCards"
"MSR1","GeneCards"
"TGFB2","GeneCards"
"PPARA","GeneCards"
"IL1B","GeneCards"
"WRN","GeneCards"
"TGFBR1","GeneCards"
"SMPD1","GeneCards"
"F2","GeneCards"
"SMILR","GeneCards"
"TGFBR2","GeneCards"
"RHOA","GeneCards"
"TGFB3","GeneCards"
"EPHX2","GeneCards"
"MTOR","GeneCards"
"SERPINE1","GeneCards"
"PTPN11","GeneCards"
"TLR2","GeneCards"
"TNFSF4","GeneCards"
"SELP","GeneCards"
"MIR145","GeneCards"
"MYLK","GeneCards"
"ABCC2","GeneCards"
"ICAM1","GeneCards"
"MAPK8","GeneCards"
"F11","GeneCards"
"PON2","GeneCards"
"LMF1","GeneCards"
"GGCX","GeneCards"
"APOA1-AS","GeneCards"
"CELA2A","GeneCards"
"MAPK14","GeneCards"
"MAPK1","GeneCards"
"ALOX15","GeneCards"
"ITGB3","GeneCards"
"EGR1","GeneCards"
