"gene","source"
"IRF5","GeneCards"
"ALMS1","GeneCards"
"TBXA2R","GeneCards"
"LMAN1","GeneCards"
"CSF1","GeneCards"
"PSMA6","GeneCards"
"GDF2","GeneCards"
"PROS1","GeneCards"
"SREBF1","GeneCards"
"IRAK1","GeneCards"
"MIR21","GeneCards"
"F10","GeneCards"
"CD5L","GeneCards"
"CST3","GeneCards"
"SUCNR1","GeneCards"
"ACVRL1","GeneCards"
"NR1I2","GeneCards"
"GPBP1","GeneCards"
"MIR6886","GeneCards"
"RYR2","GeneCards"
"PIK3CA","GeneCards"
"THBS1","GeneCards"
"NAMPT","GeneCards"
"FLNA","GeneCards"
"CYCS","GeneCards"
"VDR","GeneCards"
"FBLN5","GeneCards"
"AGXT2","GeneCards"
"PWAR4","GeneCards"
"HGF","GeneCards"
"CXCL12","GeneCards"
"SORL1","GeneCards"
"MPL","GeneCards"
"CCR2","GeneCards"
"FGFR1","GeneCards"
"PROC","GeneCards"
"HDAC9","GeneCards"
"TARID","GeneCards"
"COL1A1","GeneCards"
"FGG","GeneCards"
"ITGAM","GeneCards"
"TFPI","GeneCards"
"ABCA4","GeneCards"
"THRIL","GeneCards"
"PTPN22","GeneCards"
"SENCR","GeneCards"
"EPHB4","GeneCards"
"DOCK6","GeneCards"
"CDKN2B","GeneCards"
"SIRT1","GeneCards"
"ANGPTL3","GeneCards"
"TWIST1","GeneCards"
"PNPLA2","GeneCards"
"LGALS3","GeneCards"
"LEPR","GeneCards"
"NR1H4","GeneCards"
"SERGEF","GeneCards"
"ADAMTS7","GeneCards"
"ROBO4","GeneCards"
"FOCAD","GeneCards"
"DROSHA","GeneCards"
"PLTP","GeneCards"
"SNCA","GeneCards"
"APOA4","GeneCards"
"TREX1","GeneCards"
"ALDH2","GeneCards"
"HIF1A","GeneCards"
"CD44","GeneCards"
"LINC01672","GeneCards"
"PTGS2","GeneCards"
"GSTA4","GeneCards"
"MGP","GeneCards"
"PHACTR1","GeneCards"
"CERNA3","GeneCards"
"FANCM","GeneCards"
"TNFRSF11B","GeneCards"
"FOXE3","GeneCards"
"APCS","GeneCards"
"AHSG","GeneCards"
"SOAT1","GeneCards"
"NOTCH3","GeneCards"
"FBN2","GeneCards"
"TEK","GeneCards"
"DPP4","GeneCards"
"PPARD","GeneCards"
"KCNJ11","GeneCards"
"VLDLR","GeneCards"
"CYP3A4","GeneCards"
"SORT1","GeneCards"
"TRIB1","GeneCards"
"FGF23","GeneCards"
"FOXC2","GeneCards"
"C1QA","GeneCards"
"LUCAT1","GeneCards"
"C4A","GeneCards"
"FURIN","GeneCards"
