"gene","sample_id","expr","time","group"
"Vdac1","H001",6.57171638761241,"Steady","Steady"
"Vdac1","H002",6.784822610563,"CLP_early","CLP"
"Vdac1","H003",6.30521820737036,"Steady","Steady"
"Vdac1","H004",7.16097256833253,"CLP_early","CLP"
"Vdac1","H007",6.7994688305836,"CLP_mid","CLP"
"Vdac1","H009",6.61279443664805,"CLP_late","CLP"
"Vdac1","H011",6.80745869110252,"CLP_mid","CLP"
"Vdac2","H001",7.37510698783626,"Steady","Steady"
"Vdac2","H002",7.49298618486809,"CLP_early","CLP"
"Vdac2","H003",7.10044187234654,"Steady","Steady"
"Vdac2","H004",8.00216665868306,"CLP_early","CLP"
"Vdac2","H007",7.74984609781626,"CLP_mid","CLP"
"Vdac2","H009",7.39355232228877,"CLP_late","CLP"
"Vdac2","H011",7.59330253620547,"CLP_mid","CLP"
"Vdac3","H001",6.77977990809772,"Steady","Steady"
"Vdac3","H002",6.81945643480255,"CLP_early","CLP"
"Vdac3","H003",6.55646310702111,"Steady","Steady"
"Vdac3","H004",7.07529561525942,"CLP_early","CLP"
"Vdac3","H007",6.90551341570742,"CLP_mid","CLP"
"Vdac3","H009",6.84248863802396,"CLP_late","CLP"
"Vdac3","H011",7.0807070894395,"CLP_mid","CLP"
"Itpr1","H001",6.34186344451054,"Steady","Steady"
"Itpr1","H002",4.98299298358599,"CLP_early","CLP"
"Itpr1","H003",3.9109160351113,"Steady","Steady"
"Itpr1","H004",2.79149264562368,"CLP_early","CLP"
"Itpr1","H007",3.56494938725533,"CLP_mid","CLP"
"Itpr1","H009",3.6578672957399,"CLP_late","CLP"
"Itpr1","H011",4.17157608710025,"CLP_mid","CLP"
"Itpr2","H001",6.68465640643747,"Steady","Steady"
"Itpr2","H002",6.56837721297456,"CLP_early","CLP"
"Itpr2","H003",6.34057902199372,"Steady","Steady"
"Itpr2","H004",5.48517230048955,"CLP_early","CLP"
"Itpr2","H007",5.78590162078489,"CLP_mid","CLP"
"Itpr2","H009",6.07058689612674,"CLP_late","CLP"
"Itpr2","H011",5.87130363806038,"CLP_mid","CLP"
"Itpr3","H001",4.1934547884256,"Steady","Steady"
"Itpr3","H002",3.67365590041964,"CLP_early","CLP"
"Itpr3","H003",2.4798617156064,"Steady","Steady"
"Itpr3","H004",1.90410569054441,"CLP_early","CLP"
"Itpr3","H007",2.18034533940132,"CLP_mid","CLP"
"Itpr3","H009",2.18039082867676,"CLP_late","CLP"
"Itpr3","H011",2.55164691744688,"CLP_mid","CLP"
"Hspa9","H001",6.34826771708706,"Steady","Steady"
"Hspa9","H002",6.26627270390864,"CLP_early","CLP"
"Hspa9","H003",6.31747149317833,"Steady","Steady"
"Hspa9","H004",6.10258277970198,"CLP_early","CLP"
"Hspa9","H007",6.20059454051332,"CLP_mid","CLP"
"Hspa9","H009",6.09726810917561,"CLP_late","CLP"
"Hspa9","H011",6.25683168498689,"CLP_mid","CLP"
"Mfn1","H001",4.59378568250742,"Steady","Steady"
"Mfn1","H002",4.25380707787499,"CLP_early","CLP"
"Mfn1","H003",3.97232270906432,"Steady","Steady"
"Mfn1","H004",3.46083686535703,"CLP_early","CLP"
"Mfn1","H007",3.7101591932571,"CLP_mid","CLP"
"Mfn1","H009",3.91080238725901,"CLP_late","CLP"
"Mfn1","H011",3.61833631800617,"CLP_mid","CLP"
"Mfn2","H001",4.52599629147326,"Steady","Steady"
"Mfn2","H002",4.27227534584297,"CLP_early","CLP"
"Mfn2","H003",4.24691942585213,"Steady","Steady"
"Mfn2","H004",3.766331637262,"CLP_early","CLP"
"Mfn2","H007",4.05317756946399,"CLP_mid","CLP"
"Mfn2","H009",4.18444503569113,"CLP_late","CLP"
"Mfn2","H011",4.16030162278738,"CLP_mid","CLP"
"Phb2","H001",6.61276234273168,"Steady","Steady"
"Phb2","H002",6.71650097745892,"CLP_early","CLP"
"Phb2","H003",6.34783801731236,"Steady","Steady"
"Phb2","H004",7.06977834592078,"CLP_early","CLP"
"Phb2","H007",6.83406888158763,"CLP_mid","CLP"
"Phb2","H009",6.55498919576913,"CLP_late","CLP"
"Phb2","H011",6.55682430489484,"CLP_mid","CLP"
"Sigmar1","H001",5.12072064951499,"Steady","Steady"
"Sigmar1","H002",5.3110333313465,"CLP_early","CLP"
"Sigmar1","H003",5.06691526246043,"Steady","Steady"
"Sigmar1","H004",5.39190056509576,"CLP_early","CLP"
"Sigmar1","H007",5.45500139251888,"CLP_mid","CLP"
"Sigmar1","H009",5.28195604859397,"CLP_late","CLP"
"Sigmar1","H011",5.62667887931558,"CLP_mid","CLP"
"Pacs2","H001",5.33855648295673,"Steady","Steady"
"Pacs2","H002",5.12642836963496,"CLP_early","CLP"
"Pacs2","H003",5.68437435363368,"Steady","Steady"
"Pacs2","H004",4.91952489722321,"CLP_early","CLP"
"Pacs2","H007",5.16201736570433,"CLP_mid","CLP"
"Pacs2","H009",5.39225283141504,"CLP_late","CLP"
"Pacs2","H011",5.20280129171326,"CLP_mid","CLP"
"Fis1","H001",7.36634401092503,"Steady","Steady"
"Fis1","H002",7.55010573886266,"CLP_early","CLP"
"Fis1","H003",6.77469054687595,"Steady","Steady"
"Fis1","H004",8.02016800399199,"CLP_early","CLP"
"Fis1","H007",7.65089298982039,"CLP_mid","CLP"
"Fis1","H009",7.11652833134828,"CLP_late","CLP"
"Fis1","H011",7.56160443453816,"CLP_mid","CLP"
"Mtch2","H001",5.88760236720069,"Steady","Steady"
"Mtch2","H002",5.8743418712858,"CLP_early","CLP"
"Mtch2","H003",5.5141572313797,"Steady","Steady"
"Mtch2","H004",5.85661455366102,"CLP_early","CLP"
"Mtch2","H007",5.88365857062377,"CLP_mid","CLP"
"Mtch2","H009",5.79120075443237,"CLP_late","CLP"
"Mtch2","H011",5.97387957613631,"CLP_mid","CLP"
"Cisd3","H001",3.32876819858911,"Steady","Steady"
"Cisd3","H002",3.59807285620959,"CLP_early","CLP"
"Cisd3","H003",3.838557625557,"Steady","Steady"
"Cisd3","H004",3.89632473224561,"CLP_early","CLP"
"Cisd3","H007",3.96020200574962,"CLP_mid","CLP"
"Cisd3","H009",3.62772888311542,"CLP_late","CLP"
"Cisd3","H011",3.89718106845063,"CLP_mid","CLP"
"Pdzd8","H001",6.01180857983286,"Steady","Steady"
"Pdzd8","H002",5.59619962992761,"CLP_early","CLP"
"Pdzd8","H003",5.62884382230732,"Steady","Steady"
"Pdzd8","H004",4.48025456292343,"CLP_early","CLP"
"Pdzd8","H007",4.92673380622149,"CLP_mid","CLP"
"Pdzd8","H009",5.20867292742858,"CLP_late","CLP"
"Pdzd8","H011",5.05843757228838,"CLP_mid","CLP"
"Vapb","H001",6.77180459410611,"Steady","Steady"
"Vapb","H002",6.63304052745094,"CLP_early","CLP"
"Vapb","H003",6.32962158363718,"Steady","Steady"
"Vapb","H004",6.48502871177323,"CLP_early","CLP"
"Vapb","H007",6.59259203168693,"CLP_mid","CLP"
"Vapb","H009",6.46410212022941,"CLP_late","CLP"
"Vapb","H011",6.28586976908466,"CLP_mid","CLP"
"Vapa","H001",7.44655949318378,"Steady","Steady"
"Vapa","H002",7.64430635418686,"CLP_early","CLP"
"Vapa","H003",6.9420720315274,"Steady","Steady"
"Vapa","H004",7.68586027175578,"CLP_early","CLP"
"Vapa","H007",7.45532398183024,"CLP_mid","CLP"
"Vapa","H009",7.12485161183192,"CLP_late","CLP"
"Vapa","H011",6.99538050008193,"CLP_mid","CLP"
"Rras2","H001",4.19650039839054,"Steady","Steady"
"Rras2","H002",3.52294457997119,"CLP_early","CLP"
"Rras2","H003",2.83427417582357,"Steady","Steady"
"Rras2","H004",2.48396503881922,"CLP_early","CLP"
"Rras2","H007",2.57614244598887,"CLP_mid","CLP"
"Rras2","H009",2.70485927879077,"CLP_late","CLP"
"Rras2","H011",2.54299147150876,"CLP_mid","CLP"
"Mcu","H001",4.29166257581462,"Steady","Steady"
"Mcu","H002",3.73486125473966,"CLP_early","CLP"
"Mcu","H003",3.62333582493169,"Steady","Steady"
"Mcu","H004",2.8919714420093,"CLP_early","CLP"
"Mcu","H007",3.19387939719352,"CLP_mid","CLP"
"Mcu","H009",3.35095683762302,"CLP_late","CLP"
"Mcu","H011",3.34718866624405,"CLP_mid","CLP"
"Micu1","H001",5.90632438016487,"Steady","Steady"
"Micu1","H002",5.56020340934572,"CLP_early","CLP"
"Micu1","H003",5.78727306808147,"Steady","Steady"
"Micu1","H004",5.72261035038535,"CLP_early","CLP"
"Micu1","H007",5.82509980874113,"CLP_mid","CLP"
"Micu1","H009",6.04230484252841,"CLP_late","CLP"
"Micu1","H011",6.00729923884361,"CLP_mid","CLP"
"Micu2","H001",5.58234796246706,"Steady","Steady"
"Micu2","H002",5.27668582406,"CLP_early","CLP"
"Micu2","H003",5.70147535767083,"Steady","Steady"
"Micu2","H004",5.4363493955707,"CLP_early","CLP"
"Micu2","H007",5.63737309881961,"CLP_mid","CLP"
"Micu2","H009",5.64781890463221,"CLP_late","CLP"
"Micu2","H011",5.68521010898821,"CLP_mid","CLP"
"Micu3","H001",4.50321972321034,"Steady","Steady"
"Micu3","H002",4.00268804353601,"CLP_early","CLP"
"Micu3","H003",4.17691249034721,"Steady","Steady"
"Micu3","H004",3.54205916505273,"CLP_early","CLP"
"Micu3","H007",3.71775324928526,"CLP_mid","CLP"
"Micu3","H009",3.80185961334365,"CLP_late","CLP"
"Micu3","H011",3.44953411325141,"CLP_mid","CLP"
"Slc8a1","H001",5.85745316025424,"Steady","Steady"
"Slc8a1","H002",5.04284230012766,"CLP_early","CLP"
"Slc8a1","H003",6.17333162122857,"Steady","Steady"
"Slc8a1","H004",5.11481547276025,"CLP_early","CLP"
"Slc8a1","H007",5.77424360653339,"CLP_mid","CLP"
"Slc8a1","H009",5.7041731734939,"CLP_late","CLP"
"Slc8a1","H011",5.70118211233115,"CLP_mid","CLP"
"Atp2a2","H001",6.95485519889771,"Steady","Steady"
"Atp2a2","H002",6.83538008733455,"CLP_early","CLP"
"Atp2a2","H003",6.9370271551161,"Steady","Steady"
"Atp2a2","H004",6.0358998858631,"CLP_early","CLP"
"Atp2a2","H007",6.21561404196205,"CLP_mid","CLP"
"Atp2a2","H009",6.22625551925082,"CLP_late","CLP"
"Atp2a2","H011",6.40389623171317,"CLP_mid","CLP"
"Camk2d","H001",6.5368965714925,"Steady","Steady"
"Camk2d","H002",6.20558674700327,"CLP_early","CLP"
"Camk2d","H003",6.23883052530938,"Steady","Steady"
"Camk2d","H004",5.78062083040489,"CLP_early","CLP"
"Camk2d","H007",6.14293704104934,"CLP_mid","CLP"
"Camk2d","H009",6.1670365486436,"CLP_late","CLP"
"Camk2d","H011",6.13517602372445,"CLP_mid","CLP"
"Calm1","H001",10.3009752970749,"Steady","Steady"
"Calm1","H002",10.5545852103683,"CLP_early","CLP"
"Calm1","H003",10.5945522057678,"Steady","Steady"
"Calm1","H004",10.5700834172486,"CLP_early","CLP"
"Calm1","H007",10.5149880564888,"CLP_mid","CLP"
"Calm1","H009",10.3017666991825,"CLP_late","CLP"
"Calm1","H011",10.7511411921881,"CLP_mid","CLP"
"Calm2","H001",8.72261807336701,"Steady","Steady"
"Calm2","H002",8.66300022946516,"CLP_early","CLP"
"Calm2","H003",8.93932506857671,"Steady","Steady"
"Calm2","H004",9.18258370787475,"CLP_early","CLP"
"Calm2","H007",9.30881090836614,"CLP_mid","CLP"
"Calm2","H009",9.11872002881966,"CLP_late","CLP"
"Calm2","H011",9.27246581309265,"CLP_mid","CLP"
"Calm3","H001",7.33869767964079,"Steady","Steady"
"Calm3","H002",7.49789887279739,"CLP_early","CLP"
"Calm3","H003",7.16000647912317,"Steady","Steady"
