"group","celltype","gene","expr"
"CLP","Pericytes","Ccl2",0.31333680910738
"CLP","Pericytes","Tnf",0.0290216168705744
"CLP","Pericytes","Vegfa",0.110546566904544
"CLP","Pericytes","Csf1r",0.232330788582923
"CLP","T-cells","Il1r1",0.0550995630976041
"CLP","T-cells","Cd44",0.461197586240877
"CLP","T-cells","Il1b",0.261407134344969
"CLP","T-cells","Cxcr3",0.272885359505342
"CLP","T-cells","Il6ra",0.325354272153662
"CLP","T-cells","Csf1",0.0804927092970953
"CLP","T-cells","Il6",0.0137889935844408
"CLP","T-cells","Cxcl10",0.0711082469933582
"CLP","T-cells","Spp1",0.0357853439129885
"CLP","T-cells","Flt1",0.0197763520832444
"CLP","T-cells","Tnfrsf1a",0.250180872136984
"CLP","T-cells","Ccr2",0.879594958356812
"CLP","T-cells","Ccl2",0.422006486589161
"CLP","T-cells","Tnf",0.206616346250816
"CLP","T-cells","Vegfa",0.0147231864015328
"CLP","T-cells","Csf1r",0.648695500941582
"Steady","B-cells","Il1r1",0.000623796001025931
"Steady","B-cells","Cd44",0.311142668393784
"Steady","B-cells","Il1b",0.256145466886765
"Steady","B-cells","Cxcr3",0.00200475669963993
"Steady","B-cells","Il6ra",0.474118554304511
"Steady","B-cells","Csf1",0.0204369733564628
"Steady","B-cells","Il6",0.00471516549322918
"Steady","B-cells","Cxcl10",0.0215026702432869
"Steady","B-cells","Spp1",0.00975716694448986
"Steady","B-cells","Flt1",0.0434949570210899
"Steady","B-cells","Tnfrsf1a",0.195459387730927
"Steady","B-cells","Ccr2",0.0802917115247075
"Steady","B-cells","Ccl2",0.325331448428754
"Steady","B-cells","Tnf",0.160516117660904
"Steady","B-cells","Vegfa",0.00794100581762865
"Steady","B-cells","Csf1r",0.819785856389325
"Steady","Endothelial","Il1r1",0.253834506241427
"Steady","Endothelial","Cd44",0.066530752520308
"Steady","Endothelial","Il1b",0.0178419076530422
"Steady","Endothelial","Cxcr3",0
"Steady","Endothelial","Il6ra",0.0294087586746159
"Steady","Endothelial","Csf1",0.190770032242993
"Steady","Endothelial","Il6",0.000339309789503925
"Steady","Endothelial","Cxcl10",0.0164992289144673
"Steady","Endothelial","Spp1",0.000397099847256953
"Steady","Endothelial","Flt1",2.67757718857987
"Steady","Endothelial","Tnfrsf1a",0.635583328595507
"Steady","Endothelial","Ccr2",0.00251115027718366
"Steady","Endothelial","Ccl2",0.035328308933097
"Steady","Endothelial","Tnf",0.0218335628111458
"Steady","Endothelial","Vegfa",0.0424592975382572
"Steady","Endothelial","Csf1r",0.0603865136752314
"Steady","Fibroblasts","Il1r1",0.628457262497863
"Steady","Fibroblasts","Cd44",0.100216694984211
"Steady","Fibroblasts","Il1b",0.0497343465309148
"Steady","Fibroblasts","Cxcr3",0.00196852199518656
"Steady","Fibroblasts","Il6ra",0.347218766705115
"Steady","Fibroblasts","Csf1",0.567475549486456
"Steady","Fibroblasts","Il6",0.0219845666607835
"Steady","Fibroblasts","Cxcl10",0.0154308774716244
"Steady","Fibroblasts","Spp1",0.00224617429731504
"Steady","Fibroblasts","Flt1",0.228899226857765
"Steady","Fibroblasts","Tnfrsf1a",0.579024585485389
"Steady","Fibroblasts","Ccr2",0.0189763704196486
"Steady","Fibroblasts","Ccl2",0.156334027027265
"Steady","Fibroblasts","Tnf",0.0217499903164722
"Steady","Fibroblasts","Vegfa",0.235524482375388
