"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Cavin2",-2.73814944751525,8.59116290083092e-167,2.29899519226235e-162,0.124,0.429
"Cd34",-2.65073400140467,3.07252778989903e-166,8.22208436576982e-162,0.105,0.388
"Tmem176a",1.32125394668986,8.72760349991162e-166,2.33550669657635e-161,0.763,0.469
"Tcf4",-1.27682850038378,9.64145850360414e-162,2.58005429556447e-157,0.734,0.872
"C5ar1",1.35723987953258,7.17865235219272e-161,1.92100736944677e-156,0.688,0.377
"Lrrc25",1.35160689917065,1.91490564854097e-158,5.12428751549564e-154,0.666,0.367
"Fermt2",-2.15323560886167,7.71232888156338e-158,2.06381920870636e-153,0.117,0.415
"Actb",0.613206599451766,2.73224867312277e-157,7.31149744927652e-153,0.992,0.991
"Akap12",-2.92180753343371,1.08532901563608e-156,2.90434044584216e-152,0.076,0.345
"Cd14",1.23640038182611,2.97628651936332e-156,7.96454272581623e-152,0.766,0.433
"Timp3",-1.33803228651577,1.08399414954252e-155,2.90076834417578e-151,0.134,0.455
"Fcgr3",0.994815317907413,3.4723064229734e-155,9.29189198787681e-151,0.808,0.46
"Tm4sf1",-2.10452063277806,3.98504790112076e-155,1.06639881833991e-150,0.121,0.414
"Ms4a6b",1.15842793666656,5.00121218383875e-155,1.33832438039525e-150,0.743,0.435
"Ramp2",-1.70367816969358,7.732297685514e-155,2.06916286064355e-150,0.128,0.423
"Rpl41",0.528007487588462,1.4167728642368e-154,3.79128418469767e-150,0.969,0.962
"Serpinh1",-2.33471505179982,2.02251251670757e-152,5.41224349470946e-148,0.106,0.385
"Ms4a7",1.57166016649435,1.12519808992672e-151,3.0110300886439e-147,0.678,0.374
"Ccl12",2.17432065605204,1.44069397992436e-151,3.85529709027758e-147,0.477,0.174
"Tnfaip8l2",1.3195160010034,2.06848074812973e-151,5.53525448199517e-147,0.66,0.364
"Mt1",1.3215952730606,3.80419591830938e-151,1.01800282773959e-146,0.788,0.527
"Lcp1",0.936755525749717,5.89363687465371e-150,1.57713722765733e-145,0.836,0.524
"Ptpn6",1.17777521514341,1.66321323659338e-149,4.45075862112388e-145,0.705,0.413
"Rpl6",0.598310626141999,2.81004224089627e-148,7.51967303663843e-144,0.95,0.929
"Cotl1",0.959578626902345,6.04405074067416e-148,1.6173879782044e-143,0.775,0.49
"Itgb2",1.40344431246729,2.73451003612044e-147,7.3175488566583e-143,0.649,0.347
"Ptpn18",0.945405788902959,4.92013056420126e-147,1.31662693898026e-142,0.808,0.55
"Dst",-1.58252496160646,5.29959079903815e-147,1.41817049782261e-142,0.424,0.677
"Laptm5",0.888119684804923,6.48954114599381e-147,1.73660121066794e-142,0.853,0.526
"Cavin1",-1.99134779856852,2.25818684558104e-146,6.04290799877486e-142,0.126,0.416
"Gng11",-2.11807189735175,2.04079024364734e-144,5.46115469200029e-140,0.152,0.45
"Dnaja1",-1.24780862023856,1.01904018892936e-141,2.72695154557497e-137,0.619,0.793
"Arhgef12",-1.36813778409101,2.87131454833744e-140,7.68363773135099e-136,0.386,0.634
"Arglu1",-1.1994305980424,4.85499742896978e-140,1.29919731199231e-135,0.564,0.761
"Ctsz",0.962952132514553,1.31054064057187e-139,3.50700675417031e-135,0.844,0.701
"S100a16",-2.1186643679667,2.5644903828165e-137,6.86257626441695e-133,0.099,0.35
"Vamp8",0.931834918131109,3.37004495582571e-137,9.01824030178961e-133,0.809,0.607
"Cd300c2",1.47293173956149,2.0261524007344e-136,5.42198382436526e-132,0.598,0.316
"Ehd2",-2.20157079387109,2.49612951037197e-136,6.6796425697554e-132,0.1,0.373
"Evi2a",1.29301622324504,9.24454589611222e-135,2.47384048179963e-130,0.666,0.369
"Hnrnph1",-1.18082415093686,1.09790467162493e-134,2.93799290126832e-130,0.528,0.734
"Lama4",-2.80757410831549,2.44945571547405e-134,6.55474349460855e-130,0.077,0.325
"Cxcl12",-2.18988797419939,3.93388242400968e-134,1.05270693666499e-129,0.13,0.399
"Rpl37a",0.487680598343622,7.14574216619321e-134,1.9122006036733e-129,0.966,0.955
"Clta",0.784373923526991,1.31180018226011e-133,3.51037728772806e-129,0.891,0.798
"Ablim1",-1.66293877945938,3.78098597186716e-133,1.01179184607165e-128,0.14,0.431
"Ctsa",0.990686515135444,6.99682305551745e-133,1.87234984965647e-128,0.798,0.555
"Arpc2",0.636369121179456,2.29614949327783e-132,6.14449604401147e-128,0.913,0.847
