"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Got1",-1.05869235011173,1.00346203194255e-73,2.68526439747826e-69,0.282,0.485,"macrophage_FindMarkers","CLP vs Steady"
"C4b",1.5581943040429,2.25063228949398e-73,6.0226920066859e-69,0.511,0.338,"macrophage_FindMarkers","CLP vs Steady"
"Mrpl52",1.01735896738361,3.95154590414373e-73,1.05743368394886e-68,0.637,0.496,"macrophage_FindMarkers","CLP vs Steady"
"Mmp13",-1.89715197628757,3.74887061388728e-71,1.00319777627624e-66,0.068,0.242,"macrophage_FindMarkers","CLP vs Steady"
"Fpr2",3.10949781265984,1.40163718682028e-70,3.75078111193108e-66,0.18,0.034,"macrophage_FindMarkers","CLP vs Steady"
"Utrn",-1.01132431535997,3.96899580308887e-70,1.06210327690658e-65,0.29,0.5,"macrophage_FindMarkers","CLP vs Steady"
"Dnajb1",-1.01213948817215,9.58018330730603e-70,2.56365705303509e-65,0.365,0.572,"macrophage_FindMarkers","CLP vs Steady"
"Syne2",-1.08385097046922,2.21144223282328e-69,5.91781941503511e-65,0.281,0.497,"macrophage_FindMarkers","CLP vs Steady"
"Vps54",-1.05742740083853,2.85525237430776e-68,7.64065535364758e-64,0.181,0.363,"macrophage_FindMarkers","CLP vs Steady"
"Ppp1r9a",-1.03517967674903,4.54955812936432e-68,1.21746175541789e-63,0.209,0.404,"macrophage_FindMarkers","CLP vs Steady"
"Ifitm1",2.53518584448119,1.19888092151651e-67,3.20820534597819e-63,0.15,0.026,"macrophage_FindMarkers","CLP vs Steady"
"Cd38",1.19846202557309,3.66117355542999e-67,9.79730043433064e-63,0.509,0.342,"macrophage_FindMarkers","CLP vs Steady"
"Fam71a",-1.38812526091667,3.2954478911198e-64,8.8186185566366e-60,0.135,0.312,"macrophage_FindMarkers","CLP vs Steady"
"Gm15987",2.73717117806806,1.28438901716235e-60,3.43702500992645e-56,0.177,0.038,"macrophage_FindMarkers","CLP vs Steady"
"Gm12896",-2.95320117657949,1.73301692210069e-58,4.63755328354144e-54,0.016,0.119,"macrophage_FindMarkers","CLP vs Steady"
"Slc5a3",-1.47035655465145,2.06057007311064e-58,5.51408551564407e-54,0.066,0.187,"macrophage_FindMarkers","CLP vs Steady"
"Marco",4.84029449451463,2.56256355406554e-58,6.85742007067938e-54,0.102,0.009,"macrophage_FindMarkers","CLP vs Steady"
"Samd4",-1.28380088786299,4.05567815939028e-58,1.08529947545284e-53,0.115,0.277,"macrophage_FindMarkers","CLP vs Steady"
"Runx3",-1.31928414084447,7.05377004870865e-57,1.88758886503443e-52,0.237,0.421,"macrophage_FindMarkers","CLP vs Steady"
"Jade2",-1.00116863500881,1.83647696158339e-56,4.91441234919716e-52,0.195,0.357,"macrophage_FindMarkers","CLP vs Steady"
"Plxnc1",-1.01967850135061,2.09888855972357e-56,5.61662578582027e-52,0.183,0.351,"macrophage_FindMarkers","CLP vs Steady"
"Camsap2",-1.01427249880588,3.52144180535673e-54,9.4233782711346e-50,0.172,0.331,"macrophage_FindMarkers","CLP vs Steady"
"Clec4d",2.32658723623815,5.95974902915434e-54,1.5948288402017e-49,0.185,0.051,"macrophage_FindMarkers","CLP vs Steady"
"mt-Tc",-1.26596923879922,2.47133560337115e-52,6.61329407462119e-48,0.059,0.185,"macrophage_FindMarkers","CLP vs Steady"
"Samsn1",1.42734777274431,3.44484268101591e-52,9.21839901439858e-48,0.381,0.217,"macrophage_FindMarkers","CLP vs Steady"
"Foxred2",-1.54395984811578,1.97950754986739e-51,5.29716220344514e-47,0.057,0.176,"macrophage_FindMarkers","CLP vs Steady"
"Sec61g",1.28707712311022,2.11239677465056e-50,5.65277376896489e-46,0.366,0.208,"macrophage_FindMarkers","CLP vs Steady"
"Il1rl1",-1.02971053115543,7.88766607873705e-50,2.11073944267003e-45,0.16,0.323,"macrophage_FindMarkers","CLP vs Steady"
"Cplane1",-1.04010095631839,7.28492603038655e-48,1.94944620573144e-43,0.136,0.279,"macrophage_FindMarkers","CLP vs Steady"
"A530013C23Rik",-1.23401831029534,7.01339203096523e-47,1.8767837074863e-42,0.06,0.168,"macrophage_FindMarkers","CLP vs Steady"
"Plxna4",-1.01790120187005,2.32393411520345e-45,6.21884769228442e-41,0.174,0.341,"macrophage_FindMarkers","CLP vs Steady"
"Cxxc5",-1.36340087008906,2.49727190198214e-45,6.6826996097042e-41,0.063,0.18,"macrophage_FindMarkers","CLP vs Steady"
"Fcgr4",1.23099259942781,1.32142673881074e-44,3.53613795305754e-40,0.444,0.299,"macrophage_FindMarkers","CLP vs Steady"
"Gimap6",-1.16124911695605,2.4614056732651e-43,6.58672158165741e-39,0.095,0.222,"macrophage_FindMarkers","CLP vs Steady"
"Cadm1",-1.04073107268132,1.07098709462855e-42,2.86596146522599e-38,0.15,0.292,"macrophage_FindMarkers","CLP vs Steady"
"Siglech",-1.94330026801425,3.58642074491368e-42,9.59726191338902e-38,0.039,0.144,"macrophage_FindMarkers","CLP vs Steady"
"Gm48838",-1.00761593429327,3.72732023808663e-41,9.97430895711982e-37,0.086,0.194,"macrophage_FindMarkers","CLP vs Steady"
"Soga1",-1.11127591186781,1.67446513960481e-39,4.48086871358247e-35,0.119,0.255,"macrophage_FindMarkers","CLP vs Steady"
"Retnla",-1.67734828322859,1.54914296452116e-38,4.14550657305861e-34,0.128,0.254,"macrophage_FindMarkers","CLP vs Steady"
"Ttn",-1.15739003930404,1.15590367868247e-37,3.0931982441543e-33,0.072,0.165,"macrophage_FindMarkers","CLP vs Steady"
"Bcorl1",-1.21780608956898,5.58694361649736e-36,1.49506611177469e-31,0.053,0.134,"macrophage_FindMarkers","CLP vs Steady"
"Gm43359",-1.1857233084011,7.7141308233932e-36,2.06430140834002e-31,0.067,0.168,"macrophage_FindMarkers","CLP vs Steady"
"Mical2",-1.34448436172586,1.4536789721641e-35,3.89004492951114e-31,0.067,0.171,"macrophage_FindMarkers","CLP vs Steady"
"Zcchc14",-1.04913249018965,6.97079432688291e-35,1.86538456187387e-30,0.121,0.252,"macrophage_FindMarkers","CLP vs Steady"
"Gm44423",-1.0091611759682,2.38031200322097e-34,6.36971492061931e-30,0.059,0.143,"macrophage_FindMarkers","CLP vs Steady"
"Brpf3",-1.22876898521342,5.80961414946773e-34,1.55465274639757e-29,0.061,0.149,"macrophage_FindMarkers","CLP vs Steady"
"Otud7b",-1.28723478907814,7.1310566306988e-34,1.908270754375e-29,0.098,0.234,"macrophage_FindMarkers","CLP vs Steady"
"Gabbr1",-1.10945851568457,1.26043631188885e-33,3.37292757061457e-29,0.082,0.193,"macrophage_FindMarkers","CLP vs Steady"
"Gm43499",-1.67463789869325,2.76905780221718e-33,7.40999867873317e-29,0.027,0.101,"macrophage_FindMarkers","CLP vs Steady"
"B930086L07Rik",-1.33718646994327,3.96199826994961e-33,1.06023073703852e-28,0.066,0.176,"macrophage_FindMarkers","CLP vs Steady"
"Ecm1",1.08946877208286,1.83537942427018e-32,4.91147533934699e-28,0.479,0.37,"macrophage_FindMarkers","CLP vs Steady"
"Mdn1",-1.02880103605961,3.75495437826949e-32,1.00482579162492e-27,0.113,0.218,"macrophage_FindMarkers","CLP vs Steady"
"Ebi3",1.02407581462567,4.38109525039731e-32,1.17238108900632e-27,0.415,0.305,"macrophage_FindMarkers","CLP vs Steady"
"Ctnnd2",-1.59104908179083,2.23237947264541e-31,5.97384746879912e-27,0.033,0.106,"macrophage_FindMarkers","CLP vs Steady"
"Tppp",-1.28690596388596,2.47136087914217e-31,6.61336171258445e-27,0.067,0.153,"macrophage_FindMarkers","CLP vs Steady"
"Ppp1r12b",-1.17054459739323,2.59409700816468e-31,6.94180359384869e-27,0.063,0.147,"macrophage_FindMarkers","CLP vs Steady"
"Cdc42bpa",-1.11503755624328,4.05280110229613e-31,1.08452957497444e-26,0.084,0.174,"macrophage_FindMarkers","CLP vs Steady"
"Gm15902",-1.63816458903054,5.68925676674265e-31,1.52244511078033e-26,0.035,0.121,"macrophage_FindMarkers","CLP vs Steady"
"Nr1d1",1.82758339436295,6.02379841608887e-31,1.61196845614538e-26,0.122,0.043,"macrophage_FindMarkers","CLP vs Steady"
"Gm15655",-1.0731766839616,1.68021738583661e-30,4.49626172449876e-26,0.096,0.207,"macrophage_FindMarkers","CLP vs Steady"
"Akt3",-1.13615267851888,3.36072147115958e-30,8.99329065682304e-26,0.078,0.182,"macrophage_FindMarkers","CLP vs Steady"
"Hbegf",-1.47437385787936,1.49990857697848e-29,4.0137553519944e-25,0.047,0.119,"macrophage_FindMarkers","CLP vs Steady"
"Mir17hg",-1.46342183346312,5.05238507802554e-29,1.35201824687964e-24,0.035,0.102,"macrophage_FindMarkers","CLP vs Steady"
"Gm43323",-1.06930460307207,6.3524180416179e-29,1.69990706793695e-24,0.088,0.199,"macrophage_FindMarkers","CLP vs Steady"
"B130021K23Rik",-1.0532692822011,6.42896246102159e-29,1.72039035456938e-24,0.057,0.14,"macrophage_FindMarkers","CLP vs Steady"
"Hrh1",-1.00246906026013,8.35111277882199e-29,2.23475777961277e-24,0.087,0.193,"macrophage_FindMarkers","CLP vs Steady"
"C3",1.74605327264249,7.91871015809956e-28,2.11904683830744e-23,0.148,0.061,"macrophage_FindMarkers","CLP vs Steady"
"Gm12940",-1.10596461773492,9.04092410955103e-28,2.41935129171586e-23,0.048,0.12,"macrophage_FindMarkers","CLP vs Steady"
"Stap1",1.00526394020176,3.19750736351699e-27,8.55652970477147e-23,0.457,0.359,"macrophage_FindMarkers","CLP vs Steady"
"Mras",-1.04279475780083,6.90561513027731e-27,1.84794260886221e-22,0.117,0.233,"macrophage_FindMarkers","CLP vs Steady"
"Nlrp1b",-1.01855049799591,7.42256523196681e-27,1.98627845607432e-22,0.077,0.165,"macrophage_FindMarkers","CLP vs Steady"
"Fgr",2.04923747427584,8.51916158256915e-27,2.2797276394955e-22,0.106,0.028,"macrophage_FindMarkers","CLP vs Steady"
"Dbp",1.60802868139562,9.53325059466151e-27,2.55109785913142e-22,0.204,0.112,"macrophage_FindMarkers","CLP vs Steady"
"Celf4",-1.16191720915228,2.75217674516351e-26,7.36482497005756e-22,0.053,0.132,"macrophage_FindMarkers","CLP vs Steady"
"Ece1",-1.12799003727861,4.49957694233025e-26,1.20408678976757e-21,0.065,0.145,"macrophage_FindMarkers","CLP vs Steady"
"mt-Nd3",1.36378730382853,4.72950224572938e-26,1.26561480095718e-21,0.719,0.716,"macrophage_FindMarkers","CLP vs Steady"
