"group","celltype","n"
"CLP","B_cells",1241
"CLP","Endothelial",4266
"CLP","Fibroblasts",1108
"CLP","Granulocytes",2616
"CLP","Macrophages",34205
"CLP","Monocytes",3601
"CLP","Pericytes",202
"CLP","T_cells",1185
"Steady","B_cells",954
"Steady","Endothelial",4150
"Steady","Fibroblasts",2180
"Steady","Granulocytes",92
"Steady","Macrophages",5551
"Steady","Monocytes",339
"Steady","Pericytes",169
"Steady","T_cells",371
