"gene","log2FC","pvalue","padj"
"Rp1",-0.0595373169545539,0.05,0.05
"Sox17",-3.20346471101074,0.05,0.05
"Gm6085",-0.0595620541104701,0.05,0.05
"Mrpl15",-0.296248740146688,0.05,0.05
"Gm37144",0.118249702569584,0.05,0.05
"Lypla1",-0.20362617992796,0.05,0.05
"Gm37988",-0.0967979087210106,0.05,0.05
"Tcea1",0.137258869872788,0.05,0.05
"Atp6v1h",0.129603768512823,0.05,0.05
"Rb1cc1",0.100065748577994,0.05,0.05
"4732440D04Rik",-0.145850081748235,0.05,0.05
"Gm37108",-0.0689618667568587,0.05,0.05
"Pcmtd1",-0.104402538401999,0.05,0.05
"Gm38372",0.508218462160493,0.05,0.05
"Gm26901",0.149558330588128,0.05,0.05
"Sntg1",-0.529468735618015,0.05,0.05
"Gm18300",0.205707791613714,0.05,0.05
"Rrs1",-0.681178850914957,0.05,0.05
"Adhfe1",-1.17415527681644,0.05,0.05
"2610203C22Rik",1.00209046159479,0.05,0.05
"Mybl1",-0.304444236372015,0.05,0.05
"Vcpip1",0.240048612771213,0.05,0.05
"1700034P13Rik",0.00183140870001486,0.05,0.05
"Sgk3",0.226570259197253,0.05,0.05
"Mcmdc2",0.924346279076476,0.05,0.05
"Snhg6",-0.122702814025867,0.05,0.05
"Tcf24",-0.170303300611895,0.05,0.05
"Cops5",-0.0047783197294109,0.05,0.05
"Cspp1",0.12269821946019,0.05,0.05
"Arfgef1",0.200783287910728,0.05,0.05
"Gm37569",0.237576406762182,0.05,0.05
"Prex2",-2.63218469299685,0.05,0.05
"Sulf1",-2.21636107933355,0.05,0.05
"Slco5a1",-0.189059910450459,0.05,0.05
"Ncoa2",0.638798277055045,0.05,0.05
"Gm38376",0.93662361350682,0.05,0.05
"Gm37409",1.12933954015906,0.05,0.05
"Gm38223",0.905582302083095,0.05,0.05
"Gm37702",1.25023555406585,0.05,0.05
"Gm38120",0.892092865696558,0.05,0.05
"Gm38380",1.4460730029635,0.05,0.05
"Tram1",-0.130740359698712,0.05,0.05
"Lactb2",0.414226804875719,0.05,0.05
"Gm38319",0.607636358907449,0.05,0.05
"Eya1",-0.0136114616313515,0.05,0.05
"Gm9947",-0.625441601400248,0.05,0.05
"Msc",-1.55532870983879,0.05,0.05
"Rpl5-ps1",-0.0415860020709779,0.05,0.05
"Terf1",-0.104877932785512,0.05,0.05
"Gm37509",0.474935101898228,0.05,0.05
"4930444P10Rik",-0.191486070952921,0.05,0.05
"Rpl7",-0.324644368014443,0.05,0.05
"Rdh10",0.139220837451403,0.05,0.05
"Stau2",0.210330164191694,0.05,0.05
"Ube2w",0.166277051519604,0.05,0.05
"Gm38342",0.30127021669139,0.05,0.05
"Eloc",-0.498608436857263,0.05,0.05
"D030040B21Rik",0.171957174059737,0.05,0.05
"Tmem70",-0.504301672570719,0.05,0.05
"Ly96",0.0190170018893898,0.05,0.05
"Jph1",-0.230456132472687,0.05,0.05
"Pi15",-1.79505297979642,0.05,0.05
"Crispld1",-1.38605772656093,0.05,0.05
"Mcm3",0.195131717959184,0.05,0.05
"Paqr8",-0.510824866498502,0.05,0.05
"Efhc1",-0.329751587040416,0.05,0.05
"Tram2",-0.213816723050915,0.05,0.05
"Tmem14a",-0.447522837341674,0.05,0.05
"Gsta3",-2.72617724095429,0.05,0.05
"Gm4956",-0.626564857370487,0.05,0.05
"Khdc1a",-0.00188680563157347,0.05,0.05
"Kcnq5",-4.03085944558346e-05,0.05,0.05
"Gm7658",-0.220861664998121,0.05,0.05
"Gm29107",-0.714293623217907,0.05,0.05
"Ogfrl1",-0.457588610078995,0.05,0.05
"B3gat2",-0.392468112927974,0.05,0.05
"Smap1",-0.302849722337226,0.05,0.05
"Sdhaf4",-0.219361300524141,0.05,0.05
"Fam135a",0.0670307884679011,0.05,0.05
"Gm37580",0.030413624456952,0.05,0.05
"Gm28439",-0.10754120608581,0.05,0.05
"Gm10222",0.312037205318645,0.05,0.05
"Gm28438",0.399449498236095,0.05,0.05
"Gm28437",0.0457674123280243,0.05,0.05
"Gm10925",-0.170917944704734,0.05,0.05
"Gm28661",-0.25248841197583,0.05,0.05
"Gm29216",-0.33334004068908,0.05,0.05
"Lmbrd1",0.0747167114219565,0.05,0.05
"Gm7846",-0.0839423174076961,0.05,0.05
"Phf3",0.271898838482905,0.05,0.05
"Gm37522",0.194386859090093,0.05,0.05
"Gm37906",0.526340006664392,0.05,0.05
"Ptp4a1",1.05655409438253,0.05,0.05
"Ptp4a1.1",0.441471908027438,0.05,0.05
"Gm19680",0.0864164492039845,0.05,0.05
"Prim2",0.277457068886564,0.05,0.05
"Gm29228",-0.208056787125486,0.05,0.05
"Gm37618",0.320267368907236,0.05,0.05
"1700001G17Rik",0.00479970138314248,0.05,0.05
"Rab23",-0.919686616401117,0.05,0.05
"Bag2",-0.189185148252526,0.05,0.05
"Zfp451",0.215696775693672,0.05,0.05
"Bend6",0.449872608813535,0.05,0.05
