"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Apba1",-0.706129134162856,1.69268498089335e-10,4.52962500887061e-06,0.098,0.175,"macrophage_FindMarkers","CLP vs Steady"
"Exoc2",-0.278018195825629,1.69745144852631e-10,4.54238007625639e-06,0.198,0.266,"macrophage_FindMarkers","CLP vs Steady"
"Mob3b",-0.270082579784211,1.70785954406466e-10,4.57023213991703e-06,0.196,0.266,"macrophage_FindMarkers","CLP vs Steady"
"Hist1h4d",-0.0272485691194799,1.71213766624317e-10,4.58168039486672e-06,0.188,0.258,"macrophage_FindMarkers","CLP vs Steady"
"Ercc6l2",-0.467413269657813,1.71261218014216e-10,4.58295019406043e-06,0.11,0.164,"macrophage_FindMarkers","CLP vs Steady"
"Rsu1",0.297817210391193,1.71819092907868e-10,4.59787892621455e-06,0.687,0.682,"macrophage_FindMarkers","CLP vs Steady"
"Spg11",-0.577327957142975,1.73055111718699e-10,4.63095478959238e-06,0.098,0.159,"macrophage_FindMarkers","CLP vs Steady"
"Cd14",0.298227298023785,1.79956260535416e-10,4.81562953192773e-06,0.882,0.878,"macrophage_FindMarkers","CLP vs Steady"
"Eogt",-0.567795686182327,1.85528437602721e-10,4.96474099024882e-06,0.073,0.118,"macrophage_FindMarkers","CLP vs Steady"
"Stoml2",0.580284873508921,1.91701072071218e-10,5.1299206886258e-06,0.334,0.275,"macrophage_FindMarkers","CLP vs Steady"
"Mtmr1",-0.472630718698293,1.92630614839639e-10,5.15479525310875e-06,0.099,0.147,"macrophage_FindMarkers","CLP vs Steady"
"Zfp81",-0.414244711040608,1.94364819849112e-10,5.20120257916224e-06,0.082,0.13,"macrophage_FindMarkers","CLP vs Steady"
"Mrpl13",0.482579948505157,1.94543583792041e-10,5.20598630227501e-06,0.396,0.349,"macrophage_FindMarkers","CLP vs Steady"
"Psip1",-0.35494088200217,1.94880215777252e-10,5.21499457419927e-06,0.256,0.343,"macrophage_FindMarkers","CLP vs Steady"
"Foxn2",-0.213640606230191,1.96342567947063e-10,5.25412711826341e-06,0.268,0.346,"macrophage_FindMarkers","CLP vs Steady"
"Txndc11",-0.519661472577276,1.9929723229053e-10,5.33319393609458e-06,0.147,0.218,"macrophage_FindMarkers","CLP vs Steady"
"Ammecr1l",-0.528370685909858,2.02364283209004e-10,5.41526821867295e-06,0.137,0.216,"macrophage_FindMarkers","CLP vs Steady"
"Mea1",0.452690873453509,2.05477791154807e-10,5.49858569130263e-06,0.361,0.324,"macrophage_FindMarkers","CLP vs Steady"
"Nbr1",-0.344457307864793,2.06057611140006e-10,5.51410167410657e-06,0.293,0.382,"macrophage_FindMarkers","CLP vs Steady"
"Krcc1",0.395199299369972,2.10691115489501e-10,5.63809425049905e-06,0.559,0.516,"macrophage_FindMarkers","CLP vs Steady"
"B3galnt2",-0.466355936094796,2.12907504650672e-10,5.69740482445198e-06,0.068,0.106,"macrophage_FindMarkers","CLP vs Steady"
"Zfyve16",-0.376523447400147,2.13198697948234e-10,5.70519715709475e-06,0.306,0.405,"macrophage_FindMarkers","CLP vs Steady"
"Rab24",0.492039595361156,2.14582633951096e-10,5.74223128453134e-06,0.459,0.416,"macrophage_FindMarkers","CLP vs Steady"
"Eef2k",-0.266313374720272,2.16181524149928e-10,5.78501758625209e-06,0.287,0.362,"macrophage_FindMarkers","CLP vs Steady"
"mt-Atp6",0.2114539806882,2.17416424805053e-10,5.81806352778321e-06,0.366,0.456,"macrophage_FindMarkers","CLP vs Steady"
"Mon1b",-0.587911405678535,2.29358151876286e-10,6.13762414420943e-06,0.064,0.11,"macrophage_FindMarkers","CLP vs Steady"
"Pde4a",-0.515058312368419,2.33103502955763e-10,6.23784973909622e-06,0.101,0.163,"macrophage_FindMarkers","CLP vs Steady"
"Tex264",0.584712588657608,2.34380552473372e-10,6.27202358418743e-06,0.421,0.362,"macrophage_FindMarkers","CLP vs Steady"
"Ampd3",-0.313557282152465,2.3681749309771e-10,6.33723611529471e-06,0.175,0.244,"macrophage_FindMarkers","CLP vs Steady"
"Dhx38",-0.366028408585621,2.39891471167084e-10,6.41949576843116e-06,0.234,0.323,"macrophage_FindMarkers","CLP vs Steady"
"Zc3h14",-0.286490315907822,2.48006907149296e-10,6.63666483531517e-06,0.281,0.362,"macrophage_FindMarkers","CLP vs Steady"
"Nudc",0.363054059579668,2.49910963734348e-10,6.68761738953116e-06,0.563,0.538,"macrophage_FindMarkers","CLP vs Steady"
"Ssbp4",0.463215896317572,2.50279440494053e-10,6.69747782762086e-06,0.577,0.544,"macrophage_FindMarkers","CLP vs Steady"
"Slx4",-0.671615589720695,2.51672179178767e-10,6.7347475148238e-06,0.064,0.11,"macrophage_FindMarkers","CLP vs Steady"
"Klhdc10",-0.381451884895004,2.53479500597242e-10,6.7831114359822e-06,0.114,0.161,"macrophage_FindMarkers","CLP vs Steady"
"Rapgef5",0.506980755778302,2.54425597360523e-10,6.8084289853676e-06,0.17,0.13,"macrophage_FindMarkers","CLP vs Steady"
"Msr1",-0.180324376886709,2.54797773090668e-10,6.81838840790628e-06,0.562,0.658,"macrophage_FindMarkers","CLP vs Steady"
