"gene","sample","expr","group"
"Tnf","H001",5.38423681162875,"Steady"
"Tnf","H002",4.81239307510938,"CLP"
"Tnf","H003",6.75898515700514,"Steady"
"Tnf","H004",5.84817340893712,"CLP"
"Tnf","H007",6.75429306280201,"CLP"
"Tnf","H009",6.48607465490135,"CLP"
"Tnf","H011",6.6197426676719,"CLP"
"Il1b","H001",7.34500162691604,"Steady"
"Il1b","H002",6.95638370978767,"CLP"
"Il1b","H003",8.64914987896437,"Steady"
"Il1b","H004",9.48597000873911,"CLP"
"Il1b","H007",9.16283428866263,"CLP"
"Il1b","H009",9.50947733942783,"CLP"
"Il1b","H011",8.87960579815207,"CLP"
"Il6","H001",1.94904292469984,"Steady"
"Il6","H002",1.29286408995077,"CLP"
"Il6","H003",2.36435144325509,"Steady"
"Il6","H004",1.41531130282601,"CLP"
"Il6","H007",1.59591856297738,"CLP"
"Il6","H009",2.37716719010672,"CLP"
"Il6","H011",2.19444455255347,"CLP"
"Ccl2","H001",7.47912642703247,"Steady"
"Ccl2","H002",8.18811762450666,"CLP"
"Ccl2","H003",8.82745701436473,"Steady"
"Ccl2","H004",8.91155065841333,"CLP"
"Ccl2","H007",9.46153584681767,"CLP"
"Ccl2","H009",8.90441659518881,"CLP"
"Ccl2","H011",9.1754068184387,"CLP"
"Ccl3","H001",5.94154301510013,"Steady"
"Ccl3","H002",6.11025541229383,"CLP"
"Ccl3","H003",7.24527324424203,"Steady"
"Ccl3","H004",6.59379739404195,"CLP"
"Ccl3","H007",7.47490198953185,"CLP"
"Ccl3","H009",7.67952967677562,"CLP"
"Ccl3","H011",7.33771656584883,"CLP"
"Ccl4","H001",6.5354941635677,"Steady"
"Ccl4","H002",6.58195103171827,"CLP"
"Ccl4","H003",7.81073856909825,"Steady"
"Ccl4","H004",7.56399082941401,"CLP"
"Ccl4","H007",8.11963154727359,"CLP"
"Ccl4","H009",7.85825910769651,"CLP"
"Ccl4","H011",8.24188827060015,"CLP"
"Ccl5","H001",7.29756854068854,"Steady"
"Ccl5","H002",4.92347713499349,"CLP"
"Ccl5","H003",5.3916689347276,"Steady"
"Ccl5","H004",5.76480733936662,"CLP"
"Ccl5","H007",6.91804598084944,"CLP"
"Ccl5","H009",6.35971591418096,"CLP"
"Ccl5","H011",7.51552582608964,"CLP"
"Cxcl2","H001",7.70390500654566,"Steady"
"Cxcl2","H002",7.9123631510231,"CLP"
