"sample","group","sample_id","time","MAMs_score"
"H001","Steady","H001","Steady",5.74637067223545
"H002","CLP","H002","CLP_early",5.57953974289726
"H003","Steady","H003","Steady",5.35369073990295
"H004","CLP","H004","CLP_early",5.27487644480061
"H007","CLP","H007","CLP_mid",5.35004057630258
"H009","CLP","H009","CLP_late",5.34762277654175
"H011","CLP","H011","CLP_mid",5.38731670651423
