"celltype","n_before","n_after"
"Macrophages",14561,34389
"Granulocytes",4376,5777
"Cycling",3210,2362
"Monocytes",2775,2817
"B_cells",2080,2171
"T_cells",1476,1607
"Dendritic",NA,1032
