"gene","log2FC","pvalue","padj","pct.1","pct.2","category"
"Itpr1",-2.10763179100375,6.09506794161245e-65,1.63104018117549e-60,0.1,0.275,"anchor_contact"
"Rras2",-1.34259765492107,8.24259168536116e-14,2.20571753500265e-09,0.049,0.1,"anchor_contact"
