"pair","axis","delta","label"
"Apoe→Trem2","Macrophages→Monocytes",69.6505430706799,"Apoe→Trem2 | Macrophages→Monocytes"
"Cxcl2→Cxcr2","Granulocytes→Granulocytes",61.1121709597525,"Cxcl2→Cxcr2 | Granulocytes→Granulocytes"
"Apoe→Trem2","Monocytes→Monocytes",24.279356116683,"Apoe→Trem2 | Monocytes→Monocytes"
"Apoe→Trem2","Fibroblasts→Monocytes",17.0222866673214,"Apoe→Trem2 | Fibroblasts→Monocytes"
"Apoe→Trem2","Macrophages→Fibroblasts",15.9327966146305,"Apoe→Trem2 | Macrophages→Fibroblasts"
"Apoe→Ldlr","Macrophages→Monocytes",14.1661602693919,"Apoe→Ldlr | Macrophages→Monocytes"
"Apoe→Trem2","Macrophages→Pericytes",11.5076721568718,"Apoe→Trem2 | Macrophages→Pericytes"
"Cxcl2→Cxcr2","Monocytes→Granulocytes",10.2864326735726,"Cxcl2→Cxcr2 | Monocytes→Granulocytes"
"Apoe→Ldlr","Monocytes→Monocytes",8.68733140869262,"Apoe→Ldlr | Monocytes→Monocytes"
"Ccl2→Ccr2","Macrophages→Monocytes",8.48637965453042,"Ccl2→Ccr2 | Macrophages→Monocytes"
"Apoe→Ldlr","Macrophages→Granulocytes",8.10321478915799,"Apoe→Ldlr | Macrophages→Granulocytes"
"Apoe→Trem2","Pericytes→Monocytes",7.41376525166041,"Apoe→Trem2 | Pericytes→Monocytes"
"Apoe→Trem2","Endothelial→Monocytes",7.06590118756539,"Apoe→Trem2 | Endothelial→Monocytes"
"Ccl7→Ccr2","Macrophages→Monocytes",6.84540802883931,"Ccl7→Ccr2 | Macrophages→Monocytes"
"Apoe→Ldlr","Fibroblasts→Monocytes",6.2779284447156,"Apoe→Ldlr | Fibroblasts→Monocytes"
"Apoe→Trem2","Granulocytes→Monocytes",5.73467069965823,"Apoe→Trem2 | Granulocytes→Monocytes"
"Apoe→Trem2","Monocytes→Fibroblasts",3.95801438306833,"Apoe→Trem2 | Monocytes→Fibroblasts"
"Apoe→Trem2","Pericytes→Macrophages",3.77529149183598,"Apoe→Trem2 | Pericytes→Macrophages"
"Ccl2→Ccr2","Monocytes→Monocytes",3.70656058744826,"Ccl2→Ccr2 | Monocytes→Monocytes"
"Apoe→Trem2","Fibroblasts→Macrophages",3.47224967560178,"Apoe→Trem2 | Fibroblasts→Macrophages"
"Cxcl2→Cxcr2","Macrophages→Granulocytes",3.04530906153245,"Cxcl2→Cxcr2 | Macrophages→Granulocytes"
"Apoe→Ldlr","Pericytes→Monocytes",3.03571749352657,"Apoe→Ldlr | Pericytes→Monocytes"
"Apoe→Trem2","Monocytes→Macrophages",2.94794603827499,"Apoe→Trem2 | Monocytes→Macrophages"
"Apoe→Trem2","Endothelial→Macrophages",2.82494366097039,"Apoe→Trem2 | Endothelial→Macrophages"
"Apoe→Ldlr","Endothelial→Monocytes",2.79027273219749,"Apoe→Ldlr | Endothelial→Monocytes"
