"gene","module","kME"
"Gm12840","M3",0.996805806135221
"Ackr3","M3",0.994984376031692
"Tgm2","M3",0.994716615982291
"Ppp1r2","M3",0.993716266059265
"Mt2","M3",0.993293267072986
"Cebpb","M3",0.993277731424466
"Mt1","M3",0.993168209392329
"Lcn2","M3",0.990831213983766
"Ifitm2","M3",0.986461048210487
"Tmcc3","M3",0.983734051981488
"Ctla2a","M3",0.981979464668012
"Akap12","M3",0.975281621756196
"Apold1","M3",0.974814539938873
"Ucp2","M3",0.965270953421943
