"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu04517","IgSF CAM signaling",130,-0.575918596468967,-1.40728338491992,0.0127739058432728,0.171750353408556,0.139510552435096,871,"tags=31%, list=14%, signal=27%","22143/224105/223435/14784/57257/11820/18707/12387/68097/16331/218397/18187/215449/12988/17904/109905/16822/66713/16412/74117/77579/67938/12523/17886/13449/56378/26416/11848/18186/68089/19280/18751/76709/12540/16401/12524/11465/211401/12506/11461",0.380730400722792
"mmu05323","Rheumatoid arthritis",47,-0.655268458396117,-1.40721055625206,0.0474516695957821,0.312724014336918,0.254021602483008,395,"tags=26%, list=6%, signal=24%","20302/114143/21803/20293/21926/14281/12524/14969/14961/14960/14998/14999",0.276500599254472
"mmu01230","Biosynthesis of amino acids",29,0.666419046280898,1.40611100976092,0.0801132739247096,0.358193636674649,0.290955978485498,434,"tags=21%, list=7%, signal=19%","18746/11674/14433/18655/18648/18641",0.287805130535564
"mmu05012","Parkinson disease",184,0.507254316528261,1.3978065395067,0.0167313033108584,0.19464082851632,0.158104184205911,964,"tags=23%, list=15%, signal=20%","213053/22166/12048/26443/19179/22223/19185/17463/22146/227613/69077/23996/22433/66997/19182/18024/19181/26444/70247/19184/19252/17705/67089/26446/68375/56436/22272/13063/19172/21762/56791/22123/66414/20655/30791/11739/18803/57296/226646/22213/23997/56228",0.352487857583619
"mmu04213","Longevity regulating pathway - multiple species",34,0.648052802144922,1.39604987273083,0.0743243243243243,0.353238866396761,0.286931283776353,39,"tags=12%, list=1%, signal=12%","15511/193740/15481/20656",0.248911114434702
"mmu00430","Taurine and hypotaurine metabolism",4,0.93144657044663,1.39184781846567,0.0576540755467197,0.329856924029593,0.267938439616728,423,"tags=75%, list=7%, signal=70%","55990/14261/23887",0.266350657088526
"mmu05016","Huntington disease",203,0.500720509431195,1.38798903333606,0.00803010307659828,0.136029541225295,0.110495006660569,715,"tags=17%, list=11%, signal=16%","21817/20656/26443/18798/19179/14778/19185/17463/22146/227613/69077/23996/66997/19182/19181/26444/70247/19184/74325/17705/19016/67089/26446/68375/56436/22272/13063/19172/12421/69833/21762/51897/52639/22123/66414",0.380730400722792
"mmu00970","Aminoacyl-tRNA biosynthesis",3,0.954176084357861,1.38742059013849,0.0524271844660194,0.312724014336918,0.254021602483008,63,"tags=33%, list=1%, signal=33%","102436",0.276500599254472
"mmu03320","PPAR signaling pathway",34,0.64371307640855,1.38670113827293,0.0788288288288288,0.357289107289107,0.29022124116609,360,"tags=24%, list=6%, signal=22%","57875/11770/16956/11520/22259/20249/12491/15360",0.241339976815091
"mmu03082","ATP-dependent chromatin remodeling",68,-0.606032324026863,-1.38133758754822,0.0505902192242833,0.312724014336918,0.254021602483008,104,"tags=3%, list=2%, signal=3%","11465/11461",0.261663521711573
