"study","pathway","NES","pvalue","ID","se","lo","hi"
"GSE207177","Ribosome",2.23245086410724,1.33929952046575e-09,"mmu03010",0.368232622124726,1.51071492474278,2.9541868034717
"GSE190856","Ribosome",2.29856871308819,1e-10,"mmu03010",0.355433137204847,1.60191976416669,2.99521766200969
